Date,Open,High,Low,Close*,Adj Close**,Volume,,
12/31/13,"3,566.50","3,594.75","3,565.00","3,583.75","3,583.75","71,635",,
12/30/13,"3,569.75","3,573.50","3,556.00","3,565.75","3,565.75","90,196",,
12/27/13,"3,582.75","3,587.50","3,567.00","3,570.25","3,570.25","94,798",,
12/26/13,"3,572.75","3,583.75","3,568.25","3,581.75","3,581.75","54,009",,
12/24/13,"3,565.25","3,572.75","3,561.00","3,569.75","3,569.75","47,467",,
12/23/13,"3,541.00","3,567.50","3,541.00","3,564.75","3,564.75","131,151",,
12/20/13,"3,500.00","3,508.00","3,496.00","3,503.00","3,503.00","173,625",,
12/19/13,"3,513.50","3,516.75","3,482.50","3,497.00","3,497.00","56,687",,
12/18/13,"3,464.75","3,513.50","3,422.00","3,512.75","3,512.75","66,667",,
12/17/13,"3,470.75","3,483.25","3,460.75","3,465.25","3,465.25","87,634",,
12/16/13,"3,457.00","3,495.25","3,434.50","3,474.50","3,474.50","130,785",,
12/13/13,"3,457.00","3,478.25","3,449.75","3,457.50","3,457.50","152,854",,
12/12/13,"3,471.25","3,479.50","3,455.50","3,459.50","3,459.50","300,255",,
12/11/13,"3,517.50","3,522.25","3,464.50","3,470.50","3,470.50","302,895",,
12/10/13,"3,519.25","3,524.25","3,507.75","3,516.00","3,516.00","181,862",,
12/09/13,"3,505.00","3,524.75","3,505.00","3,518.50","3,518.50","190,605",,
12/06/13,"3,478.00","3,511.00","3,477.00","3,504.00","3,504.00","254,913",,
12/05/13,"3,482.50","3,492.00","3,468.75","3,478.75","3,478.75","250,042",,
12/04/13,"3,476.25","3,494.00","3,453.25","3,482.50","3,482.50","281,577",,
12/03/13,"3,483.75","3,488.75","3,466.25","3,475.75","3,475.75","224,700",,
12/02/13,"3,493.00","3,501.25","3,476.75","3,483.00","3,483.00","231,123",,
11/29/13,"3,469.00","3,496.50","3,468.75","3,487.50","3,487.50","97,742",,
11/27/13,"3,447.00","3,472.25","3,445.75","3,468.50","3,468.50","146,375",,
11/26/13,"3,426.75","3,456.00","3,422.75","3,447.25","3,447.25","188,922",,
11/25/13,"3,422.50","3,437.25","3,420.25","3,429.00","3,429.00","177,967",,
11/22/13,"3,400.75","3,422.50","3,400.00","3,420.00","3,420.00","163,835",,
11/21/13,"3,367.75","3,406.00","3,360.25","3,400.50","3,400.50","204,624",,
11/20/13,"3,375.75","3,398.50","3,358.50","3,366.50","3,366.50","290,183",,
11/19/13,"3,387.75","3,400.50","3,370.75","3,375.50","3,375.50","258,679",,
11/18/13,"3,416.50","3,425.75","3,380.25","3,384.00","3,384.00","223,476",,
11/15/13,"3,412.25","3,421.25","3,405.25","3,416.50","3,416.50","156,493",,
11/14/13,"3,392.50","3,415.75","3,386.75","3,410.50","3,410.50","225,748",,
11/13/13,"3,363.50","3,406.75","3,338.25","3,402.00","3,402.00","269,387",,
11/12/13,"3,354.75","3,366.75","3,343.75","3,364.50","3,364.50","196,199",,
11/11/13,"3,361.50","3,365.50","3,345.50","3,354.25","3,354.25","164,939",,
11/08/13,"3,321.75","3,363.00","3,310.00","3,360.50","3,360.50","289,374",,
11/07/13,"3,374.00","3,387.00","3,314.25","3,319.50","3,319.50","404,482",,
11/06/13,"3,380.00","3,398.00","3,370.25","3,376.00","3,376.00","218,082",,
11/05/13,"3,378.00","3,390.50","3,355.75","3,379.75","3,379.75","224,570",,
