Date,Ticker,Per,Date,Open,High,Low,Close,Vol
2010-01-01,D&J-IND,1,2010-01-01 00:08:20,10428.05,10428.05,10428.05,10428.05,0
2010-01-04,D&J-IND,1,2010-01-04 17:31:40,10580.78,10583.13,10580.78,10583.13,0
2010-01-05,D&J-IND,1,2010-01-05 17:31:40,10568.24,10568.92,10567.41,10568.92,0
2010-01-06,D&J-IND,1,2010-01-06 17:31:40,10571.87,10573.0,10571.79,10572.47,0
2010-01-07,D&J-IND,1,2010-01-07 17:31:40,10605.12,10608.07,10605.12,10608.07,0
2010-01-08,D&J-IND,1,2010-01-08 17:31:40,10612.0,10614.19,10611.92,10614.19,0
2010-01-09,D&J-IND,1,2010-01-09 00:03:20,10617.66,10618.19,10617.66,10618.19,0
2010-01-11,D&J-IND,1,2010-01-11 17:31:40,10661.88,10664.22,10661.65,10664.22,0
2010-01-12,D&J-IND,1,2010-01-12 17:31:40,10620.91,10621.59,10620.54,10621.44,0
2010-01-13,D&J-IND,1,2010-01-13 17:31:40,10688.1,10688.1,10684.47,10684.47,0
2010-01-14,D&J-IND,1,2010-01-14 17:31:40,10711.53,10711.53,10709.79,10709.79,0
2010-01-15,D&J-IND,1,2010-01-15 17:31:40,10613.21,10614.19,10610.86,10614.19,0
2010-01-16,D&J-IND,1,2010-01-16 00:05:00,10609.65,10609.65,10609.65,10609.65,0
2010-01-19,D&J-IND,1,2010-01-19 17:31:40,10725.96,10726.04,10724.9,10725.06,0
2010-01-20,D&J-IND,1,2010-01-20 17:31:40,10606.71,10607.23,10605.19,10605.87,0
2010-01-21,D&J-IND,1,2010-01-21 17:31:40,10392.0,10392.53,10388.6,10389.43,0
2010-01-22,D&J-IND,1,2010-01-22 17:31:40,10171.77,10174.04,10164.21,10165.65,0
2010-01-23,D&J-IND,1,2010-01-23 00:08:20,10172.98,10172.98,10172.98,10172.98,0
2010-01-25,D&J-IND,1,2010-01-25 17:31:40,10201.62,10203.89,10201.1,10201.4,0
2010-01-26,D&J-IND,1,2010-01-26 17:31:40,10199.89,10199.89,10197.32,10197.54,0
2010-01-27,D&J-IND,1,2010-01-27 17:31:40,10234.5,10241.07,10234.5,10241.07,0
2010-01-28,D&J-IND,1,2010-01-28 17:31:40,10129.15,10130.74,10128.47,10129.37,0
2010-01-29,D&J-IND,1,2010-01-29 17:31:40,10083.73,10083.73,10072.39,10072.39,0
2010-01-30,D&J-IND,1,2010-01-30 00:08:20,10067.1,10067.33,10067.1,10067.33,0
2010-02-01,D&J-IND,1,2010-02-01 17:31:40,10189.68,10189.68,10187.04,10187.04,0
2010-02-02,D&J-IND,1,2010-02-02 17:31:40,10299.49,10302.74,10299.49,10302.67,0
2010-02-03,D&J-IND,1,2010-02-03 17:31:40,10271.91,10271.91,10267.53,10270.25,0
2010-02-04,D&J-IND,1,2010-02-04 17:31:40,10005.81,10008.83,10005.81,10008.83,0
2010-02-05,D&J-IND,1,2010-02-05 17:31:40,10002.56,10008.0,10000.9,10008.0,0
2010-02-06,D&J-IND,1,2010-02-06 00:05:00,10012.16,10012.38,10012.16,10012.23,0
2010-02-08,D&J-IND,1,2010-02-08 17:31:40,9916.63,9916.71,9913.08,9914.74,0
2010-02-09,D&J-IND,1,2010-02-09 17:31:40,10056.29,10057.2,10055.54,10055.54,0
2010-02-10,D&J-IND,1,2010-02-10 17:31:40,10039.29,10042.84,10039.29,10042.84,0
2010-02-11,D&J-IND,1,2010-02-11 17:31:40,10149.48,10149.48,10147.21,10147.51,0
2010-02-12,D&J-IND,1,2010-02-12 17:31:40,10089.77,10093.25,10089.77,10089.92,0
2010-02-13,D&J-IND,1,2010-02-13 00:08:20,10099.9,10099.9,10097.18,10097.18,0
2010-02-16,D&J-IND,1,2010-02-16 17:31:40,10258.76,10265.64,10258.38,10265.64,0
2010-02-17,D&J-IND,1,2010-02-17 17:31:40,10304.86,10306.22,10303.95,10305.99,0
2010-02-18,D&J-IND,1,2010-02-18 17:31:40,10390.94,10392.98,10390.94,10392.98,0
2010-02-19,D&J-IND,1,2010-02-19 17:31:40,10401.44,10401.97,10401.44,10401.97,0
2010-02-20,D&J-IND,1,2010-02-20 00:05:00,10402.35,10402.58,10402.28,10402.35,0
2010-02-22,D&J-IND,1,2010-02-22 17:31:40,10374.62,10378.02,10374.54,10378.02,0
2010-02-23,D&J-IND,1,2010-02-23 17:31:40,10278.26,10278.48,10276.14,10276.14,0
2010-02-24,D&J-IND,1,2010-02-24 17:31:40,10375.14,10378.77,10375.14,10378.77,0
2010-02-25,D&J-IND,1,2010-02-25 17:31:40,10317.63,10317.63,10314.84,10317.18,0
2010-02-26,D&J-IND,1,2010-02-26 17:31:40,10341.29,10342.12,10338.34,10338.34,0
2010-02-27,D&J-IND,1,2010-02-27 00:06:40,10324.43,10324.43,10324.43,10324.43,0
