,Date,Open,High,Low,Close,Vol
0,2010-01-04,42.885,42.89,42.85,42.85,312873.0
1,2010-01-05,43.69,43.7,43.66,43.67,342934.0
2,2010-01-06,43.9,43.92,43.9,43.91,135930.0
3,2010-01-07,44.77,44.82,44.77,44.81,307549.0
4,2010-01-08,44.6,44.67,44.59,44.67,219077.0
5,2010-01-09,44.67,44.68,44.62,44.67,440793.0
6,2010-01-10,44.605000000000004,44.614999999999995,44.57,44.6,340444.5
7,2010-01-11,44.54,44.55,44.52,44.53,240096.0
8,2010-01-12,43.44,43.47,43.43,43.47,397544.0
9,2010-01-13,44.32,44.35,44.3,44.305,355335.0
10,2010-01-14,44.6599,44.67,44.63,44.64,583794.0
11,2010-01-15,43.73,43.77,43.72,43.75,736435.0
12,2010-01-16,43.7501,43.77,43.67,43.67,986938.0
13,2010-01-17,43.59673333333333,43.61333333333334,43.53666666666667,43.5432,932525.6666666666
14,2010-01-18,43.44336666666667,43.45666666666666,43.403333333333336,43.4164,878113.3333333334
15,2010-01-19,43.29,43.3,43.27,43.2896,823701.0
16,2010-01-20,43.45,43.46,43.41,43.45,276944.0
17,2010-01-21,40.5,40.51,40.45,40.47,806388.0
18,2010-01-22,39.16,39.17,39.08,39.12,750259.0
19,2010-01-23,39.1227,39.19,39.12,39.16,747817.0
20,2010-01-24,39.171350000000004,39.209999999999994,39.165,39.185,621494.5
21,2010-01-25,39.22,39.23,39.21,39.21,495172.0
22,2010-01-26,38.42,38.44,38.37,38.38,561285.0
23,2010-01-27,39.34,39.37,39.32,39.32,459880.0
24,2010-01-28,39.55,39.56,39.54,39.54,451962.0
25,2010-01-29,39.01,39.02,38.93,38.99,525344.0
26,2010-01-30,38.98,39.01,38.91,38.93,814191.0
27,2010-01-31,39.33,39.349999999999994,39.285,39.305,579943.0
28,2010-02-01,39.68,39.69,39.66,39.68,345695.0
29,2010-02-02,40.5,40.54,40.5,40.53,428763.0
30,2010-02-03,40.32,40.32,40.28,40.29,320461.0
31,2010-02-04,38.43,38.48,38.4,38.41,612667.0
32,2010-02-05,38.31,38.36,38.27,38.3593,754863.0
33,2010-02-06,38.36,38.4,38.33,38.35,1034323.0
34,2010-02-07,38.055,38.085,38.019999999999996,38.035,890759.5
35,2010-02-08,37.75,37.77,37.71,37.72,747196.0
36,2010-02-09,38.39,38.4,38.38,38.4,214637.0
37,2010-02-10,38.86,38.89,38.85,38.88,254469.0
38,2010-02-11,39.06,39.06,39.04,39.04,253055.0
39,2010-02-12,38.94,39.0,38.93,38.98,547845.0
40,2010-02-13,38.98,39.1,38.96,39.06,890742.0
41,2010-02-14,39.309999999999995,39.406666666666666,39.29666666666667,39.38,728885.0
42,2010-02-15,39.64,39.71333333333334,39.63333333333333,39.7,567028.0
43,2010-02-16,39.97,40.02,39.97,40.02,405171.0
44,2010-02-17,40.03,40.05,40.01,40.02,247823.0
45,2010-02-18,40.36,40.41,40.35,40.37,484990.0
46,2010-02-19,40.02,40.04,40.01,40.02,456477.0
47,2010-02-20,40.02,40.04,40.0,40.0101,921449.0
48,2010-02-21,40.44,40.474999999999994,40.425,40.460049999999995,627860.0
49,2010-02-22,40.86,40.91,40.85,40.91,334271.0
50,2010-02-23,39.82,39.85,39.81,39.82,601262.0
51,2010-02-24,40.845,40.88,40.84,40.86,450960.0
52,2010-02-25,40.63,40.65,40.62,40.65,313767.0
53,2010-02-26,42.08,42.08,42.02,42.02,575560.0
54,2010-02-27,42.03,42.03,41.97,41.98,800948.0
55,2010-02-28,41.915,41.935,41.879999999999995,41.91,534617.0
56,2010-03-01,41.8,41.84,41.79,41.84,268286.0
57,2010-03-02,41.63,41.63,41.58,41.6,254390.0
58,2010-03-03,41.6,41.61,41.57,41.57,198143.0
59,2010-03-04,41.9,41.92,41.895,41.91,287457.0
60,2010-03-05,42.75,42.78,42.75,42.78,633178.0
61,2010-03-06,42.77,42.8,42.77,42.8,589162.0
62,2010-03-07,42.68000000000001,42.695,42.665000000000006,42.685,427463.5
63,2010-03-08,42.59,42.59,42.56,42.57,265765.0
64,2010-03-09,42.37,42.39,42.34,42.38,475225.0
65,2010-03-10,42.96,42.96,42.95,42.95,147819.0
66,2010-03-11,43.19,43.19,42.85,43.13,363347.0
67,2010-03-12,43.1607,43.18,43.16,43.18,342328.0
68,2010-03-13,43.17,43.21,43.17,43.19,499614.0
69,2010-03-14,43.13,43.16,43.115,43.14,348042.5
70,2010-03-15,43.09,43.11,43.06,43.09,196471.0
71,2010-03-16,42.96,43.0,42.95,42.98,47666.0
72,2010-03-17,43.62,43.62,43.6,43.6,39820.0
73,2010-03-18,43.47,43.54,43.47,43.52,98552.0
74,2010-03-19,43.431,43.46,43.43,43.445,62246.0
75,2010-03-20,43.524,43.553333333333335,43.52,43.54333333333334,79237.0
76,2010-03-21,43.617,43.64666666666667,43.61,43.641666666666666,96228.0
77,2010-03-22,43.71,43.74,43.7,43.74,113219.0
78,2010-03-23,43.98,43.9807,43.97,43.97,34700.0
79,2010-03-24,44.82,44.82,44.79,44.8,86856.0
80,2010-03-25,45.22,45.2293,45.18,45.22,80465.0
81,2010-03-26,45.51,45.55,45.5,45.55,27177.0
82,2010-03-27,45.28666666666667,45.31666666666666,45.28,45.31666666666666,76019.0
83,2010-03-28,45.06333333333333,45.083333333333336,45.06,45.083333333333336,124861.0
84,2010-03-29,44.84,44.85,44.84,44.85,173703.0
85,2010-03-30,44.64,44.68,44.54,44.55,934101.0
86,2010-03-31,44.81,44.83,44.7,44.76,871910.0
87,2010-04-01,45.16,45.19,45.16,45.19,255300.0
88,2010-04-02,45.19,45.22,45.19,45.22,559823.0
89,2010-04-03,45.22333333333333,45.24666666666666,45.21666666666667,45.24666666666666,448432.6666666667
