Date,Ticker,Per,Date,Open,High,Low,Close,Vol
2010-01-04,US1.JPM,1,2010-01-04 17:31:40,42.885,42.89,42.85,42.85,312873
2010-01-05,US1.JPM,1,2010-01-05 17:31:40,43.69,43.7,43.66,43.67,342934
2010-01-06,US1.JPM,1,2010-01-06 17:31:40,43.9,43.92,43.9,43.91,135930
2010-01-07,US1.JPM,1,2010-01-07 17:31:40,44.77,44.82,44.77,44.81,307549
2010-01-08,US1.JPM,1,2010-01-08 17:31:40,44.6,44.67,44.59,44.67,219077
2010-01-09,US1.JPM,1,2010-01-09 00:00:00,44.67,44.68,44.62,44.67,440793
2010-01-11,US1.JPM,1,2010-01-11 17:31:40,44.54,44.55,44.52,44.53,240096
2010-01-12,US1.JPM,1,2010-01-12 17:31:40,43.44,43.47,43.43,43.47,397544
2010-01-13,US1.JPM,1,2010-01-13 17:31:40,44.32,44.35,44.3,44.305,355335
2010-01-14,US1.JPM,1,2010-01-14 17:31:40,44.6599,44.67,44.63,44.64,583794
2010-01-15,US1.JPM,1,2010-01-15 17:31:40,43.73,43.77,43.72,43.75,736435
2010-01-16,US1.JPM,1,2010-01-16 00:00:00,43.7501,43.77,43.67,43.67,986938
2010-01-19,US1.JPM,1,2010-01-19 17:31:40,43.29,43.3,43.27,43.2896,823701
2010-01-20,US1.JPM,1,2010-01-20 17:31:40,43.45,43.46,43.41,43.45,276944
2010-01-21,US1.JPM,1,2010-01-21 17:31:40,40.5,40.51,40.45,40.47,806388
2010-01-22,US1.JPM,1,2010-01-22 17:31:40,39.16,39.17,39.08,39.12,750259
2010-01-23,US1.JPM,1,2010-01-23 00:00:00,39.1227,39.19,39.12,39.16,747817
2010-01-25,US1.JPM,1,2010-01-25 17:31:40,39.22,39.23,39.21,39.21,495172
2010-01-26,US1.JPM,1,2010-01-26 17:31:40,38.42,38.44,38.37,38.38,561285
2010-01-27,US1.JPM,1,2010-01-27 17:31:40,39.34,39.37,39.32,39.32,459880
2010-01-28,US1.JPM,1,2010-01-28 17:31:40,39.55,39.56,39.54,39.54,451962
2010-01-29,US1.JPM,1,2010-01-29 17:31:40,39.01,39.02,38.93,38.99,525344
2010-01-30,US1.JPM,1,2010-01-30 00:00:00,38.98,39.01,38.91,38.93,814191
2010-02-01,US1.JPM,1,2010-02-01 17:31:40,39.68,39.69,39.66,39.68,345695
2010-02-02,US1.JPM,1,2010-02-02 17:31:40,40.5,40.54,40.5,40.53,428763
2010-02-03,US1.JPM,1,2010-02-03 17:31:40,40.32,40.32,40.28,40.29,320461
2010-02-04,US1.JPM,1,2010-02-04 17:31:40,38.43,38.48,38.4,38.41,612667
2010-02-05,US1.JPM,1,2010-02-05 17:31:40,38.31,38.36,38.27,38.3593,754863
2010-02-06,US1.JPM,1,2010-02-06 00:00:00,38.36,38.4,38.33,38.35,1034323
2010-02-08,US1.JPM,1,2010-02-08 17:31:40,37.75,37.77,37.71,37.72,747196
2010-02-09,US1.JPM,1,2010-02-09 17:31:40,38.39,38.4,38.38,38.4,214637
2010-02-10,US1.JPM,1,2010-02-10 17:31:40,38.86,38.89,38.85,38.88,254469
2010-02-11,US1.JPM,1,2010-02-11 17:31:40,39.06,39.06,39.04,39.04,253055
2010-02-12,US1.JPM,1,2010-02-12 17:31:40,38.94,39.0,38.93,38.98,547845
2010-02-13,US1.JPM,1,2010-02-13 00:00:00,38.98,39.1,38.96,39.06,890742
2010-02-16,US1.JPM,1,2010-02-16 17:31:40,39.97,40.02,39.97,40.02,405171
2010-02-17,US1.JPM,1,2010-02-17 17:31:40,40.03,40.05,40.01,40.02,247823
2010-02-18,US1.JPM,1,2010-02-18 17:31:40,40.36,40.41,40.35,40.37,484990
2010-02-19,US1.JPM,1,2010-02-19 17:31:40,40.02,40.04,40.01,40.02,456477
2010-02-20,US1.JPM,1,2010-02-20 00:00:00,40.02,40.04,40.0,40.0101,921449
2010-02-22,US1.JPM,1,2010-02-22 17:31:40,40.86,40.91,40.85,40.91,334271
2010-02-23,US1.JPM,1,2010-02-23 17:31:40,39.82,39.85,39.81,39.82,601262
2010-02-24,US1.JPM,1,2010-02-24 17:31:40,40.845,40.88,40.84,40.86,450960
2010-02-25,US1.JPM,1,2010-02-25 17:31:40,40.63,40.65,40.62,40.65,313767
2010-02-26,US1.JPM,1,2010-02-26 17:31:40,42.08,42.08,42.02,42.02,575560
2010-02-27,US1.JPM,1,2010-02-27 00:00:00,42.03,42.03,41.97,41.98,800948
2010-03-01,US1.JPM,1,2010-03-01 17:31:40,41.8,41.84,41.79,41.84,268286
2010-03-02,US1.JPM,1,2010-03-02 17:31:40,41.63,41.63,41.58,41.6,254390
2010-03-03,US1.JPM,1,2010-03-03 17:31:40,41.6,41.61,41.57,41.57,198143
2010-03-04,US1.JPM,1,2010-03-04 17:31:40,41.9,41.92,41.895,41.91,287457
2010-03-05,US1.JPM,1,2010-03-05 17:31:40,42.75,42.78,42.75,42.78,633178
2010-03-06,US1.JPM,1,2010-03-06 00:00:00,42.77,42.8,42.77,42.8,589162
2010-03-08,US1.JPM,1,2010-03-08 17:31:40,42.59,42.59,42.56,42.57,265765
2010-03-09,US1.JPM,1,2010-03-09 17:31:40,42.37,42.39,42.34,42.38,475225
2010-03-10,US1.JPM,1,2010-03-10 17:31:40,42.96,42.96,42.95,42.95,147819
2010-03-11,US1.JPM,1,2010-03-11 17:31:40,43.19,43.19,42.85,43.13,363347
2010-03-12,US1.JPM,1,2010-03-12 17:31:40,43.1607,43.18,43.16,43.18,342328
2010-03-13,US1.JPM,1,2010-03-13 00:00:00,43.17,43.21,43.17,43.19,499614
2010-03-15,US1.JPM,1,2010-03-15 23:58:20,43.09,43.11,43.06,43.09,196471
2010-03-16,US1.JPM,1,2010-03-16 23:58:20,42.96,43.0,42.95,42.98,47666
2010-03-17,US1.JPM,1,2010-03-17 23:58:20,43.62,43.62,43.6,43.6,39820
2010-03-18,US1.JPM,1,2010-03-18 23:58:20,43.47,43.54,43.47,43.52,98552
2010-03-19,US1.JPM,1,2010-03-19 23:58:20,43.431,43.46,43.43,43.445,62246
2010-03-22,US1.JPM,1,2010-03-22 23:58:20,43.71,43.74,43.7,43.74,113219
2010-03-23,US1.JPM,1,2010-03-23 23:58:20,43.98,43.9807,43.97,43.97,34700
2010-03-24,US1.JPM,1,2010-03-24 23:58:20,44.82,44.82,44.79,44.8,86856
2010-03-25,US1.JPM,1,2010-03-25 23:58:20,45.22,45.2293,45.18,45.22,80465
2010-03-26,US1.JPM,1,2010-03-26 23:58:20,45.51,45.55,45.5,45.55,27177
2010-03-29,US1.JPM,1,2010-03-29 17:31:40,44.84,44.85,44.84,44.85,173703
2010-03-30,US1.JPM,1,2010-03-30 17:31:40,44.64,44.68,44.54,44.55,934101
2010-03-31,US1.JPM,1,2010-03-31 17:31:40,44.81,44.83,44.7,44.76,871910
2010-04-01,US1.JPM,1,2010-04-01 17:31:40,45.16,45.19,45.16,45.19,255300
2010-04-02,US1.JPM,1,2010-04-02 00:00:00,45.19,45.22,45.19,45.22,559823
2010-04-05,US1.JPM,1,2010-04-05 17:31:40,45.29,45.3,45.27,45.3,225652
2010-04-06,US1.JPM,1,2010-04-06 17:31:40,45.84,45.855,45.82,45.83,319620
2010-04-07,US1.JPM,1,2010-04-07 17:31:40,45.29,45.29,45.26,45.27,323994
2010-04-08,US1.JPM,1,2010-04-08 17:31:40,45.77,45.79,45.76,45.78,165105
2010-04-09,US1.JPM,1,2010-04-09 17:31:40,45.985,45.99,45.97,45.97,195162
2010-04-10,US1.JPM,1,2010-04-10 00:00:00,45.97,45.98,45.94,45.97,346581
2010-04-12,US1.JPM,1,2010-04-12 17:31:40,46.13,46.13,46.12,46.13,162274
2010-04-13,US1.JPM,1,2010-04-13 17:31:40,45.88,45.9,45.88,45.89,230579
2010-04-14,US1.JPM,1,2010-04-14 17:31:40,47.72,47.72,47.7,47.71,385959
2010-04-15,US1.JPM,1,2010-04-15 17:31:40,47.86,47.86,47.81,47.815,242755
2010-04-16,US1.JPM,1,2010-04-16 17:31:40,45.71,45.73,45.7,45.7,771006
2010-04-17,US1.JPM,1,2010-04-17 00:00:00,45.7,45.72,45.61,45.66,1563962
2010-04-19,US1.JPM,1,2010-04-19 17:31:40,45.38,45.4,45.38,45.4,438507
2010-04-20,US1.JPM,1,2010-04-20 17:31:40,45.8,45.8,45.79,45.8,165851
2010-04-21,US1.JPM,1,2010-04-21 17:31:40,45.31,45.32,45.31,45.32,229684
2010-04-22,US1.JPM,1,2010-04-22 17:31:40,44.81,44.81,44.76,44.77,377864
2010-04-23,US1.JPM,1,2010-04-23 17:31:40,44.89,44.93,44.88,44.92,235093
2010-04-24,US1.JPM,1,2010-04-24 00:00:00,44.93,44.94,44.92,44.93,563681
2010-04-26,US1.JPM,1,2010-04-26 17:31:40,43.91,43.92,43.91,43.92,302629
2010-04-27,US1.JPM,1,2010-04-27 17:31:40,42.46,42.48,42.45,42.47,430946
2010-04-28,US1.JPM,1,2010-04-28 17:31:40,43.34,43.39,43.33,43.38,266030
2010-04-29,US1.JPM,1,2010-04-29 17:31:40,43.95,43.98,43.94,43.945,715502
2010-04-30,US1.JPM,1,2010-04-30 17:31:40,42.61,42.62,42.55,42.57,464070
2010-05-01,US1.JPM,1,2010-05-01 00:00:00,42.57,42.58,42.53,42.54,773713
2010-05-03,US1.JPM,1,2010-05-03 17:31:40,43.4999,43.54,43.49,43.53,353775
2010-05-04,US1.JPM,1,2010-05-04 17:31:40,42.43,42.475,42.42,42.47,507918
2010-05-05,US1.JPM,1,2010-05-05 17:31:40,42.65,42.67,42.64,42.65,162191
2010-05-06,US1.JPM,1,2010-05-06 17:31:40,40.74,40.84,40.7181,40.79,706511
2010-05-07,US1.JPM,1,2010-05-07 17:31:40,40.9,40.94,40.84,40.84,423692
2010-05-08,US1.JPM,1,2010-05-08 00:00:00,40.85,40.89,40.73,40.78,812899
2010-05-10,US1.JPM,1,2010-05-10 17:31:40,41.905,42.05,41.9,41.955,1485660
2010-05-11,US1.JPM,1,2010-05-11 17:31:40,41.67,41.68,41.64,41.64,359553
2010-05-12,US1.JPM,1,2010-05-12 17:31:40,41.65,41.66,41.63,41.64,368704
2010-05-13,US1.JPM,1,2010-05-13 17:31:40,40.8,40.84,40.8,40.84,413208
2010-05-14,US1.JPM,1,2010-05-14 17:31:40,39.8,39.87,39.79,39.87,480086
2010-05-15,US1.JPM,1,2010-05-15 00:00:00,39.86,39.9,39.85,39.89,847198
2010-05-17,US1.JPM,1,2010-05-17 17:31:40,39.88,39.89,39.84,39.87,586059
2010-05-18,US1.JPM,1,2010-05-18 17:31:40,39.06,39.08,39.03,39.03,603241
2010-05-19,US1.JPM,1,2010-05-19 17:31:40,39.4,39.4,39.36,39.37,473001
2010-05-20,US1.JPM,1,2010-05-20 17:31:40,37.95,37.99,37.84,37.95,962393
2010-05-21,US1.JPM,1,2010-05-21 17:31:40,40.095,40.15,40.06,40.15,1049859
2010-05-22,US1.JPM,1,2010-05-22 00:00:00,40.15,40.16,40.02,40.04,1357970
2010-05-24,US1.JPM,1,2010-05-24 17:31:40,38.53,38.6,38.53,38.59,372968
2010-05-25,US1.JPM,1,2010-05-25 17:31:40,38.96,39.01,38.92,38.94,703445
2010-05-26,US1.JPM,1,2010-05-26 17:31:40,38.74,39.15,38.69,38.77,454324
2010-05-27,US1.JPM,1,2010-05-27 17:31:40,40.4,40.44,40.39,40.44,639427
2010-05-28,US1.JPM,1,2010-05-28 17:31:40,39.56,39.59,39.51,39.56,473115
2010-05-29,US1.JPM,1,2010-05-29 00:00:00,39.56,39.58,39.47,39.53,1040181
2010-06-01,US1.JPM,1,2010-06-01 17:31:40,38.67,38.68,38.59,38.6,603246
2010-06-02,US1.JPM,1,2010-06-02 17:31:40,39.52,39.58,39.51,39.58,547001
2010-06-03,US1.JPM,1,2010-06-03 17:31:40,39.14,39.14,39.12,39.13,193098
2010-06-04,US1.JPM,1,2010-06-04 17:31:40,37.5401,37.62,37.51,37.6,765679
2010-06-05,US1.JPM,1,2010-06-05 00:00:00,37.6,37.73,37.52,37.73,976181
2010-06-07,US1.JPM,1,2010-06-07 17:31:40,36.78,36.78,36.74,36.745,489427
2010-06-08,US1.JPM,1,2010-06-08 17:31:40,37.72,37.77,37.71,37.74,799054
2010-06-09,US1.JPM,1,2010-06-09 17:31:40,37.12,37.19,37.11,37.17,486015
2010-06-10,US1.JPM,1,2010-06-10 17:31:40,38.35,38.35,38.29,38.29,523847
2010-06-11,US1.JPM,1,2010-06-11 17:31:40,38.06,38.09,38.06,38.06,300893
2010-06-12,US1.JPM,1,2010-06-12 00:00:00,38.07,38.09,38.05,38.08,357594
2010-06-14,US1.JPM,1,2010-06-14 17:31:40,37.31,37.32,37.29,37.29,375002
2010-06-15,US1.JPM,1,2010-06-15 17:31:40,38.19,38.2,38.17,38.18,372828
2010-06-16,US1.JPM,1,2010-06-16 17:31:40,38.52,38.52,38.5,38.505,151982
2010-06-17,US1.JPM,1,2010-06-17 17:31:40,38.46,38.52,38.38,38.39,601943
2010-06-18,US1.JPM,1,2010-06-18 17:31:40,39.15,39.17,39.12,39.17,291227
2010-06-19,US1.JPM,1,2010-06-19 00:00:00,39.17,39.24,39.13,39.2,897387
2010-06-21,US1.JPM,1,2010-06-21 17:31:40,38.86,38.86,38.79,38.81,408256
2010-06-22,US1.JPM,1,2010-06-22 17:31:40,38.33,38.37,38.26,38.28,815382
