,Date,Open,High,Low,Close,Vol
0,2010-01-04,20.24,20.25,20.22,20.22,63202.0
1,2010-01-05,20.2902,20.3,20.28,20.28,24691.0
2,2010-01-06,20.28,20.29,20.27,20.29,12756.0
3,2010-01-07,20.02,20.03,20.01,20.01,40267.0
4,2010-01-08,20.19,20.22,20.19,20.22,20207.0
5,2010-01-09,20.21,20.22,20.21,20.22,18784.0
6,2010-01-10,20.245,20.259999999999998,20.245,20.255,34853.5
7,2010-01-11,20.28,20.3,20.28,20.29,50923.0
8,2010-01-12,19.92,19.93,19.91,19.93,17318.0
9,2010-01-13,20.11,20.12,20.11,20.115,53755.0
10,2010-01-14,20.26,20.26,20.24,20.25,34361.0
11,2010-01-15,20.17,20.18,20.16,20.16,30866.0
12,2010-01-16,20.17,20.18,20.16,20.17,53184.0
13,2010-01-17,20.163333333333334,20.169999999999998,20.153333333333332,20.16,38253.0
14,2010-01-18,20.156666666666666,20.16,20.14666666666667,20.150000000000002,23322.0
15,2010-01-19,20.15,20.15,20.14,20.14,8391.0
16,2010-01-20,19.93,19.93,19.92,19.93,27471.0
17,2010-01-21,19.0,19.0,18.98,18.99,58720.0
18,2010-01-22,18.35,18.36,18.34,18.34,44604.0
19,2010-01-23,18.35,18.35,18.32,18.34,70950.0
20,2010-01-24,18.37,18.375,18.35,18.36,41246.5
21,2010-01-25,18.39,18.4,18.38,18.38,11543.0
22,2010-01-26,18.12,18.13,18.11,18.12,33980.0
23,2010-01-27,18.3398,18.355,18.33,18.34,47335.0
24,2010-01-28,18.27,18.27,18.24,18.25,26330.0
25,2010-01-29,18.01,18.03,18.0,18.01,63216.0
26,2010-01-30,18.0,18.01,18.0,18.0,73979.0
27,2010-01-31,18.22,18.225,18.215,18.22,52474.0
28,2010-02-01,18.44,18.44,18.43,18.44,30969.0
29,2010-02-02,18.53,18.56,18.53,18.5502,16922.0
30,2010-02-03,19.0,19.01,18.99,19.0,56531.0
31,2010-02-04,18.38,18.38,18.36,18.37,42591.0
32,2010-02-05,18.79,18.8,18.78,18.79,24928.0
33,2010-02-06,18.79,18.81,18.78,18.81,63280.0
34,2010-02-07,18.4,18.424999999999997,18.384999999999998,18.424999999999997,71253.5
35,2010-02-08,18.01,18.04,17.99,18.04,79227.0
