,Date,Close,Open,High,Low,Vol.,Change %
0,2010-01-04,1132.99,1116.56,1133.87,1116.56,,1.60%
1,2010-01-05,1136.52,1132.66,1136.63,1129.66,,0.31%
2,2010-01-06,1137.14,1135.71,1139.19,1133.95,,0.05%
3,2010-01-07,1141.69,1136.27,1142.46,1131.32,,0.40%
4,2010-01-08,1144.98,1140.52,1145.39,1136.22,,0.29%
5,2010-01-09,1145.6466666666668,1142.3333333333333,1146.8400000000001,1138.1533333333334,,
6,2010-01-10,1146.3133333333333,1144.1466666666668,1148.29,1140.0866666666666,,
7,2010-01-11,1146.98,1145.96,1149.74,1142.02,,0.17%
8,2010-01-12,1136.22,1143.81,1143.81,1131.77,,-0.94%
9,2010-01-13,1145.68,1137.31,1148.4,1133.18,,0.83%
10,2010-01-14,1148.46,1145.68,1150.41,1143.8,,0.24%
11,2010-01-15,1136.03,1147.72,1147.77,1131.39,,-1.08%
12,2010-01-16,1139.58,1144.7975000000001,1148.44,1132.4850000000001,,
13,2010-01-17,1143.13,1141.875,1149.1100000000001,1133.58,,
14,2010-01-18,1146.68,1138.9524999999999,1149.78,1134.675,,
15,2010-01-19,1150.23,1136.03,1150.45,1135.77,,1.25%
16,2010-01-20,1138.04,1147.95,1147.95,1129.25,,-1.06%
17,2010-01-21,1116.48,1138.68,1141.58,1114.84,,-1.89%
18,2010-01-22,1091.76,1115.49,1115.49,1090.18,,-2.21%
19,2010-01-23,1093.4333333333334,1107.7933333333333,1111.3166666666666,1090.92,,
20,2010-01-24,1095.1066666666666,1100.0966666666668,1107.1433333333334,1091.66,,
21,2010-01-25,1096.78,1092.4,1102.97,1092.4,,0.46%
22,2010-01-26,1092.17,1095.8,1103.69,1089.86,,-0.42%
23,2010-01-27,1097.5,1091.94,1099.51,1083.11,,0.49%
24,2010-01-28,1084.53,1096.93,1100.22,1078.46,,-1.18%
25,2010-01-29,1073.87,1087.61,1096.45,1071.59,,-0.98%
26,2010-01-30,1078.9766666666667,1083.0366666666666,1094.0933333333335,1072.3566666666666,,
27,2010-01-31,1084.0833333333333,1078.4633333333334,1091.7366666666667,1073.1233333333334,,
28,2010-02-01,1089.19,1073.89,1089.38,1073.89,,1.43%
29,2010-02-02,1103.32,1090.05,1104.73,1087.96,,1.30%
30,2010-02-03,1097.28,1100.67,1102.72,1093.97,,-0.55%
31,2010-02-04,1063.11,1097.25,1097.25,1062.78,,-3.11%
32,2010-02-05,1066.19,1064.12,1067.13,1044.5,,0.29%
33,2010-02-06,1063.04,1064.5833333333333,1068.4866666666667,1048.5033333333333,,
34,2010-02-07,1059.89,1065.0466666666666,1069.8433333333335,1052.5066666666667,,
35,2010-02-08,1056.74,1065.51,1071.2,1056.51,,-0.89%
36,2010-02-09,1070.52,1060.06,1079.28,1060.06,,1.30%
37,2010-02-10,1068.13,1069.68,1073.67,1059.34,,-0.22%
38,2010-02-11,1078.47,1067.1,1080.04,1060.59,,0.97%
39,2010-02-12,1075.51,1075.95,1077.81,1062.97,,-0.27%
40,2010-02-13,1080.35,1076.7450000000001,1082.275,1067.01,,
41,2010-02-14,1085.19,1077.54,1086.74,1071.0500000000002,,
42,2010-02-15,1090.03,1078.335,1091.205,1075.0900000000001,,
43,2010-02-16,1094.87,1079.13,1095.67,1079.13,,1.80%
44,2010-02-17,1099.51,1096.14,1101.03,1094.72,,0.42%
45,2010-02-18,1106.75,1099.03,1108.24,1097.48,,0.66%
46,2010-02-19,1109.17,1105.49,1112.42,1100.8,,0.22%
47,2010-02-20,1108.7833333333333,1106.9933333333333,1112.3766666666668,1102.3266666666666,,
48,2010-02-21,1108.3966666666668,1108.4966666666667,1112.3333333333333,1103.8533333333335,,
49,2010-02-22,1108.01,1110.0,1112.29,1105.38,,-0.10%
50,2010-02-23,1094.6,1107.49,1108.58,1092.18,,-1.21%
51,2010-02-24,1105.24,1095.89,1106.42,1095.5,,0.97%
52,2010-02-25,1102.94,1101.24,1103.5,1086.02,,-0.21%
53,2010-02-26,1104.49,1103.1,1107.24,1097.56,,0.14%
54,2010-02-27,1108.23,1103.8533333333332,1110.1966666666667,1100.1599999999999,,
55,2010-02-28,1111.97,1104.6066666666666,1113.1533333333332,1102.76,,
56,2010-03-01,1115.71,1105.36,1116.11,1105.36,,1.02%
57,2010-03-02,1118.31,1117.01,1123.46,1116.51,,0.23%
58,2010-03-03,1118.79,1119.36,1125.64,1116.58,,0.04%
59,2010-03-04,1122.97,1119.12,1123.73,1116.66,,0.37%
60,2010-03-05,1138.7,1125.12,1139.38,1125.12,,1.40%
61,2010-03-06,1138.6333333333334,1129.5466666666666,1139.9366666666667,1129.0033333333333,,
62,2010-03-07,1138.5666666666666,1133.9733333333334,1140.4933333333333,1132.8866666666665,,
63,2010-03-08,1138.5,1138.4,1141.05,1136.77,,-0.02%
64,2010-03-09,1140.45,1137.56,1145.37,1134.9,,0.17%
65,2010-03-10,1145.61,1140.22,1148.26,1140.09,,0.45%
66,2010-03-11,1150.24,1143.96,1150.24,1138.99,,0.40%
67,2010-03-12,1149.99,1151.71,1153.41,1146.97,,-0.02%
68,2010-03-13,1150.1633333333334,1150.65,1152.6000000000001,1145.13,,
69,2010-03-14,1150.3366666666666,1149.59,1151.79,1143.29,,
70,2010-03-15,1150.51,1148.53,1150.98,1141.45,,0.05%
71,2010-03-16,1159.46,1150.83,1160.28,1150.35,,0.78%
72,2010-03-17,1166.21,1159.94,1169.84,1159.94,,0.58%
73,2010-03-18,1165.83,1166.13,1167.77,1161.16,,-0.03%
74,2010-03-19,1159.9,1166.68,1169.2,1155.33,,-0.51%
75,2010-03-20,1161.8700000000001,1163.5366666666666,1168.74,1154.5133333333333,,
76,2010-03-21,1163.84,1160.3933333333334,1168.28,1153.6966666666667,,
77,2010-03-22,1165.81,1157.25,1167.82,1152.88,,0.51%
78,2010-03-23,1174.17,1166.47,1174.72,1163.83,,0.72%
79,2010-03-24,1167.72,1172.7,1173.04,1166.01,,-0.55%
80,2010-03-25,1165.73,1170.03,1180.69,1165.09,,-0.17%
81,2010-03-26,1166.59,1167.58,1173.93,1161.48,,0.07%
82,2010-03-27,1168.8,1167.6233333333332,1174.2366666666667,1163.5566666666666,,
83,2010-03-28,1171.01,1167.6666666666667,1174.5433333333333,1165.6333333333334,,
84,2010-03-29,1173.22,1167.71,1174.85,1167.71,,0.57%
85,2010-03-30,1173.27,1173.75,1177.83,1168.92,,0.00%
86,2010-03-31,1169.43,1171.75,1174.56,1165.77,,-0.33%
87,2010-04-01,1178.1,1171.23,1181.43,1170.69,,0.74%
88,2010-04-02,1180.435,1173.1,1183.005,1172.6950000000002,,
89,2010-04-03,1182.77,1174.97,1184.58,1174.7,,
90,2010-04-04,1185.105,1176.8400000000001,1186.155,1176.705,,
91,2010-04-05,1187.44,1178.71,1187.73,1178.71,,0.79%
92,2010-04-06,1189.44,1186.01,1191.8,1182.77,,0.17%
93,2010-04-07,1182.45,1188.23,1189.6,1177.25,,-0.59%
94,2010-04-08,1186.44,1181.75,1188.55,1175.12,,0.34%
95,2010-04-09,1194.37,1187.47,1194.66,1187.15,,0.67%
96,2010-04-10,1195.0733333333333,1189.96,1196.1733333333334,1189.67,,
97,2010-04-11,1195.7766666666666,1192.45,1197.6866666666667,1192.19,,
98,2010-04-12,1196.48,1194.94,1199.2,1194.71,,0.18%
99,2010-04-13,1197.3,1195.94,1199.04,1188.82,,0.07%
100,2010-04-14,1210.65,1198.69,1210.65,1198.69,,1.12%
101,2010-04-15,1211.67,1210.77,1213.92,1208.5,,0.08%
102,2010-04-16,1192.13,1210.17,1210.17,1186.77,,-1.61%
103,2010-04-17,1193.9266666666667,1204.1333333333334,1206.07,1185.74,,
104,2010-04-18,1195.7233333333334,1198.0966666666666,1201.97,1184.71,,
105,2010-04-19,1197.52,1192.06,1197.87,1183.68,,0.45%
106,2010-04-20,1207.17,1199.04,1208.58,1199.04,,0.81%
107,2010-04-21,1205.94,1207.16,1210.99,1198.85,,-0.10%
108,2010-04-22,1208.67,1202.52,1210.27,1190.19,,0.23%
