Date,Date,Open,High,Low,Close
2010-01-04,2010-01-04 17:07:00,1132.99,1132.99,1132.99,1132.99
2010-01-05,2010-01-05 17:06:00,1136.52,1136.52,1136.52,1136.52
2010-01-06,2010-01-06 17:03:00,1137.14,1137.14,1137.14,1137.14
2010-01-07,2010-01-07 17:05:00,1141.69,1141.69,1141.69,1141.69
2010-01-08,2010-01-08 17:04:00,1144.99,1144.99,1144.98,1144.98
2010-01-11,2010-01-11 17:24:00,1146.98,1146.98,1146.98,1146.98
2010-01-12,2010-01-12 17:07:00,1136.22,1136.22,1136.22,1136.22
2010-01-13,2010-01-13 17:05:00,1145.68,1145.68,1145.68,1145.68
2010-01-14,2010-01-14 17:04:00,1148.46,1148.46,1148.46,1148.46
2010-01-15,2010-01-15 17:04:00,1136.03,1136.03,1136.03,1136.03
2010-01-19,2010-01-19 17:04:00,1150.23,1150.23,1150.23,1150.23
2010-01-20,2010-01-20 17:04:00,1138.04,1138.04,1138.04,1138.04
2010-01-21,2010-01-21 17:04:00,1116.47,1116.48,1116.47,1116.48
2010-01-22,2010-01-22 17:09:00,1091.76,1091.76,1091.76,1091.76
2010-01-25,2010-01-25 17:04:00,1096.77,1096.78,1096.77,1096.78
2010-01-26,2010-01-26 17:08:00,1092.17,1092.17,1092.17,1092.17
2010-01-27,2010-01-27 17:06:00,1097.51,1097.51,1097.5,1097.5
2010-01-28,2010-01-28 16:45:00,1084.53,1084.53,1084.52,1084.52
2010-01-29,2010-01-29 17:05:00,1073.72,1073.82,1073.72,1073.82
2010-02-01,2010-02-01 17:04:00,1089.17,1089.18,1089.17,1089.18
2010-02-02,2010-02-02 17:04:00,1103.32,1103.32,1103.32,1103.32
2010-02-03,2010-02-03 17:04:00,1097.28,1097.28,1097.27,1097.28
2010-02-04,2010-02-04 17:06:00,1063.1,1063.1,1063.1,1063.1
2010-02-05,2010-02-05 17:04:00,1066.2,1066.2,1066.2,1066.2
2010-02-08,2010-02-08 17:05:00,1056.74,1056.75,1056.74,1056.75
2010-02-09,2010-02-09 17:04:00,1070.52,1070.52,1070.52,1070.52
2010-02-10,2010-02-10 17:04:00,1068.13,1068.13,1068.13,1068.13
2010-02-11,2010-02-11 17:03:00,1078.5,1078.5,1078.47,1078.47
2010-02-12,2010-02-12 17:05:00,1075.58,1075.58,1075.49,1075.49
2010-02-16,2010-02-16 17:05:00,1094.87,1094.87,1094.87,1094.87
2010-02-17,2010-02-17 17:07:00,1099.5,1099.51,1099.5,1099.51
2010-02-18,2010-02-18 17:05:00,1106.75,1106.75,1106.75,1106.75
2010-02-19,2010-02-19 17:04:00,1109.18,1109.18,1109.17,1109.17
2010-02-22,2010-02-22 17:05:00,1108.02,1108.02,1108.02,1108.02
2010-02-23,2010-02-23 17:05:00,1094.61,1094.61,1094.6,1094.6
2010-02-24,2010-02-24 17:04:00,1105.24,1105.24,1105.24,1105.24
2010-02-25,2010-02-25 17:05:00,1102.94,1102.94,1102.94,1102.94
2010-02-26,2010-02-26 17:04:00,1104.48,1104.48,1104.48,1104.48
2010-03-01,2010-03-01 17:04:00,1115.71,1115.71,1115.71,1115.71
2010-03-02,2010-03-02 17:05:00,1118.31,1118.31,1118.31,1118.31
2010-03-03,2010-03-03 17:04:00,1118.79,1118.79,1118.79,1118.79
2010-03-04,2010-03-04 17:04:00,1122.96,1122.97,1122.96,1122.97
2010-03-05,2010-03-05 17:04:00,1138.68,1138.69,1138.68,1138.69
2010-03-08,2010-03-08 17:03:00,1138.49,1138.5,1138.49,1138.5
2010-03-09,2010-03-09 17:05:00,1140.44,1140.45,1140.44,1140.45
2010-03-10,2010-03-10 17:03:00,1145.58,1145.61,1145.58,1145.61
2010-03-11,2010-03-11 17:04:00,1150.24,1150.24,1150.24,1150.24
2010-03-12,2010-03-12 17:04:00,1149.99,1149.99,1149.99,1149.99
2010-03-15,2010-03-15 16:05:00,1150.51,1150.51,1150.51,1150.51
2010-03-16,2010-03-16 16:05:00,1159.46,1159.46,1159.46,1159.46
2010-03-17,2010-03-17 16:04:00,1166.21,1166.21,1166.21,1166.21
2010-03-18,2010-03-18 16:04:00,1165.83,1165.83,1165.83,1165.83
2010-03-19,2010-03-19 16:07:00,1159.9,1159.9,1159.9,1159.9
2010-03-22,2010-03-22 16:04:00,1165.81,1165.81,1165.81,1165.81
2010-03-23,2010-03-23 16:03:00,1174.17,1174.17,1174.17,1174.17
2010-03-24,2010-03-24 16:03:00,1167.73,1167.73,1167.72,1167.72
2010-03-25,2010-03-25 16:04:00,1165.74,1165.74,1165.73,1165.73
2010-03-26,2010-03-26 16:04:00,1166.59,1166.59,1166.59,1166.59
2010-03-29,2010-03-29 17:03:00,1173.21,1173.22,1173.21,1173.22
2010-03-30,2010-03-30 17:03:00,1173.27,1173.27,1173.27,1173.27
2010-03-31,2010-03-31 17:04:00,1169.43,1169.43,1169.43,1169.43
2010-04-01,2010-04-01 17:04:00,1178.09,1178.1,1178.09,1178.1
2010-04-05,2010-04-05 17:03:00,1187.45,1187.45,1187.44,1187.44
2010-04-06,2010-04-06 17:03:00,1189.44,1189.44,1189.44,1189.44
2010-04-07,2010-04-07 17:04:00,1182.46,1182.46,1182.45,1182.45
2010-04-08,2010-04-08 17:04:00,1186.44,1186.44,1186.44,1186.44
2010-04-09,2010-04-09 17:04:00,1194.37,1194.37,1194.37,1194.37
2010-04-12,2010-04-12 17:04:00,1196.49,1196.49,1196.48,1196.48
2010-04-13,2010-04-13 17:04:00,1197.3,1197.3,1197.3,1197.3
2010-04-14,2010-04-14 17:04:00,1210.65,1210.65,1210.65,1210.65
2010-04-15,2010-04-15 17:05:00,1211.68,1211.68,1211.68,1211.68
2010-04-16,2010-04-16 17:05:00,1192.12,1192.12,1192.12,1192.12
2010-04-19,2010-04-19 17:03:00,1197.52,1197.52,1197.52,1197.52
2010-04-20,2010-04-20 17:03:00,1207.17,1207.17,1207.17,1207.17
2010-04-21,2010-04-21 17:05:00,1205.94,1205.94,1205.94,1205.94
2010-04-22,2010-04-22 17:04:00,1208.67,1208.67,1208.67,1208.67
2010-04-23,2010-04-23 17:05:00,1217.28,1217.28,1217.28,1217.28
2010-04-26,2010-04-26 17:04:00,1212.06,1212.06,1212.06,1212.06
2010-04-27,2010-04-27 17:05:00,1183.71,1183.72,1183.71,1183.71
2010-04-28,2010-04-28 17:05:00,1191.36,1191.36,1191.36,1191.36
2010-04-29,2010-04-29 17:03:00,1206.77,1206.77,1206.77,1206.77
2010-04-30,2010-04-30 17:04:00,1186.69,1186.69,1186.69,1186.69
2010-05-03,2010-05-03 17:05:00,1202.26,1202.26,1202.26,1202.26
2010-05-04,2010-05-04 17:04:00,1173.6,1173.6,1173.6,1173.6
2010-05-05,2010-05-05 17:05:00,1165.87,1165.87,1165.87,1165.87
2010-05-06,2010-05-06 17:08:00,1128.15,1128.15,1128.15,1128.15
2010-05-07,2010-05-07 17:16:00,1110.88,1110.88,1110.88,1110.88
2010-05-10,2010-05-10 17:05:00,1159.72,1159.72,1159.72,1159.72
2010-05-11,2010-05-11 17:05:00,1155.79,1155.79,1155.79,1155.79
2010-05-12,2010-05-12 17:04:00,1171.67,1171.67,1171.67,1171.67
