Date,Ticker,Per,Open,High,Low,Close,Vol
2010-01-04 00:00:00,US1.JPM,1.0,42.08,42.08,42.03,42.079,91636.0
2010-01-04 01:00:00,,,,,,,
2010-01-04 02:00:00,US1.JPM,1.0,42.3199,42.3799,42.311,42.35,100837.0
2010-01-04 03:00:00,US1.JPM,1.0,42.45,42.47,42.45,42.45,99980.0
2010-01-04 04:00:00,US1.JPM,1.0,42.44,42.44,42.41,42.43,63472.0
2010-01-04 05:00:00,US1.JPM,1.0,42.74,42.76,42.72,42.76,81610.0
2010-01-04 06:00:00,US1.JPM,1.0,42.86,42.87,42.83,42.83,68680.0
2010-01-04 07:00:00,US1.JPM,1.0,42.978,42.99,42.97,42.98,74385.0
2010-01-04 08:00:00,US1.JPM,1.0,42.94,42.94,42.92,42.92,90766.0
2010-01-04 09:00:00,US1.JPM,1.0,42.915,42.92,42.91,42.92,16647.0
2010-01-04 10:00:00,US1.JPM,1.0,42.9,42.91,42.89,42.9,45249.0
2010-01-04 11:00:00,US1.JPM,1.0,42.811,42.83,42.81,42.82,29958.0
2010-01-04 12:00:00,,,,,,,
2010-01-04 13:00:00,US1.JPM,1.0,42.87,42.9,42.87,42.882,80174.0
2010-01-04 14:00:00,US1.JPM,1.0,42.91,42.93,42.91,42.92,18532.0
2010-01-04 15:00:00,US1.JPM,1.0,42.93,42.95,42.92,42.95,26129.0
2010-01-04 16:00:00,US1.JPM,1.0,42.88,42.88,42.84,42.85,117544.0
2010-01-04 17:00:00,US1.JPM,1.0,42.885,42.89,42.85,42.85,312873.0
2010-01-04 18:00:00,,,,,,,
2010-01-04 19:00:00,,,,,,,
2010-01-04 20:00:00,,,,,,,
2010-01-04 21:00:00,,,,,,,
2010-01-04 22:00:00,,,,,,,
2010-01-04 23:00:00,,,,,,,
2010-01-05 00:00:00,US1.JPM,1.0,43.31,43.37,43.28,43.3,266133.0
2010-01-05 01:00:00,,,,,,,
2010-01-05 02:00:00,US1.JPM,1.0,43.24,43.27,43.21,43.2699,81260.0
2010-01-05 03:00:00,US1.JPM,1.0,43.38,43.39,43.36,43.37,119081.0
2010-01-05 04:00:00,US1.JPM,1.0,43.295,43.3,43.28,43.29,43475.0
2010-01-05 05:00:00,US1.JPM,1.0,43.31,43.32,43.31,43.315,52473.0
2010-01-05 06:00:00,US1.JPM,1.0,43.415,43.47,43.415,43.47,205831.0
2010-01-05 07:00:00,US1.JPM,1.0,43.58,43.615,43.58,43.6,28800.0
2010-01-05 08:00:00,US1.JPM,1.0,43.57,43.58,43.56,43.57,17112.0
2010-01-05 09:00:00,US1.JPM,1.0,43.57,43.585,43.56,43.56,125649.0
2010-01-05 10:00:00,US1.JPM,1.0,43.45,43.45,43.4,43.435,141752.0
2010-01-05 11:00:00,US1.JPM,1.0,43.49,43.5,43.48,43.4891,34019.0
2010-01-05 12:00:00,,,,,,,
2010-01-05 13:00:00,US1.JPM,1.0,43.37,43.38,43.36,43.37,45086.0
2010-01-05 14:00:00,US1.JPM,1.0,43.58,43.61,43.5701,43.6,41790.0
2010-01-05 15:00:00,US1.JPM,1.0,43.5475,43.56,43.53,43.53,75187.0
2010-01-05 16:00:00,US1.JPM,1.0,43.8,43.8,43.79,43.8,72430.0
2010-01-05 17:00:00,US1.JPM,1.0,43.69,43.7,43.66,43.67,342934.0
2010-01-05 18:00:00,,,,,,,
2010-01-05 19:00:00,,,,,,,
2010-01-05 20:00:00,,,,,,,
2010-01-05 21:00:00,,,,,,,
2010-01-05 22:00:00,,,,,,,
2010-01-05 23:00:00,,,,,,,
2010-01-06 00:00:00,US1.JPM,1.0,43.6,43.6081,43.58,43.5975,71751.0
2010-01-06 01:00:00,,,,,,,
2010-01-06 02:00:00,US1.JPM,1.0,43.67,43.68,43.67,43.6702,60800.0
2010-01-06 03:00:00,US1.JPM,1.0,43.73,43.75,43.73,43.75,23228.0
2010-01-06 04:00:00,US1.JPM,1.0,43.72,43.72,43.68,43.6973,42939.0
2010-01-06 05:00:00,US1.JPM,1.0,43.98,43.98,43.94,43.94,43029.0
2010-01-06 06:00:00,US1.JPM,1.0,43.84,43.87,43.83,43.852,39326.0
2010-01-06 07:00:00,US1.JPM,1.0,43.81,43.82,43.77,43.78,71969.0
2010-01-06 08:00:00,US1.JPM,1.0,43.7702,43.8,43.77,43.78,75270.0
2010-01-06 09:00:00,US1.JPM,1.0,43.83,43.84,43.825,43.8385,8314.0
2010-01-06 10:00:00,US1.JPM,1.0,43.94,43.95,43.94,43.945,28706.0
2010-01-06 11:00:00,US1.JPM,1.0,43.9099,43.95,43.9,43.94,43926.0
2010-01-06 12:00:00,,,,,,,
2010-01-06 13:00:00,US1.JPM,1.0,43.97,44.02,43.97,44.01,87776.0
2010-01-06 14:00:00,US1.JPM,1.0,44.0,44.005,43.99,43.9998,27009.0
2010-01-06 15:00:00,US1.JPM,1.0,44.01,44.01,44.0,44.005,15321.0
2010-01-06 16:00:00,US1.JPM,1.0,43.95,43.96,43.95,43.955,29251.0
