LastDayOfMonth,Date,Ticker,Per,Open,High,Low,Close,Vol
2010-01-31 23:59:59.999999999,2010-01,US1.JPM,1,38.98,39.01,38.91,38.93,814191
2010-02-28 23:59:59.999999999,2010-02,US1.JPM,1,42.03,42.03,41.97,41.98,800948
2010-03-31 23:59:59.999999999,2010-03,US1.JPM,1,44.81,44.83,44.7,44.76,871910
2010-04-30 23:59:59.999999999,2010-04,US1.JPM,1,42.61,42.62,42.55,42.57,464070
2010-05-31 23:59:59.999999999,2010-05,US1.JPM,1,39.56,39.58,39.47,39.53,1040181
2010-06-30 23:59:59.999999999,2010-06,US1.JPM,1,36.61,36.64,36.6,36.63,362296
2010-07-31 23:59:59.999999999,2010-07,US1.JPM,1,40.39,40.39,40.28,40.28,1058889
2010-08-31 23:59:59.999999999,2010-08,US1.JPM,1,36.37,36.4,36.35,36.37,403357
2010-09-30 23:59:59.999999999,2010-09,US1.JPM,1,38.12,38.13,38.07,38.07,386518
2010-10-31 23:59:59.999999999,2010-10,US1.JPM,1,37.65,37.66,37.63,37.64,311867
2010-11-30 23:59:59.999999999,2010-11,US1.JPM,1,37.47,37.49,37.43,37.44,316470
2010-12-31 23:59:59.999999999,2010-12,US1.JPM,1,42.41,42.42,42.4,42.42,192959
2011-01-31 23:59:59.999999999,2011-01,US1.JPM,1,44.92,44.94,44.91,44.9399,172621
2011-02-28 23:59:59.999999999,2011-02,US1.JPM,1,46.71,46.73,46.7,46.73,315925
2011-03-31 23:59:59.999999999,2011-03,US1.JPM,1,46.13,46.15,46.13,46.13,204017
2011-04-30 23:59:59.999999999,2011-04,US1.JPM,1,45.65,45.65,45.63,45.64,247840
2011-05-31 23:59:59.999999999,2011-05,US1.JPM,1,43.21,43.22,43.18,43.185,274088
2011-06-30 23:59:59.999999999,2011-06,US1.JPM,1,40.95,40.95,40.94,40.95,170502
2011-07-31 23:59:59.999999999,2011-07,US1.JPM,1,40.51,40.51,40.41,40.42,525848
2011-08-31 23:59:59.999999999,2011-08,US1.JPM,1,37.49,37.49,37.4,37.4215,394800
2011-09-30 23:59:59.999999999,2011-09,US1.JPM,1,30.21,30.24,30.14,30.17,1023108
2011-10-31 23:59:59.999999999,2011-10,US1.JPM,1,34.85,34.86,34.81,34.81,558379
2011-11-30 23:59:59.999999999,2011-11,US1.JPM,1,30.809,30.84,30.79,30.79,190609
2011-12-31 23:59:59.999999999,2011-12,US1.JPM,1,33.26,33.27,33.24,33.25,376358
2012-01-31 23:59:59.999999999,2012-01,US1.JPM,1,37.36,37.36,37.34,37.34,34327
2012-02-29 23:59:59.999999999,2012-02,US1.JPM,1,39.64,39.65,39.6,39.62,105854
2012-03-31 23:59:59.999999999,2012-03,US1.JPM,1,45.93,45.96,45.92,45.94,460507
2012-04-30 23:59:59.999999999,2012-04,US1.JPM,1,42.92,42.97,42.92,42.961,316529
2012-05-31 23:59:59.999999999,2012-05,US1.JPM,1,33.17,33.19,33.15,33.17,287768
2012-06-30 23:59:59.999999999,2012-06,US1.JPM,1,35.705,35.75,35.7,35.73,807131
2012-07-31 23:59:59.999999999,2012-07,US1.JPM,1,36.04,36.06,36.04,36.05,118056
2012-08-31 23:59:59.999999999,2012-08,US1.JPM,1,37.21,37.22,37.2,37.22,250542
2012-09-30 23:59:59.999999999,2012-09,US1.JPM,1,40.5,40.52,40.46,40.47,504392
2012-10-31 23:59:59.999999999,2012-10,US1.JPM,1,41.68,41.72,41.67,41.71,170192
2012-11-30 23:59:59.999999999,2012-11,US1.JPM,1,40.89,40.9,40.89,40.89,10877
2012-12-31 23:59:59.999999999,2012-12,US1.JPM,1,43.7701,43.8,43.77,43.8,35245
2013-01-31 23:59:59.999999999,2013-01,US1.JPM,1,47.19,47.19,47.17,47.17,15551
2013-02-28 23:59:59.999999999,2013-02,US1.JPM,1,49.28,49.2999,49.27,49.28,65969
2013-03-31 23:59:59.999999999,2013-03,US1.JPM,1,47.475,47.5,47.435,47.435,798473
2013-04-30 23:59:59.999999999,2013-04,US1.JPM,1,48.969,48.99,48.96,48.98,103128
2013-05-31 23:59:59.999999999,2013-05,US1.JPM,1,54.7,54.71,54.65,54.7,540315
2013-06-30 23:59:59.999999999,2013-06,US1.JPM,1,52.96,52.97,52.77,52.77,451407
2013-07-31 23:59:59.999999999,2013-07,US1.JPM,1,55.76,55.77,55.72,55.73,218308
2013-08-31 23:59:59.999999999,2013-08,US1.JPM,1,50.5035,50.58,50.5,50.51,585068
2013-09-30 23:59:59.999999999,2013-09,US1.JPM,1,51.64,51.69,51.63,51.68,301950
2013-10-31 23:59:59.999999999,2013-10,US1.JPM,1,51.61,51.61,51.57,51.6,262702
2013-11-30 23:59:59.999999999,2013-11,US1.JPM,1,57.3,57.3,57.3,57.3,175
2013-12-31 23:59:59.999999999,2013-12,US1.JPM,1,58.33,58.35,58.32,58.3257,55501
