,Date,Open,High,Low,Close,Vol
0,2010-01-31,10128.39,10128.505,10127.07,10127.185,0.0
1,2010-02-28,10363.845,10364.64,10363.695,10364.185,0.0
2,2010-03-31,10856.4,10856.63,10855.8,10856.33,0.0
3,2010-04-30,11019.72,11019.72,11012.39,11012.69,0.0
4,2010-05-31,10071.536666666669,10071.536666666669,10064.176666666666,10065.743333333332,0.0
5,2010-06-30,9778.06,9783.02,9777.42,9779.01,0.0
6,2010-07-31,10465.94,10465.94,10465.94,10465.94,0.0
7,2010-08-31,10007.91,10009.8,10004.13,10004.2,0.0
8,2010-09-30,10804.4,10804.4,10795.21,10795.21,0.0
9,2010-10-31,11172.09,11172.45,11169.8,11170.67,0.0
10,2010-11-30,11019.42,11022.67,11017.71,11017.71,0.0
11,2010-12-31,11574.52,11574.86,11572.17,11573.34,0.0
12,2011-01-31,11885.2,11888.34,11884.97,11886.9,0.0
13,2011-02-28,12227.13,12228.53,12225.81,12226.0,0.0
14,2011-03-31,12323.86,12325.45,12323.4,12324.39,0.0
15,2011-04-30,12810.39,12810.54,12810.39,12810.54,0.0
16,2011-05-31,12565.48,12567.37,12560.22,12560.75,0.0
17,2011-06-30,12417.33,12418.95,12417.33,12418.84,0.0
18,2011-07-31,12136.315,12139.93,12136.315,12139.93,0.0
19,2011-08-31,11591.2,11594.0,11582.2,11586.66,0.0
20,2011-09-30,10926.41,10926.41,10922.18,10922.18,0.0
21,2011-10-31,11988.25,11988.25,11971.79,11971.79,0.0
22,2011-11-30,11934.08,11936.58,11934.08,11936.41,0.0
23,2011-12-31,12217.6,12217.6,12217.56,12217.56,0.0
24,2012-01-31,12629.27,12631.42,12629.27,12631.42,0.0
25,2012-02-29,12988.54,12988.54,12982.39,12982.39,0.0
26,2012-03-31,13212.04,13212.04,13212.04,13212.04,0.0
27,2012-04-30,13207.35,13207.35,13205.52,13205.72,0.0
28,2012-05-31,12406.34,12406.34,12402.84,12402.84,0.0
29,2012-06-30,12880.09,12880.09,12880.09,12880.09,0.0
30,2012-07-31,13015.6,13018.03,13015.51,13018.03,0.0
31,2012-08-31,13117.4,13118.88,13117.37,13118.88,0.0
32,2012-09-30,13437.13,13437.13,13437.13,13437.13,0.0
33,2012-10-31,13098.98,13101.42,13098.4,13101.42,0.0
34,2012-11-30,12997.53,12997.53,12995.92,12995.92,0.0
35,2012-12-31,13062.43,13067.79,13062.43,13067.79,0.0
36,2013-01-31,13900.83,13901.08,13899.92,13899.92,0.0
37,2013-02-28,14116.08,14116.08,14115.47,14115.77,0.0
38,2013-03-31,14578.54,14578.54,14578.54,14578.54,0.0
39,2013-04-30,14823.3,14830.83,14823.3,14830.83,0.0
40,2013-05-31,15155.85,15155.85,15143.58,15144.78,0.0
41,2013-06-30,14909.6,14909.6,14909.6,14909.6,0.0
42,2013-07-31,15509.69,15509.69,15501.2,15501.24,0.0
43,2013-08-31,14810.31,14810.31,14810.31,14810.31,0.0
44,2013-09-30,15116.51,15120.94,15116.51,15120.94,0.0
45,2013-10-31,15577.09,15577.09,15569.16,15569.22,0.0
46,2013-11-30,16086.41,16086.41,16086.41,16086.41,0.0
47,2013-12-31,16523.67,16525.64,16523.11,16525.64,0.0
