LastDayOfMonth,Date,Ticker,Per,Open,High,Low,Close,Vol
2010-01-31 23:59:59.999999999,2010-01,D&J-IND,1,10067.1,10067.33,10067.1,10067.33,0
2010-02-28 23:59:59.999999999,2010-02,D&J-IND,1,10324.43,10324.43,10324.43,10324.43,0
2010-03-31 23:59:59.999999999,2010-03,D&J-IND,1,10856.4,10856.63,10855.8,10856.33,0
2010-04-30 23:59:59.999999999,2010-04,D&J-IND,1,11019.72,11019.72,11012.39,11012.69,0
2010-05-31 23:59:59.999999999,2010-05,D&J-IND,1,10136.63,10136.63,10136.63,10136.63,0
2010-06-30 23:59:59.999999999,2010-06,D&J-IND,1,9778.06,9783.02,9777.42,9779.01,0
2010-07-31 23:59:59.999999999,2010-07,D&J-IND,1,10465.94,10465.94,10465.94,10465.94,0
2010-08-31 23:59:59.999999999,2010-08,D&J-IND,1,10007.91,10009.8,10004.13,10004.2,0
2010-09-30 23:59:59.999999999,2010-09,D&J-IND,1,10804.4,10804.4,10795.21,10795.21,0
2010-10-31 23:59:59.999999999,2010-10,D&J-IND,1,11118.26,11118.49,11118.26,11118.49,0
2010-11-30 23:59:59.999999999,2010-11,D&J-IND,1,11019.42,11022.67,11017.71,11017.71,0
2010-12-31 23:59:59.999999999,2010-12,D&J-IND,1,11574.52,11574.86,11572.17,11573.34,0
2011-01-31 23:59:59.999999999,2011-01,D&J-IND,1,11885.2,11888.34,11884.97,11886.9,0
2011-02-28 23:59:59.999999999,2011-02,D&J-IND,1,12227.13,12228.53,12225.81,12226.0,0
2011-03-31 23:59:59.999999999,2011-03,D&J-IND,1,12323.86,12325.45,12323.4,12324.39,0
2011-04-30 23:59:59.999999999,2011-04,D&J-IND,1,12810.39,12810.54,12810.39,12810.54,0
2011-05-31 23:59:59.999999999,2011-05,D&J-IND,1,12565.48,12567.37,12560.22,12560.75,0
2011-06-30 23:59:59.999999999,2011-06,D&J-IND,1,12417.33,12418.95,12417.33,12418.84,0
2011-07-31 23:59:59.999999999,2011-07,D&J-IND,1,12143.24,12143.24,12143.24,12143.24,0
2011-08-31 23:59:59.999999999,2011-08,D&J-IND,1,11591.2,11594.0,11582.2,11586.66,0
2011-09-30 23:59:59.999999999,2011-09,D&J-IND,1,10926.41,10926.41,10922.18,10922.18,0
2011-10-31 23:59:59.999999999,2011-10,D&J-IND,1,11988.25,11988.25,11971.79,11971.79,0
2011-11-30 23:59:59.999999999,2011-11,D&J-IND,1,11934.08,11936.58,11934.08,11936.41,0
2011-12-31 23:59:59.999999999,2011-12,D&J-IND,1,12217.6,12217.6,12217.56,12217.56,0
2012-01-31 23:59:59.999999999,2012-01,D&J-IND,1,12629.27,12631.42,12629.27,12631.42,0
2012-02-29 23:59:59.999999999,2012-02,D&J-IND,1,12988.54,12988.54,12982.39,12982.39,0
2012-03-31 23:59:59.999999999,2012-03,D&J-IND,1,13212.04,13212.04,13212.04,13212.04,0
2012-04-30 23:59:59.999999999,2012-04,D&J-IND,1,13207.35,13207.35,13205.52,13205.72,0
2012-05-31 23:59:59.999999999,2012-05,D&J-IND,1,12406.34,12406.34,12402.84,12402.84,0
2012-06-30 23:59:59.999999999,2012-06,D&J-IND,1,12880.09,12880.09,12880.09,12880.09,0
2012-07-31 23:59:59.999999999,2012-07,D&J-IND,1,13015.6,13018.03,13015.51,13018.03,0
2012-08-31 23:59:59.999999999,2012-08,D&J-IND,1,13117.4,13118.88,13117.37,13118.88,0
2012-09-30 23:59:59.999999999,2012-09,D&J-IND,1,13437.13,13437.13,13437.13,13437.13,0
2012-10-31 23:59:59.999999999,2012-10,D&J-IND,1,13098.98,13101.42,13098.4,13101.42,0
2012-11-30 23:59:59.999999999,2012-11,D&J-IND,1,12997.53,12997.53,12995.92,12995.92,0
2012-12-31 23:59:59.999999999,2012-12,D&J-IND,1,13062.43,13067.79,13062.43,13067.79,0
2013-01-31 23:59:59.999999999,2013-01,D&J-IND,1,13900.83,13901.08,13899.92,13899.92,0
2013-02-28 23:59:59.999999999,2013-02,D&J-IND,1,14116.08,14116.08,14115.47,14115.77,0
2013-03-31 23:59:59.999999999,2013-03,D&J-IND,1,14578.54,14578.54,14578.54,14578.54,0
2013-04-30 23:59:59.999999999,2013-04,D&J-IND,1,14823.3,14830.83,14823.3,14830.83,0
2013-05-31 23:59:59.999999999,2013-05,D&J-IND,1,15155.85,15155.85,15143.58,15144.78,0
2013-06-30 23:59:59.999999999,2013-06,D&J-IND,1,14909.6,14909.6,14909.6,14909.6,0
2013-07-31 23:59:59.999999999,2013-07,D&J-IND,1,15509.69,15509.69,15501.2,15501.24,0
2013-08-31 23:59:59.999999999,2013-08,D&J-IND,1,14810.31,14810.31,14810.31,14810.31,0
2013-09-30 23:59:59.999999999,2013-09,D&J-IND,1,15116.51,15120.94,15116.51,15120.94,0
2013-10-31 23:59:59.999999999,2013-10,D&J-IND,1,15577.09,15577.09,15569.16,15569.22,0
2013-11-30 23:59:59.999999999,2013-11,D&J-IND,1,16086.41,16086.41,16086.41,16086.41,0
2013-12-31 23:59:59.999999999,2013-12,D&J-IND,1,16523.67,16525.64,16523.11,16525.64,0
