,Date,Open,High,Low,Close,Vol
0,2010-01-31,39.33,39.35,39.285,39.305,579943.0
1,2010-02-28,41.915,41.935,41.88,41.91,534617.0
2,2010-03-31,44.81,44.83,44.7,44.76,871910.0
3,2010-04-30,42.61,42.62,42.55,42.57,464070.0
4,2010-05-31,38.96666666666667,38.98,38.88333333333333,38.91,748891.0
5,2010-06-30,36.61,36.64,36.6,36.63,362296.0
6,2010-07-31,40.39,40.39,40.28,40.28,1058889.0
7,2010-08-31,36.37,36.4,36.35,36.37,403357.0
8,2010-09-30,38.12,38.13,38.07,38.07,386518.0
9,2010-10-31,37.775,37.785,37.755,37.765,173503.0
10,2010-11-30,37.47,37.49,37.43,37.44,316470.0
11,2010-12-31,42.41,42.42,42.4,42.42,192959.0
12,2011-01-31,44.92,44.94,44.91,44.9399,172621.0
13,2011-02-28,46.71,46.73,46.7,46.73,315925.0
14,2011-03-31,46.13,46.15,46.13,46.13,204017.0
15,2011-04-30,45.65,45.65,45.63,45.64,247840.0
16,2011-05-31,43.21,43.22,43.18,43.185,274088.0
17,2011-06-30,40.95,40.95,40.94,40.95,170502.0
18,2011-07-31,40.48,40.49,40.425,40.4425,326288.0
19,2011-08-31,37.49,37.49,37.4,37.4215,394800.0
20,2011-09-30,30.21,30.24,30.14,30.17,1023108.0
21,2011-10-31,34.85,34.86,34.81,34.81,558379.0
22,2011-11-30,30.809,30.84,30.79,30.79,190609.0
23,2011-12-31,33.26,33.27,33.24,33.25,376358.0
24,2012-01-31,37.36,37.36,37.34,37.34,34327.0
25,2012-02-29,39.64,39.65,39.6,39.62,105854.0
26,2012-03-31,45.93,45.96,45.92,45.94,460507.0
27,2012-04-30,42.92,42.97,42.92,42.961,316529.0
28,2012-05-31,33.17,33.19,33.15,33.17,287768.0
29,2012-06-30,35.705,35.75,35.7,35.73,807131.0
30,2012-07-31,36.04,36.06,36.04,36.05,118056.0
31,2012-08-31,37.21,37.22,37.2,37.22,250542.0
32,2012-09-30,40.73,40.75,40.705,40.72,337423.5
33,2012-10-31,41.68,41.72,41.67,41.71,170192.0
34,2012-11-30,40.89,40.9,40.89,40.89,10877.0
35,2012-12-31,43.7701,43.8,43.77,43.8,35245.0
36,2013-01-31,47.19,47.19,47.17,47.17,15551.0
37,2013-02-28,49.28,49.2999,49.27,49.28,65969.0
38,2013-03-31,47.745000000000005,47.75333333333334,47.71833333333333,47.72166666666667,337828.3333333333
39,2013-04-30,48.969,48.99,48.96,48.98,103128.0
40,2013-05-31,54.7,54.71,54.65,54.7,540315.0
41,2013-06-30,52.77,52.78,52.64,52.642300000000006,343308.5
42,2013-07-31,55.76,55.77,55.72,55.73,218308.0
43,2013-08-31,50.5035,50.58,50.5,50.51,585068.0
44,2013-09-30,51.64,51.69,51.63,51.68,301950.0
45,2013-10-31,51.61,51.61,51.57,51.6,262702.0
46,2013-11-30,57.3,57.3,57.3,57.3,175.0
47,2013-12-31,58.33,58.35,58.32,58.3257,55501.0
