LastDayOfMonth,Date,Ticker,Per,Open,High,Low,Close,Vol
2010-01-31 23:59:59.999999999,2010-01,US1.NDAQ,1,18.0,18.01,18.0,18.0,73979
2010-02-28 23:59:59.999999999,2010-02,US1.NDAQ,1,18.64,18.64,18.63,18.63,65677
2010-03-31 23:59:59.999999999,2010-03,US1.NDAQ,1,21.17,21.17,21.13,21.13,48895
2010-04-30 23:59:59.999999999,2010-04,US1.NDAQ,1,21.005,21.04,20.99,21.04,108564
2010-05-31 23:59:59.999999999,2010-05,US1.NDAQ,1,18.61,18.62,18.58,18.58,96412
2010-06-30 23:59:59.999999999,2010-06,US1.NDAQ,1,17.79,17.8,17.78,17.79,61124
2010-07-31 23:59:59.999999999,2010-07,US1.NDAQ,1,19.45,19.45,19.44,19.45,32377
2010-08-31 23:59:59.999999999,2010-08,US1.NDAQ,1,17.9,17.91,17.89,17.9,44772
2010-09-30 23:59:59.999999999,2010-09,US1.NDAQ,1,19.48,19.48,19.46,19.46,68914
2010-10-31 23:59:59.999999999,2010-10,US1.NDAQ,1,21.12,21.13,21.01,21.01,205843
2010-11-30 23:59:59.999999999,2010-11,US1.NDAQ,1,21.51,21.52,21.48,21.48,76078
2010-12-31 23:59:59.999999999,2010-12,US1.NDAQ,1,23.73,23.73,23.72,23.72,16386
2011-01-31 23:59:59.999999999,2011-01,US1.NDAQ,1,24.36,24.36,24.35,24.36,34486
2011-02-28 23:59:59.999999999,2011-02,US1.NDAQ,1,28.61,28.61,28.6,28.6,39795
2011-03-31 23:59:59.999999999,2011-03,US1.NDAQ,1,25.83,25.83,25.82,25.82,10660
2011-04-30 23:59:59.999999999,2011-04,US1.NDAQ,1,27.145,27.15,27.11,27.11,37262
2011-05-31 23:59:59.999999999,2011-05,US1.NDAQ,1,25.51,25.52,25.49,25.5,46569
2011-06-30 23:59:59.999999999,2011-06,US1.NDAQ,1,25.315,25.33,25.31,25.33,24275
2011-07-31 23:59:59.999999999,2011-07,US1.NDAQ,1,24.12,24.12,24.07,24.08,41840
2011-08-31 23:59:59.999999999,2011-08,US1.NDAQ,1,23.69,23.7,23.66,23.67,26678
2011-09-30 23:59:59.999999999,2011-09,US1.NDAQ,1,23.19,23.21,23.17,23.2,42069
2011-10-31 23:59:59.999999999,2011-10,US1.NDAQ,1,25.11,25.11,25.1,25.1003,21429
2011-11-30 23:59:59.999999999,2011-11,US1.NDAQ,1,25.96,26.0,25.96,25.99,5061
2011-12-31 23:59:59.999999999,2011-12,US1.NDAQ,1,24.54,24.54,24.51,24.51,27132
2012-01-31 23:59:59.999999999,2012-01,US1.NDAQ,1,24.77,24.8,24.761,24.77,30063
2012-02-29 23:59:59.999999999,2012-02,US1.NDAQ,1,26.6,26.6022,26.58,26.59,12575
2012-03-31 23:59:59.999999999,2012-03,US1.NDAQ,1,25.895,25.9,25.89,25.9,32492
2012-04-30 23:59:59.999999999,2012-04,US1.NDAQ,1,24.56,24.56,24.55,24.56,41620
2012-05-31 23:59:59.999999999,2012-05,US1.NDAQ,1,21.87,21.87,21.86,21.87,8696
2012-06-30 23:59:59.999999999,2012-06,US1.NDAQ,1,22.645,22.68,22.64,22.67,71053
2012-07-31 23:59:59.999999999,2012-07,US1.NDAQ,1,22.74,22.74,22.73,22.74,15442
2012-08-31 23:59:59.999999999,2012-08,US1.NDAQ,1,22.9,22.91,22.9,22.91,9182
2012-09-30 23:59:59.999999999,2012-09,US1.NDAQ,1,23.29,23.3,23.29,23.295,25894
2012-10-31 23:59:59.999999999,2012-10,US1.NDAQ,1,23.8,23.8,23.79,23.8,10907
2012-11-30 23:59:59.999999999,2012-11,US1.NDAQ,1,24.15,24.16,24.15,24.16,4200
2012-12-31 23:59:59.999999999,2012-12,US1.NDAQ,1,24.915,24.92,24.915,24.92,700
2013-01-31 23:59:59.999999999,2013-01,US1.NDAQ,1,28.1,28.11,28.09,28.09,5100
2013-02-28 23:59:59.999999999,2013-02,US1.NDAQ,1,31.77,31.77,31.745,31.75,5700
2013-03-31 23:59:59.999999999,2013-03,US1.NDAQ,1,32.29,32.3,32.29,32.295,31107
2013-04-30 23:59:59.999999999,2013-04,US1.NDAQ,1,29.44,29.48,29.44,29.475,12348
2013-05-31 23:59:59.999999999,2013-05,US1.NDAQ,1,31.54,31.555,31.54,31.555,24385
2013-06-30 23:59:59.999999999,2013-06,US1.NDAQ,1,32.9,32.9,32.78,32.79,48448
2013-07-31 23:59:59.999999999,2013-07,US1.NDAQ,1,32.405,32.405,32.38,32.38,12000
2013-08-31 23:59:59.999999999,2013-08,US1.NDAQ,1,29.885,29.92,29.83,29.87,104656
2013-09-30 23:59:59.999999999,2013-09,US1.NDAQ,1,32.08,32.1,32.07,32.09,11665
2013-10-31 23:59:59.999999999,2013-10,US1.NDAQ,1,35.48,35.49,35.47,35.475,11781
2013-11-30 23:59:59.999999999,2013-11,US1.NDAQ,1,39.2922,39.2922,39.2922,39.2922,500
2013-12-31 23:59:59.999999999,2013-12,US1.NDAQ,1,39.74,39.74,39.735,39.7375,2566
