LastDayOfMonth,Date,Ticker,Per,Open,High,Low,Close,Vol
2010-01-31 23:59:59.999999999,2010-01,SANDP-500,1,1073.72,1073.82,1073.72,1073.82,0
2010-02-28 23:59:59.999999999,2010-02,SANDP-500,1,1104.48,1104.48,1104.48,1104.48,0
2010-03-31 23:59:59.999999999,2010-03,SANDP-500,1,1169.37,1169.37,1169.37,1169.37,0
2010-04-30 23:59:59.999999999,2010-04,SANDP-500,1,1188.06,1188.06,1188.06,1188.06,0
2010-05-31 23:59:59.999999999,2010-05,SANDP-500,1,1089.41,1089.41,1089.41,1089.41,0
2010-06-30 23:59:59.999999999,2010-06,SANDP-500,1,1031.03,1031.08,1031.03,1031.08,0
2010-07-31 23:59:59.999999999,2010-07,SANDP-500,1,1101.6,1101.6,1101.59,1101.6,0
2010-08-31 23:59:59.999999999,2010-08,SANDP-500,1,1048.86,1048.86,1048.46,1048.46,0
2010-09-30 23:59:59.999999999,2010-09,SANDP-500,1,1142.5,1142.5,1142.1,1142.1,0
2010-10-31 23:59:59.999999999,2010-10,SANDP-500,1,1183.26,1183.26,1183.26,1183.26,0
2010-11-30 23:59:59.999999999,2010-11,SANDP-500,1,1181.77,1181.96,1181.77,1181.81,0
2010-12-31 23:59:59.999999999,2010-12,SANDP-500,1,1257.42,1257.54,1257.34,1257.52,0
2011-01-31 23:59:59.999999999,2011-01,SANDP-500,1,1285.8,1286.05,1285.8,1286.05,0
2011-02-28 23:59:59.999999999,2011-02,SANDP-500,1,1327.22,1327.31,1327.16,1327.16,0
2011-03-31 23:59:59.999999999,2011-03,SANDP-500,1,1326.35,1326.4,1326.35,1326.39,0
2011-04-30 23:59:59.999999999,2011-04,SANDP-500,1,1363.61,1363.61,1363.61,1363.61,0
2011-05-31 23:59:59.999999999,2011-05,SANDP-500,1,1344.66,1344.7,1344.22,1344.22,0
2011-06-30 23:59:59.999999999,2011-06,SANDP-500,1,1320.95,1321.06,1320.95,1321.06,0
2011-07-31 23:59:59.999999999,2011-07,SANDP-500,1,1292.28,1292.28,1292.28,1292.28,0
2011-08-31 23:59:59.999999999,2011-08,SANDP-500,1,1216.59,1216.66,1215.96,1215.96,0
2011-09-30 23:59:59.999999999,2011-09,SANDP-500,1,1133.24,1133.24,1132.69,1132.69,0
2011-10-31 23:59:59.999999999,2011-10,SANDP-500,1,1257.19,1257.19,1255.62,1255.62,0
2011-11-30 23:59:59.999999999,2011-11,SANDP-500,1,1234.59,1234.97,1234.59,1234.97,0
2011-12-31 23:59:59.999999999,2011-12,SANDP-500,1,1257.6,1257.6,1257.6,1257.6,0
2012-01-31 23:59:59.999999999,2012-01,SANDP-500,1,1312.53,1312.69,1312.53,1312.69,0
2012-02-29 23:59:59.999999999,2012-02,SANDP-500,1,1370.08,1370.08,1369.53,1369.53,0
2012-03-31 23:59:59.999999999,2012-03,SANDP-500,1,1408.47,1408.47,1408.47,1408.47,0
2012-04-30 23:59:59.999999999,2012-04,SANDP-500,1,1397.32,1397.32,1397.1,1397.14,0
2012-05-31 23:59:59.999999999,2012-05,SANDP-500,1,1311.28,1311.3,1311.13,1311.13,0
2012-06-30 23:59:59.999999999,2012-06,SANDP-500,1,1362.16,1362.16,1362.16,1362.16,0
2012-07-31 23:59:59.999999999,2012-07,SANDP-500,1,1379.79,1379.99,1379.77,1379.99,0
2012-08-31 23:59:59.999999999,2012-08,SANDP-500,1,1409.05,1409.14,1409.03,1409.14,0
2012-09-30 23:59:59.999999999,2012-09,SANDP-500,1,1440.67,1440.67,1440.67,1440.67,0
2012-10-31 23:59:59.999999999,2012-10,SANDP-500,1,1412.23,1412.58,1412.2,1412.58,0
2012-11-30 23:59:59.999999999,2012-11,SANDP-500,1,1412.88,1412.88,1412.65,1412.65,0
2012-12-31 23:59:59.999999999,2012-12,SANDP-500,1,1421.61,1422.23,1421.61,1422.23,0
2013-01-31 23:59:59.999999999,2013-01,SANDP-500,1,1502.27,1502.3,1502.17,1502.17,0
2013-02-28 23:59:59.999999999,2013-02,SANDP-500,1,1521.95,1522.01,1521.95,1522.01,0
2013-03-31 23:59:59.999999999,2013-03,SANDP-500,1,1569.19,1569.19,1569.19,1569.19,0
2013-04-30 23:59:59.999999999,2013-04,SANDP-500,1,1596.16,1596.73,1596.16,1596.73,0
2013-05-31 23:59:59.999999999,2013-05,SANDP-500,1,1634.65,1634.65,1633.41,1633.41,0
2013-06-30 23:59:59.999999999,2013-06,SANDP-500,1,1606.28,1606.28,1606.28,1606.28,0
2013-07-31 23:59:59.999999999,2013-07,SANDP-500,1,1686.69,1686.69,1685.92,1685.92,0
2013-08-31 23:59:59.999999999,2013-08,SANDP-500,1,1632.97,1632.97,1632.97,1632.97,0
2013-09-30 23:59:59.999999999,2013-09,SANDP-500,1,1679.64,1680.1,1679.64,1680.1,0
2013-10-31 23:59:59.999999999,2013-10,SANDP-500,1,1759.09,1759.09,1758.35,1758.37,0
2013-11-30 23:59:59.999999999,2013-11,SANDP-500,1,1805.81,1805.81,1805.81,1805.81,0
2013-12-31 23:59:59.999999999,2013-12,SANDP-500,1,1843.14,1843.33,1843.1,1843.33,0
