Period_end,Date,Ticker,Per,Open,High,Low,Close,Vol,Period_start
2010-01-03,2009-12-28/2010-01-03,D&J-IND,1,10428.05,10428.05,10428.05,10428.05,0,2009-12-28
2010-01-10,2010-01-04/2010-01-10,D&J-IND,1,10617.66,10618.19,10617.66,10618.19,0,2010-01-04
2010-01-17,2010-01-11/2010-01-17,D&J-IND,1,10609.65,10609.65,10609.65,10609.65,0,2010-01-11
2010-01-24,2010-01-18/2010-01-24,D&J-IND,1,10172.98,10172.98,10172.98,10172.98,0,2010-01-18
2010-01-31,2010-01-25/2010-01-31,D&J-IND,1,10067.1,10067.33,10067.1,10067.33,0,2010-01-25
2010-02-07,2010-02-01/2010-02-07,D&J-IND,1,10012.16,10012.38,10012.16,10012.23,0,2010-02-01
2010-02-14,2010-02-08/2010-02-14,D&J-IND,1,10099.9,10099.9,10097.18,10097.18,0,2010-02-08
2010-02-21,2010-02-15/2010-02-21,D&J-IND,1,10402.35,10402.58,10402.28,10402.35,0,2010-02-15
2010-02-28,2010-02-22/2010-02-28,D&J-IND,1,10324.43,10324.43,10324.43,10324.43,0,2010-02-22
2010-03-07,2010-03-01/2010-03-07,D&J-IND,1,10565.74,10566.12,10565.74,10566.12,0,2010-03-01
2010-03-14,2010-03-08/2010-03-14,D&J-IND,1,10624.69,10624.69,10624.69,10624.69,0,2010-03-08
2010-03-21,2010-03-15/2010-03-21,D&J-IND,1,10754.3,10755.36,10752.94,10752.94,0,2010-03-15
2010-03-28,2010-03-22/2010-03-28,D&J-IND,1,10890.26,10891.7,10890.26,10890.94,0,2010-03-22
2010-04-04,2010-03-29/2010-04-04,D&J-IND,1,10927.14,10927.14,10927.07,10927.07,0,2010-03-29
2010-04-11,2010-04-05/2010-04-11,D&J-IND,1,10997.43,10997.5,10997.35,10997.35,0,2010-04-05
2010-04-18,2010-04-12/2010-04-18,D&J-IND,1,11018.74,11018.74,11018.66,11018.66,0,2010-04-12
2010-04-25,2010-04-19/2010-04-25,D&J-IND,1,11204.2,11204.28,11204.2,11204.28,0,2010-04-19
2010-05-02,2010-04-26/2010-05-02,D&J-IND,1,11008.08,11008.61,11008.08,11008.61,0,2010-04-26
2010-05-09,2010-05-03/2010-05-09,D&J-IND,1,10379.6,10380.06,10379.6,10380.06,0,2010-05-03
2010-05-16,2010-05-10/2010-05-16,D&J-IND,1,10620.61,10620.61,10620.16,10620.16,0,2010-05-10
2010-05-23,2010-05-17/2010-05-23,D&J-IND,1,10193.39,10193.39,10193.39,10193.39,0,2010-05-17
2010-05-30,2010-05-24/2010-05-30,D&J-IND,1,10136.63,10136.63,10136.63,10136.63,0,2010-05-24
2010-06-06,2010-05-31/2010-06-06,D&J-IND,1,9931.6,9931.6,9931.22,9931.22,0,2010-05-31
2010-06-13,2010-06-07/2010-06-13,D&J-IND,1,10211.07,10211.15,10210.92,10211.07,0,2010-06-07
2010-06-20,2010-06-14/2010-06-20,D&J-IND,1,10450.64,10450.64,10450.64,10450.64,0,2010-06-14
2010-06-27,2010-06-21/2010-06-27,D&J-IND,1,10145.02,10145.02,10143.81,10143.81,0,2010-06-21
2010-07-04,2010-06-28/2010-07-04,D&J-IND,1,9686.48,9686.48,9686.48,9686.48,0,2010-06-28
2010-07-11,2010-07-05/2010-07-11,D&J-IND,1,10198.03,10198.03,10198.03,10198.03,0,2010-07-05
2010-07-18,2010-07-12/2010-07-18,D&J-IND,1,10097.9,10097.9,10097.9,10097.9,0,2010-07-12
2010-07-25,2010-07-19/2010-07-25,D&J-IND,1,10424.62,10424.62,10424.62,10424.62,0,2010-07-19
2010-08-01,2010-07-26/2010-08-01,D&J-IND,1,10465.94,10465.94,10465.94,10465.94,0,2010-07-26
2010-08-08,2010-08-02/2010-08-08,D&J-IND,1,10653.56,10653.56,10653.56,10653.56,0,2010-08-02
2010-08-15,2010-08-09/2010-08-15,D&J-IND,1,10303.68,10303.98,10303.07,10303.3,0,2010-08-09
2010-08-22,2010-08-16/2010-08-22,D&J-IND,1,10213.62,10213.62,10213.62,10213.62,0,2010-08-16
2010-08-29,2010-08-23/2010-08-29,D&J-IND,1,10150.65,10150.65,10150.65,10150.65,0,2010-08-23
2010-09-05,2010-08-30/2010-09-05,D&J-IND,1,10448.08,10448.08,10447.93,10447.93,0,2010-08-30
2010-09-12,2010-09-06/2010-09-12,D&J-IND,1,10462.77,10462.77,10462.77,10462.77,0,2010-09-06
2010-09-19,2010-09-13/2010-09-19,D&J-IND,1,10607.85,10607.85,10607.85,10607.85,0,2010-09-13
2010-09-26,2010-09-20/2010-09-26,D&J-IND,1,10859.65,10860.26,10859.65,10860.26,0,2010-09-20
2010-10-03,2010-09-27/2010-10-03,D&J-IND,1,10829.68,10829.68,10829.68,10829.68,0,2010-09-27
2010-10-10,2010-10-04/2010-10-10,D&J-IND,1,11006.55,11006.85,11006.48,11006.48,0,2010-10-04
2010-10-17,2010-10-11/2010-10-17,D&J-IND,1,11062.78,11062.78,11062.78,11062.78,0,2010-10-11
2010-10-24,2010-10-18/2010-10-24,D&J-IND,1,11132.49,11132.56,11132.49,11132.56,0,2010-10-18
2010-10-31,2010-10-25/2010-10-31,D&J-IND,1,11118.26,11118.49,11118.26,11118.49,0,2010-10-25
2010-11-07,2010-11-01/2010-11-07,D&J-IND,1,11430.0,11430.0,11425.16,11425.19,0,2010-11-01
2010-11-14,2010-11-08/2010-11-14,D&J-IND,1,11192.58,11192.58,11192.58,11192.58,0,2010-11-08
2010-11-21,2010-11-15/2010-11-21,D&J-IND,1,11203.55,11203.55,11203.55,11203.55,0,2010-11-15
2010-11-28,2010-11-22/2010-11-28,D&J-IND,1,11092.0,11092.0,11092.0,11092.0,0,2010-11-22
2010-12-05,2010-11-29/2010-12-05,D&J-IND,1,11381.64,11381.64,11381.64,11381.64,0,2010-11-29
2010-12-12,2010-12-06/2010-12-12,D&J-IND,1,11408.96,11410.32,11408.96,11410.32,0,2010-12-06
2010-12-19,2010-12-13/2010-12-19,D&J-IND,1,11491.91,11491.91,11491.91,11491.91,0,2010-12-13
2010-12-26,2010-12-20/2010-12-26,D&J-IND,1,11573.34,11573.49,11573.12,11573.49,0,2010-12-20
2011-01-02,2010-12-27/2011-01-02,D&J-IND,1,11578.64,11578.64,11577.51,11577.51,0,2010-12-27
