Period_end,Date,Ticker,Per,Open,High,Low,Close,Vol,Period_start
2010-01-10,2010-01-04/2010-01-10,US1.JPM,1,44.67,44.68,44.62,44.67,440793,2010-01-04
2010-01-17,2010-01-11/2010-01-17,US1.JPM,1,43.7501,43.77,43.67,43.67,986938,2010-01-11
2010-01-24,2010-01-18/2010-01-24,US1.JPM,1,39.1227,39.19,39.12,39.16,747817,2010-01-18
2010-01-31,2010-01-25/2010-01-31,US1.JPM,1,38.98,39.01,38.91,38.93,814191,2010-01-25
2010-02-07,2010-02-01/2010-02-07,US1.JPM,1,38.36,38.4,38.33,38.35,1034323,2010-02-01
2010-02-14,2010-02-08/2010-02-14,US1.JPM,1,38.98,39.1,38.96,39.06,890742,2010-02-08
2010-02-21,2010-02-15/2010-02-21,US1.JPM,1,40.02,40.04,40.0,40.0101,921449,2010-02-15
2010-02-28,2010-02-22/2010-02-28,US1.JPM,1,42.03,42.03,41.97,41.98,800948,2010-02-22
2010-03-07,2010-03-01/2010-03-07,US1.JPM,1,42.77,42.8,42.77,42.8,589162,2010-03-01
2010-03-14,2010-03-08/2010-03-14,US1.JPM,1,43.17,43.21,43.17,43.19,499614,2010-03-08
2010-03-21,2010-03-15/2010-03-21,US1.JPM,1,43.431,43.46,43.43,43.445,62246,2010-03-15
2010-03-28,2010-03-22/2010-03-28,US1.JPM,1,45.51,45.55,45.5,45.55,27177,2010-03-22
2010-04-04,2010-03-29/2010-04-04,US1.JPM,1,45.19,45.22,45.19,45.22,559823,2010-03-29
2010-04-11,2010-04-05/2010-04-11,US1.JPM,1,45.97,45.98,45.94,45.97,346581,2010-04-05
2010-04-18,2010-04-12/2010-04-18,US1.JPM,1,45.7,45.72,45.61,45.66,1563962,2010-04-12
2010-04-25,2010-04-19/2010-04-25,US1.JPM,1,44.93,44.94,44.92,44.93,563681,2010-04-19
2010-05-02,2010-04-26/2010-05-02,US1.JPM,1,42.57,42.58,42.53,42.54,773713,2010-04-26
2010-05-09,2010-05-03/2010-05-09,US1.JPM,1,40.85,40.89,40.73,40.78,812899,2010-05-03
2010-05-16,2010-05-10/2010-05-16,US1.JPM,1,39.86,39.9,39.85,39.89,847198,2010-05-10
2010-05-23,2010-05-17/2010-05-23,US1.JPM,1,40.15,40.16,40.02,40.04,1357970,2010-05-17
2010-05-30,2010-05-24/2010-05-30,US1.JPM,1,39.56,39.58,39.47,39.53,1040181,2010-05-24
2010-06-06,2010-05-31/2010-06-06,US1.JPM,1,37.6,37.73,37.52,37.73,976181,2010-05-31
2010-06-13,2010-06-07/2010-06-13,US1.JPM,1,38.07,38.09,38.05,38.08,357594,2010-06-07
2010-06-20,2010-06-14/2010-06-20,US1.JPM,1,39.17,39.24,39.13,39.2,897387,2010-06-14
2010-06-27,2010-06-21/2010-06-27,US1.JPM,1,39.59,39.6,39.48,39.51,1096344,2010-06-21
2010-07-04,2010-06-28/2010-07-04,US1.JPM,1,35.91,35.92,35.84,35.84,613235,2010-06-28
2010-07-11,2010-07-05/2010-07-11,US1.JPM,1,38.86,38.89,38.85,38.89,872551,2010-07-05
2010-07-18,2010-07-12/2010-07-18,US1.JPM,1,39.01,39.02,38.95,38.97,1465587,2010-07-12
2010-07-25,2010-07-19/2010-07-25,US1.JPM,1,39.84,39.85,39.78,39.82,500528,2010-07-19
2010-08-01,2010-07-26/2010-08-01,US1.JPM,1,40.39,40.39,40.28,40.28,1058889,2010-07-26
2010-08-08,2010-08-02/2010-08-08,US1.JPM,1,40.4,40.44,40.39,40.43,361859,2010-08-02
2010-08-15,2010-08-09/2010-08-15,US1.JPM,1,37.55,37.56,37.5,37.51,689730,2010-08-09
2010-08-22,2010-08-16/2010-08-22,US1.JPM,1,37.175,37.18,37.11,37.14,762758,2010-08-16
2010-08-29,2010-08-23/2010-08-29,US1.JPM,1,36.63,36.64,36.6,36.62,992413,2010-08-23
2010-09-05,2010-08-30/2010-09-05,US1.JPM,1,39.095,39.15,39.08,39.15,846344,2010-08-30
2010-09-12,2010-09-06/2010-09-12,US1.JPM,1,39.75,39.79,39.74,39.78,316085,2010-09-06
2010-09-19,2010-09-13/2010-09-19,US1.JPM,1,40.1,40.12,40.06,40.06,1074418,2010-09-13
2010-09-26,2010-09-20/2010-09-26,US1.JPM,1,39.77,39.78,39.73,39.75,1137835,2010-09-20
2010-10-03,2010-09-27/2010-10-03,US1.JPM,1,38.79,38.8,38.77,38.78,490443,2010-09-27
2010-10-10,2010-10-04/2010-10-10,US1.JPM,1,39.305,39.32,39.28,39.31,519257,2010-10-04
2010-10-17,2010-10-11/2010-10-17,US1.JPM,1,37.1,37.19,37.09,37.16,1574708,2010-10-11
2010-10-24,2010-10-18/2010-10-24,US1.JPM,1,37.68,37.72,37.67,37.72,439688,2010-10-18
2010-10-31,2010-10-25/2010-10-31,US1.JPM,1,37.65,37.66,37.63,37.64,311867,2010-10-25
2010-11-07,2010-11-01/2010-11-07,US1.JPM,1,41.225,41.26,41.17,41.19,413192,2010-11-01
2010-11-14,2010-11-08/2010-11-14,US1.JPM,1,39.585,39.61,39.56,39.6,412218,2010-11-08
2010-11-21,2010-11-15/2010-11-21,US1.JPM,1,39.4,39.425,39.39,39.41,382512,2010-11-15
2010-11-28,2010-11-22/2010-11-28,US1.JPM,1,37.5,37.5,37.5,37.5,100,2010-11-22
2010-12-05,2010-11-29/2010-12-05,US1.JPM,1,39.67,39.67,39.62,39.62,717165,2010-11-29
2010-12-12,2010-12-06/2010-12-12,US1.JPM,1,41.41,41.42,41.39,41.4,536690,2010-12-06
2010-12-19,2010-12-13/2010-12-19,US1.JPM,1,39.845,39.85,39.73,39.77,1180313,2010-12-13
2010-12-26,2010-12-20/2010-12-26,US1.JPM,1,42.08,42.12,42.07,42.08,327539,2010-12-20
2011-01-02,2010-12-27/2011-01-02,US1.JPM,1,42.41,42.42,42.4,42.42,192959,2010-12-27
2011-01-09,2011-01-03/2011-01-09,US1.JPM,1,43.63,43.67,43.62,43.64,561643,2011-01-03
2011-01-16,2011-01-10/2011-01-16,US1.JPM,1,44.85,44.95,44.69,44.91,1434967,2011-01-10
2011-01-23,2011-01-17/2011-01-23,US1.JPM,1,45.2897,45.305,45.24,45.28,716845,2011-01-17
2011-01-30,2011-01-24/2011-01-30,US1.JPM,1,44.51,44.57,44.5,44.56,393474,2011-01-24
2011-02-06,2011-01-31/2011-02-06,US1.JPM,1,44.6,44.62,44.57,44.6,330731,2011-01-31
2011-02-13,2011-02-07/2011-02-13,US1.JPM,1,46.585,46.59,46.57,46.58,427338,2011-02-07
2011-02-20,2011-02-14/2011-02-20,US1.JPM,1,47.955,47.99,47.92,47.96,627412,2011-02-14
2011-02-27,2011-02-21/2011-02-27,US1.JPM,1,46.755,46.78,46.7,46.72,593751,2011-02-21
2011-03-06,2011-02-28/2011-03-06,US1.JPM,1,45.52,45.55,45.5,45.52,441895,2011-02-28
2011-03-13,2011-03-07/2011-03-13,US1.JPM,1,45.72,45.74,45.71,45.72,423407,2011-03-07
2011-03-20,2011-03-14/2011-03-20,US1.JPM,1,44.89,44.902,44.865,44.9,88637,2011-03-14
2011-03-27,2011-03-21/2011-03-27,US1.JPM,1,45.93,45.9625,45.91,45.91,215339,2011-03-21
2011-04-03,2011-03-28/2011-04-03,US1.JPM,1,46.345,46.38,46.34,46.36,406946,2011-03-28
2011-04-10,2011-04-04/2011-04-10,US1.JPM,1,46.84,46.86,46.82,46.82,413630,2011-04-04
2011-04-17,2011-04-11/2011-04-17,US1.JPM,1,44.87,44.91,44.87,44.905,374967,2011-04-11
2011-04-24,2011-04-18/2011-04-24,US1.JPM,1,44.66,44.67,44.66,44.67,254799,2011-04-18
2011-05-01,2011-04-25/2011-05-01,US1.JPM,1,45.65,45.65,45.63,45.64,247840,2011-04-25
2011-05-08,2011-05-02/2011-05-08,US1.JPM,1,45.015,45.04,45.01,45.03,382950,2011-05-02
2011-05-15,2011-05-09/2011-05-15,US1.JPM,1,43.14,43.17,43.14,43.16,364665,2011-05-09
2011-05-22,2011-05-16/2011-05-22,US1.JPM,1,43.17,43.18,43.13,43.13,406080,2011-05-16
2011-05-29,2011-05-23/2011-05-29,US1.JPM,1,42.77,42.79,42.77,42.79,280990,2011-05-23
2011-06-05,2011-05-30/2011-06-05,US1.JPM,1,41.6,41.61,41.57,41.58,379518,2011-05-30
2011-06-12,2011-06-06/2011-06-12,US1.JPM,1,41.08,41.09,41.05,41.06,620800,2011-06-06
2011-06-19,2011-06-13/2011-06-19,US1.JPM,1,40.8,40.81,40.75,40.77,463832,2011-06-13
2011-06-26,2011-06-20/2011-06-26,US1.JPM,1,39.52,39.53,39.5,39.5001,1115082,2011-06-20
2011-07-03,2011-06-27/2011-07-03,US1.JPM,1,41.64,41.64,41.58,41.62,583966,2011-06-27
2011-07-10,2011-07-04/2011-07-10,US1.JPM,1,40.75,40.76,40.74,40.74,310697,2011-07-04
2011-07-17,2011-07-11/2011-07-17,US1.JPM,1,39.99,40.01,39.98,40.0,777253,2011-07-11
2011-07-24,2011-07-18/2011-07-24,US1.JPM,1,42.17,42.17,42.14,42.17,234706,2011-07-18
2011-07-31,2011-07-25/2011-07-31,US1.JPM,1,40.51,40.51,40.41,40.42,525848,2011-07-25
2011-08-07,2011-08-01/2011-08-07,US1.JPM,1,37.67,37.68,37.6,37.61,731849,2011-08-01
2011-08-14,2011-08-08/2011-08-14,US1.JPM,1,35.935,35.97,35.92,35.94,679714,2011-08-08
2011-08-21,2011-08-15/2011-08-21,US1.JPM,1,34.3,34.37,34.26,34.29,1073918,2011-08-15
2011-08-28,2011-08-22/2011-08-28,US1.JPM,1,36.155,36.21,36.13,36.19,718205,2011-08-22
2011-09-04,2011-08-29/2011-09-04,US1.JPM,1,34.65,34.67,34.63,34.64,934397,2011-08-29
2011-09-11,2011-09-05/2011-09-11,US1.JPM,1,32.11,32.12,32.04,32.07,1583626,2011-09-05
2011-09-18,2011-09-12/2011-09-18,US1.JPM,1,33.435,33.47,33.43,33.45,1004044,2011-09-12
2011-09-25,2011-09-19/2011-09-25,US1.JPM,1,29.57,29.61,29.56,29.57,792859,2011-09-19
2011-10-02,2011-09-26/2011-10-02,US1.JPM,1,30.17,30.18,30.12,30.12,1293867,2011-09-26
2011-10-09,2011-10-03/2011-10-09,US1.JPM,1,30.69,30.73,30.68,30.71,874361,2011-10-03
2011-10-16,2011-10-10/2011-10-16,US1.JPM,1,31.88,31.91,31.84,31.89,1185298,2011-10-10
2011-10-23,2011-10-17/2011-10-23,US1.JPM,1,33.47,33.52,33.43,33.46,1247555,2011-10-17
2011-10-30,2011-10-24/2011-10-30,US1.JPM,1,36.68,36.74,36.68,36.7,480350,2011-10-24
2011-11-06,2011-10-31/2011-11-06,US1.JPM,1,33.905,34.0,33.89,33.99,570014,2011-10-31
2011-11-13,2011-11-07/2011-11-13,US1.JPM,1,33.315,33.37,33.27,33.28,1071189,2011-11-07
2011-11-20,2011-11-14/2011-11-20,US1.JPM,1,30.615,30.63,30.6,30.61,576879,2011-11-14
2011-11-27,2011-11-21/2011-11-27,US1.JPM,1,28.5,28.5,28.5,28.5,100,2011-11-21
2011-12-04,2011-11-28/2011-12-04,US1.JPM,1,32.48,32.49,32.32,32.34,1832841,2011-11-28
2011-12-11,2011-12-05/2011-12-11,US1.JPM,1,33.245,33.25,33.1,33.13,1081360,2011-12-05
2011-12-18,2011-12-12/2011-12-18,US1.JPM,1,31.895,31.96,31.89,31.9,1114775,2011-12-12
2011-12-25,2011-12-19/2011-12-25,US1.JPM,1,33.58,33.6,33.56,33.57,592337,2011-12-19
2012-01-01,2011-12-26/2012-01-01,US1.JPM,1,33.26,33.27,33.24,33.25,376358,2011-12-26
2012-01-08,2012-01-02/2012-01-08,US1.JPM,1,35.33,35.37,35.32,35.36,496990,2012-01-02
2012-01-15,2012-01-09/2012-01-15,US1.JPM,1,35.87,35.91,35.87,35.9,681203,2012-01-09
2012-01-22,2012-01-16/2012-01-22,US1.JPM,1,37.23,37.37,37.225,37.37,1515633,2012-01-16
2012-01-29,2012-01-23/2012-01-29,US1.JPM,1,37.295,37.3,37.2,37.24,683398,2012-01-23
