Period_end,Date,Ticker,Per,Open,High,Low,Close,Vol,Period_start
2010-01-03,2009-12-28/2010-01-03,NQ-100-FUT,1,1858.75,1858.75,1858.75,1858.75,0,2009-12-28
2010-01-10,2010-01-04/2010-01-10,NQ-100-FUT,1,1890.0,1890.0,1890.0,1890.0,0,2010-01-04
2010-01-17,2010-01-11/2010-01-17,NQ-100-FUT,1,1862.25,1862.25,1862.25,1862.25,0,2010-01-11
2010-01-24,2010-01-18/2010-01-24,NQ-100-FUT,1,1797.75,1797.75,1797.75,1797.75,0,2010-01-18
2010-01-31,2010-01-25/2010-01-31,NQ-100-FUT,1,1739.25,1739.25,1739.25,1739.25,0,2010-01-25
2010-02-07,2010-02-01/2010-02-07,NQ-100-FUT,1,1745.0,1745.0,1745.0,1745.0,0,2010-02-01
2010-02-14,2010-02-08/2010-02-14,NQ-100-FUT,1,1783.25,1783.25,1783.25,1783.25,0,2010-02-08
2010-02-21,2010-02-15/2010-02-21,NQ-100-FUT,1,1825.25,1825.25,1825.25,1825.25,3,2010-02-15
2010-02-28,2010-02-22/2010-02-28,NQ-100-FUT,1,1818.5,1818.5,1818.5,1818.5,0,2010-02-22
2010-03-07,2010-03-01/2010-03-07,NQ-100-FUT,1,1885.5,1885.5,1885.5,1885.5,0,2010-03-01
2010-03-14,2010-03-08/2010-03-14,NQ-100-FUT,1,1924.25,1924.25,1924.25,1924.25,0,2010-03-08
2010-03-21,2010-03-15/2010-03-21,NQ-100-FUT,1,1931.5,1932.0,1931.5,1931.5,93,2010-03-15
2010-03-28,2010-03-22/2010-03-28,NQ-100-FUT,1,1960.5,1960.5,1960.0,1960.5,226,2010-03-22
2010-04-04,2010-03-29/2010-04-04,NQ-100-FUT,1,1952.25,1952.25,1952.0,1952.0,2,2010-03-29
2010-04-11,2010-04-05/2010-04-11,NQ-100-FUT,1,1992.0,1992.0,1992.0,1992.0,0,2010-04-05
2010-04-18,2010-04-12/2010-04-18,NQ-100-FUT,1,2009.75,2009.75,2009.75,2009.75,0,2010-04-12
2010-04-25,2010-04-19/2010-04-25,NQ-100-FUT,1,2053.0,2053.0,2053.0,2053.0,0,2010-04-19
2010-05-02,2010-04-26/2010-05-02,NQ-100-FUT,1,1998.5,1998.5,1998.5,1998.5,0,2010-04-26
2010-05-09,2010-05-03/2010-05-09,NQ-100-FUT,1,1848.5,1848.5,1848.5,1848.5,0,2010-05-03
2010-05-16,2010-05-10/2010-05-16,NQ-100-FUT,1,1909.75,1909.75,1909.75,1909.75,0,2010-05-10
2010-05-23,2010-05-17/2010-05-23,NQ-100-FUT,1,1819.25,1819.25,1819.25,1819.25,0,2010-05-17
2010-05-30,2010-05-24/2010-05-30,NQ-100-FUT,1,1852.0,1852.0,1852.0,1852.0,0,2010-05-24
2010-06-06,2010-05-31/2010-06-06,NQ-100-FUT,1,1834.25,1834.25,1834.25,1834.25,0,2010-05-31
2010-06-13,2010-06-07/2010-06-13,NQ-100-FUT,1,1842.5,1842.5,1842.5,1842.5,0,2010-06-07
2010-06-20,2010-06-14/2010-06-20,NQ-100-FUT,1,1909.5,1909.5,1909.5,1909.5,0,2010-06-14
2010-06-27,2010-06-21/2010-06-27,NQ-100-FUT,1,1839.25,1839.25,1839.25,1839.25,0,2010-06-21
2010-07-04,2010-06-28/2010-07-04,NQ-100-FUT,1,1721.25,1721.25,1721.25,1721.25,0,2010-06-28
2010-07-11,2010-07-05/2010-07-11,NQ-100-FUT,1,1811.5,1811.5,1811.5,1811.5,0,2010-07-05
2010-07-18,2010-07-12/2010-07-18,NQ-100-FUT,1,1802.0,1802.0,1802.0,1802.0,0,2010-07-12
2010-07-25,2010-07-19/2010-07-25,NQ-100-FUT,1,1873.75,1873.75,1873.75,1873.75,0,2010-07-19
2010-08-01,2010-07-26/2010-08-01,NQ-100-FUT,1,1862.25,1862.25,1862.25,1862.25,0,2010-07-26
2010-08-08,2010-08-02/2010-08-08,NQ-100-FUT,1,1902.5,1902.5,1902.5,1902.5,0,2010-08-02
2010-08-15,2010-08-09/2010-08-15,NQ-100-FUT,1,1815.25,1815.25,1815.25,1815.25,0,2010-08-09
