Period_end,Date,Open,High,Low,Close,Period_start
2010-01-10,2010-01-04/2010-01-10,1144.99,1144.99,1144.98,1144.98,2010-01-04
2010-01-17,2010-01-11/2010-01-17,1136.03,1136.03,1136.03,1136.03,2010-01-11
2010-01-24,2010-01-18/2010-01-24,1091.76,1091.76,1091.76,1091.76,2010-01-18
2010-01-31,2010-01-25/2010-01-31,1073.72,1073.82,1073.72,1073.82,2010-01-25
2010-02-07,2010-02-01/2010-02-07,1066.2,1066.2,1066.2,1066.2,2010-02-01
2010-02-14,2010-02-08/2010-02-14,1075.58,1075.58,1075.49,1075.49,2010-02-08
2010-02-21,2010-02-15/2010-02-21,1109.18,1109.18,1109.17,1109.17,2010-02-15
2010-02-28,2010-02-22/2010-02-28,1104.48,1104.48,1104.48,1104.48,2010-02-22
2010-03-07,2010-03-01/2010-03-07,1138.68,1138.69,1138.68,1138.69,2010-03-01
2010-03-14,2010-03-08/2010-03-14,1149.99,1149.99,1149.99,1149.99,2010-03-08
2010-03-21,2010-03-15/2010-03-21,1159.9,1159.9,1159.9,1159.9,2010-03-15
2010-03-28,2010-03-22/2010-03-28,1166.59,1166.59,1166.59,1166.59,2010-03-22
2010-04-04,2010-03-29/2010-04-04,1178.09,1178.1,1178.09,1178.1,2010-03-29
2010-04-11,2010-04-05/2010-04-11,1194.37,1194.37,1194.37,1194.37,2010-04-05
2010-04-18,2010-04-12/2010-04-18,1192.12,1192.12,1192.12,1192.12,2010-04-12
2010-04-25,2010-04-19/2010-04-25,1217.28,1217.28,1217.28,1217.28,2010-04-19
2010-05-02,2010-04-26/2010-05-02,1186.69,1186.69,1186.69,1186.69,2010-04-26
2010-05-09,2010-05-03/2010-05-09,1110.88,1110.88,1110.88,1110.88,2010-05-03
2010-05-16,2010-05-10/2010-05-16,1135.68,1135.68,1135.68,1135.68,2010-05-10
2010-05-23,2010-05-17/2010-05-23,1087.71,1087.71,1087.69,1087.69,2010-05-17
2010-05-30,2010-05-24/2010-05-30,1089.41,1089.41,1089.41,1089.41,2010-05-24
2010-06-06,2010-05-31/2010-06-06,1064.88,1064.88,1064.88,1064.88,2010-05-31
2010-06-13,2010-06-07/2010-06-13,1091.6,1091.6,1091.6,1091.6,2010-06-07
2010-06-20,2010-06-14/2010-06-20,1117.51,1117.51,1117.51,1117.51,2010-06-14
2010-06-27,2010-06-21/2010-06-27,1076.76,1076.76,1076.76,1076.76,2010-06-21
2010-07-04,2010-06-28/2010-07-04,1022.58,1022.58,1022.58,1022.58,2010-06-28
2010-07-11,2010-07-05/2010-07-11,1077.96,1077.96,1077.96,1077.96,2010-07-05
2010-07-18,2010-07-12/2010-07-18,1064.88,1064.88,1064.88,1064.88,2010-07-12
2010-07-25,2010-07-19/2010-07-25,1102.66,1102.66,1102.66,1102.66,2010-07-19
2010-08-01,2010-07-26/2010-08-01,1101.6,1101.6,1101.59,1101.6,2010-07-26
2010-08-08,2010-08-02/2010-08-08,1121.64,1121.64,1121.64,1121.64,2010-08-02
2010-08-15,2010-08-09/2010-08-15,1079.25,1079.25,1079.25,1079.25,2010-08-09
2010-08-22,2010-08-16/2010-08-22,1071.69,1071.69,1071.69,1071.69,2010-08-16
2010-08-29,2010-08-23/2010-08-29,1064.6,1064.6,1064.58,1064.59,2010-08-23
2010-09-05,2010-08-30/2010-09-05,1104.5,1104.51,1104.5,1104.51,2010-08-30
2010-09-12,2010-09-06/2010-09-12,1109.55,1109.55,1109.55,1109.55,2010-09-06
2010-09-19,2010-09-13/2010-09-19,1125.65,1125.66,1125.59,1125.59,2010-09-13
2010-09-26,2010-09-20/2010-09-26,1148.67,1148.67,1148.67,1148.67,2010-09-20
2010-10-03,2010-09-27/2010-10-03,1146.23,1146.24,1146.23,1146.24,2010-09-27
2010-10-10,2010-10-04/2010-10-10,1165.14,1165.15,1165.14,1165.15,2010-10-04
2010-10-17,2010-10-11/2010-10-17,1176.19,1176.19,1176.19,1176.19,2010-10-11
2010-10-24,2010-10-18/2010-10-24,1183.08,1183.08,1183.08,1183.08,2010-10-18
2010-10-31,2010-10-25/2010-10-31,1183.26,1183.26,1183.26,1183.26,2010-10-25
2010-11-07,2010-11-01/2010-11-07,1225.85,1225.85,1225.85,1225.85,2010-11-01
2010-11-14,2010-11-08/2010-11-14,1199.22,1199.22,1199.22,1199.22,2010-11-08
2010-11-21,2010-11-15/2010-11-21,1199.73,1199.73,1199.73,1199.73,2010-11-15
2010-11-28,2010-11-22/2010-11-28,1189.4,1189.4,1189.4,1189.4,2010-11-22
2010-12-05,2010-11-29/2010-12-05,1224.71,1224.71,1224.71,1224.71,2010-11-29
2010-12-12,2010-12-06/2010-12-12,1240.4,1240.4,1240.4,1240.4,2010-12-06
2010-12-19,2010-12-13/2010-12-19,1243.9,1243.91,1243.9,1243.91,2010-12-13
2010-12-26,2010-12-20/2010-12-26,1256.78,1256.78,1256.77,1256.77,2010-12-20
2011-01-02,2010-12-27/2011-01-02,1257.64,1257.64,1257.64,1257.64,2010-12-27
2011-01-09,2011-01-03/2011-01-09,1271.5,1271.5,1271.5,1271.5,2011-01-03
2011-01-16,2011-01-10/2011-01-16,1293.24,1293.24,1293.24,1293.24,2011-01-10
2011-01-23,2011-01-17/2011-01-23,1283.34,1283.35,1283.34,1283.35,2011-01-17
2011-01-30,2011-01-24/2011-01-30,1276.34,1276.34,1276.34,1276.34,2011-01-24
2011-02-06,2011-01-31/2011-02-06,1310.87,1310.87,1310.87,1310.87,2011-01-31
2011-02-13,2011-02-07/2011-02-13,1329.15,1329.15,1329.15,1329.15,2011-02-07
2011-02-20,2011-02-14/2011-02-20,1343.0,1343.01,1343.0,1343.01,2011-02-14
2011-02-27,2011-02-21/2011-02-27,1319.88,1319.88,1319.88,1319.88,2011-02-21
2011-03-06,2011-02-28/2011-03-06,1321.16,1321.16,1321.15,1321.15,2011-02-28
2011-03-13,2011-03-07/2011-03-13,1304.28,1304.28,1304.28,1304.28,2011-03-07
2011-03-20,2011-03-14/2011-03-20,1279.21,1279.21,1279.21,1279.21,2011-03-14
2011-03-27,2011-03-21/2011-03-27,1313.8,1313.8,1313.8,1313.8,2011-03-21
2011-04-03,2011-03-28/2011-04-03,1332.4,1332.41,1332.4,1332.41,2011-03-28
2011-04-10,2011-04-04/2011-04-10,1328.17,1328.17,1328.17,1328.17,2011-04-04
2011-04-17,2011-04-11/2011-04-17,1319.68,1319.68,1319.68,1319.68,2011-04-11
2011-04-24,2011-04-18/2011-04-24,1337.37,1337.39,1337.37,1337.39,2011-04-18
2011-05-01,2011-04-25/2011-05-01,1363.61,1363.61,1363.61,1363.61,2011-04-25
2011-05-08,2011-05-02/2011-05-08,1340.2,1340.2,1340.2,1340.2,2011-05-02
2011-05-15,2011-05-09/2011-05-15,1337.78,1337.78,1337.77,1337.77,2011-05-09
2011-05-22,2011-05-16/2011-05-22,1333.27,1333.27,1333.27,1333.27,2011-05-16
2011-05-29,2011-05-23/2011-05-29,1331.1,1331.1,1331.1,1331.1,2011-05-23
2011-06-05,2011-05-30/2011-06-05,1300.16,1300.16,1300.16,1300.16,2011-05-30
2011-06-12,2011-06-06/2011-06-12,1270.98,1270.98,1270.97,1270.97,2011-06-06
2011-06-19,2011-06-13/2011-06-19,1271.5,1271.5,1271.5,1271.5,2011-06-13
2011-06-26,2011-06-20/2011-06-26,1268.45,1268.45,1268.45,1268.45,2011-06-20
2011-07-03,2011-06-27/2011-07-03,1339.65,1339.67,1339.65,1339.67,2011-06-27
2011-07-10,2011-07-04/2011-07-10,1343.81,1343.81,1343.81,1343.81,2011-07-04
2011-07-17,2011-07-11/2011-07-17,1316.14,1316.14,1316.14,1316.14,2011-07-11
2011-07-24,2011-07-18/2011-07-24,1345.02,1345.02,1345.02,1345.02,2011-07-18
2011-07-31,2011-07-25/2011-07-31,1292.28,1292.28,1292.28,1292.28,2011-07-25
2011-08-07,2011-08-01/2011-08-07,1199.38,1199.38,1199.38,1199.38,2011-08-01
2011-08-14,2011-08-08/2011-08-14,1178.81,1178.81,1178.81,1178.81,2011-08-08
