Date,Open,High,Low,Close
2010-01-04 10:00:00,1128.26,1128.35,1128.26,1128.3
2010-01-04 11:00:00,1131.83,1131.94,1131.83,1131.94
2010-01-04 12:00:00,1133.41,1133.41,1133.15,1133.15
2010-01-04 13:00:00,1133.06,1133.06,1133.01,1133.01
2010-01-04 14:00:00,1131.75,1131.75,1131.64,1131.64
2010-01-04 15:00:00,1132.97,1132.97,1132.91,1132.91
2010-01-04 16:00:00,1132.61,1132.8,1132.61,1132.8
2010-01-04 17:00:00,1132.99,1132.99,1132.99,1132.99
2010-01-04 18:00:00,,,,
2010-01-04 19:00:00,,,,
2010-01-04 20:00:00,,,,
2010-01-04 21:00:00,,,,
2010-01-04 22:00:00,,,,
2010-01-04 23:00:00,,,,
2010-01-05 00:00:00,,,,
2010-01-05 01:00:00,,,,
2010-01-05 02:00:00,,,,
2010-01-05 03:00:00,,,,
2010-01-05 04:00:00,,,,
2010-01-05 05:00:00,,,,
2010-01-05 06:00:00,,,,
2010-01-05 07:00:00,,,,
2010-01-05 08:00:00,,,,
2010-01-05 09:00:00,,,,
2010-01-05 10:00:00,1131.78,1131.78,1131.78,1131.78
2010-01-05 11:00:00,1135.67,1135.67,1135.67,1135.67
2010-01-05 12:00:00,1133.7,1133.74,1133.7,1133.74
2010-01-05 13:00:00,1133.4,1133.42,1133.37,1133.42
2010-01-05 14:00:00,1132.57,1132.62,1132.57,1132.62
2010-01-05 15:00:00,1133.23,1133.47,1133.23,1133.47
2010-01-05 16:00:00,1136.17,1136.31,1136.17,1136.31
2010-01-05 17:00:00,1136.52,1136.52,1136.52,1136.52
2010-01-05 18:00:00,,,,
2010-01-05 19:00:00,,,,
2010-01-05 20:00:00,,,,
2010-01-05 21:00:00,,,,
2010-01-05 22:00:00,,,,
2010-01-05 23:00:00,,,,
2010-01-06 00:00:00,,,,
2010-01-06 01:00:00,,,,
2010-01-06 02:00:00,,,,
2010-01-06 03:00:00,,,,
2010-01-06 04:00:00,,,,
2010-01-06 05:00:00,,,,
2010-01-06 06:00:00,,,,
2010-01-06 07:00:00,,,,
2010-01-06 08:00:00,,,,
2010-01-06 09:00:00,,,,
2010-01-06 10:00:00,1134.78,1134.78,1134.77,1134.77
2010-01-06 11:00:00,1136.49,1136.6,1136.49,1136.6
2010-01-06 12:00:00,1136.6,1136.6,1136.42,1136.42
2010-01-06 13:00:00,1136.29,1136.31,1136.27,1136.27
2010-01-06 14:00:00,1135.48,1135.74,1135.48,1135.74
2010-01-06 15:00:00,1138.7,1138.79,1138.7,1138.79
2010-01-06 16:00:00,1136.85,1136.85,1136.83,1136.85
2010-01-06 17:00:00,1137.14,1137.14,1137.14,1137.14
2010-01-06 18:00:00,,,,
2010-01-06 19:00:00,,,,
2010-01-06 20:00:00,,,,
2010-01-06 21:00:00,,,,
2010-01-06 22:00:00,,,,
2010-01-06 23:00:00,,,,
2010-01-07 00:00:00,,,,
2010-01-07 01:00:00,,,,
2010-01-07 02:00:00,,,,
2010-01-07 03:00:00,,,,
2010-01-07 04:00:00,,,,
2010-01-07 05:00:00,,,,
2010-01-07 06:00:00,,,,
2010-01-07 07:00:00,,,,
2010-01-07 08:00:00,,,,
2010-01-07 09:00:00,,,,
2010-01-07 10:00:00,1132.01,1132.01,1131.78,1131.78
2010-01-07 11:00:00,1137.8,1137.9,1137.8,1137.9
2010-01-07 12:00:00,1137.11,1137.26,1137.11,1137.26
2010-01-07 13:00:00,1138.51,1138.69,1138.51,1138.69
2010-01-07 14:00:00,1138.68,1138.68,1138.51,1138.51
2010-01-07 15:00:00,1141.25,1141.25,1141.17,1141.17
2010-01-07 16:00:00,1141.56,1141.65,1141.56,1141.65
2010-01-07 17:00:00,1141.69,1141.69,1141.69,1141.69
2010-01-07 18:00:00,,,,
2010-01-07 19:00:00,,,,
2010-01-07 20:00:00,,,,
2010-01-07 21:00:00,,,,
2010-01-07 22:00:00,,,,
2010-01-07 23:00:00,,,,
2010-01-08 00:00:00,,,,
2010-01-08 01:00:00,,,,
2010-01-08 02:00:00,,,,
2010-01-08 03:00:00,,,,
2010-01-08 04:00:00,,,,
2010-01-08 05:00:00,,,,
2010-01-08 06:00:00,,,,
2010-01-08 07:00:00,,,,
2010-01-08 08:00:00,,,,
2010-01-08 09:00:00,,,,
2010-01-08 10:00:00,1139.17,1139.17,1139.17,1139.17
2010-01-08 11:00:00,1140.29,1140.42,1140.21,1140.42
2010-01-08 12:00:00,1140.51,1140.73,1140.51,1140.73
2010-01-08 13:00:00,1140.27,1140.35,1140.27,1140.34
2010-01-08 14:00:00,1140.89,1140.89,1140.89,1140.89
2010-01-08 15:00:00,1140.35,1140.44,1140.35,1140.44
2010-01-08 16:00:00,1144.52,1144.72,1144.52,1144.72
2010-01-08 17:00:00,1144.99,1144.99,1144.98,1144.98
2010-01-08 18:00:00,,,,
2010-01-08 19:00:00,,,,
2010-01-08 20:00:00,,,,
2010-01-08 21:00:00,,,,
2010-01-08 22:00:00,,,,
2010-01-08 23:00:00,,,,
2010-01-09 00:00:00,,,,
2010-01-09 01:00:00,,,,
2010-01-09 02:00:00,,,,
2010-01-09 03:00:00,,,,
2010-01-09 04:00:00,,,,
2010-01-09 05:00:00,,,,
2010-01-09 06:00:00,,,,
2010-01-09 07:00:00,,,,
2010-01-09 08:00:00,,,,
2010-01-09 09:00:00,,,,
2010-01-09 10:00:00,,,,
2010-01-09 11:00:00,,,,
2010-01-09 12:00:00,,,,
2010-01-09 13:00:00,,,,
2010-01-09 14:00:00,,,,
2010-01-09 15:00:00,,,,
2010-01-09 16:00:00,,,,
2010-01-09 17:00:00,,,,
2010-01-09 18:00:00,,,,
2010-01-09 19:00:00,,,,
2010-01-09 20:00:00,,,,
2010-01-09 21:00:00,,,,
2010-01-09 22:00:00,,,,
2010-01-09 23:00:00,,,,
2010-01-10 00:00:00,,,,
2010-01-10 01:00:00,,,,
2010-01-10 02:00:00,,,,
2010-01-10 03:00:00,,,,
2010-01-10 04:00:00,,,,
2010-01-10 05:00:00,,,,
2010-01-10 06:00:00,,,,
2010-01-10 07:00:00,,,,
2010-01-10 08:00:00,,,,
2010-01-10 09:00:00,,,,
2010-01-10 10:00:00,,,,
