iter	Passed	Remaining
0	23	11954
1	47	11802
2	70	11752
3	94	11722
4	118	11693
5	141	11678
6	153	10842
7	177	10915
8	201	10990
9	225	11038
10	248	11062
11	275	11218
12	300	11245
13	323	11247
14	347	11246
15	379	11483
16	403	11454
17	426	11424
18	449	11389
19	474	11377
20	498	11360
21	521	11334
22	545	11310
23	568	11282
24	592	11260
25	615	11229
26	639	11197
27	662	11171
28	685	11141
29	709	11114
30	733	11089
31	756	11063
32	779	11035
33	802	11004
34	826	10979
35	850	10964
36	874	10945
37	898	10920
38	921	10897
39	945	10871
40	968	10844
41	992	10825
42	1016	10805
43	1040	10781
44	1063	10756
45	1086	10727
46	1110	10706
47	1134	10681
48	1158	10660
49	1181	10637
50	1205	10616
51	1230	10598
52	1254	10581
53	1278	10559
54	1301	10533
55	1325	10512
56	1351	10500
57	1388	10580
58	1411	10551
59	1435	10525
60	1459	10500
61	1483	10476
62	1506	10450
63	1530	10427
64	1554	10404
65	1578	10377
66	1601	10353
67	1626	10332
68	1650	10307
69	1674	10285
70	1698	10260
71	1721	10234
72	1745	10207
73	1768	10181
74	1792	10155
75	1815	10130
76	1839	10105
77	1863	10080
78	1886	10054
79	1911	10033
80	1934	10006
81	1958	9981
82	1981	9954
83	2004	9929
84	2028	9904
85	2051	9877
86	2075	9852
87	2099	9829
88	2123	9804
89	2146	9778
90	2170	9755
91	2193	9729
92	2218	9708
93	2241	9683
94	2265	9658
95	2289	9633
96	2312	9609
97	2336	9586
98	2372	9609
99	2396	9584
100	2419	9558
101	2443	9532
102	2466	9507
103	2490	9481
104	2513	9457
105	2537	9433
106	2562	9410
107	2585	9384
108	2608	9358
109	2632	9334
110	2656	9309
111	2680	9285
112	2703	9260
113	2727	9234
114	2751	9210
115	2774	9184
116	2797	9159
117	2822	9136
118	2845	9110
119	2870	9090
120	2894	9065
121	2917	9040
122	2941	9015
123	2965	8991
124	2988	8965
125	3012	8942
126	3035	8916
127	3059	8892
128	3083	8868
129	3107	8843
130	3131	8820
131	3155	8795
132	3179	8772
133	3202	8748
134	3226	8722
135	3249	8697
136	3274	8676
137	3298	8651
138	3321	8627
139	3348	8609
140	3381	8608
141	3404	8583
142	3428	8559
143	3452	8536
144	3477	8513
145	3501	8489
146	3524	8464
147	3548	8438
148	3571	8413
149	3595	8388
150	3618	8363
151	3642	8340
152	3667	8316
153	3691	8293
154	3715	8269
155	3738	8244
156	3762	8219
157	3786	8195
158	3810	8172
159	3836	8153
160	3861	8129
161	3884	8104
162	3908	8080
163	3932	8056
164	3956	8032
165	3983	8015
