,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,1.5276050739173272
1,2010-01-05,2010-05-05,200,90,1.5073877471694017
2,2010-01-06,2010-05-06,200,90,1.496760248009055
3,2010-01-07,2010-05-07,200,90,1.4570468278354576
4,2010-01-08,2010-05-08,200,90,1.4973529531185645
5,2010-01-09,2010-05-09,200,90,1.4926177749776854
6,2010-01-10,2010-05-10,200,90,1.4250260906931813
7,2010-01-11,2010-05-11,200,90,1.4591356917836893
8,2010-01-12,2010-05-12,200,90,1.533292639719331
9,2010-01-13,2010-05-13,200,90,1.5411436640528433
10,2010-01-14,2010-05-14,200,90,1.499722208896441
11,2010-01-15,2010-05-15,200,90,1.5540288739064982
12,2010-01-16,2010-05-16,200,90,1.5355659386016918
13,2010-01-17,2010-05-17,200,90,1.4935681533330611
14,2010-01-18,2010-05-18,200,90,1.4810408915854218
15,2010-01-19,2010-05-19,200,90,1.4200956604562167
16,2010-01-20,2010-05-20,200,90,1.444470974333508
17,2010-01-21,2010-05-21,200,90,1.4351827623028806
18,2010-01-22,2010-05-22,200,90,1.377102107286783
19,2010-01-23,2010-05-23,200,90,1.4449482931035802
20,2010-01-24,2010-05-24,200,90,1.397247907593972
21,2010-01-25,2010-05-25,200,90,1.5156404383050046
22,2010-01-26,2010-05-26,200,90,1.4865584282474003
23,2010-01-27,2010-05-27,200,90,1.475249811218995
24,2010-01-28,2010-05-28,200,90,1.4423891650413534
25,2010-01-29,2010-05-29,200,90,1.4042232678674376
26,2010-01-30,2010-05-30,200,90,1.3801275666644863
27,2010-01-31,2010-05-31,200,90,1.356712473254146
28,2010-02-01,2010-06-01,200,90,1.3357098466964112
29,2010-02-02,2010-06-02,200,90,1.3694835930104599
30,2010-02-03,2010-06-03,200,90,1.3512265341796212
31,2010-02-04,2010-06-04,200,90,1.3990933685002866
32,2010-02-05,2010-06-05,200,90,1.3913286328147765
33,2010-02-06,2010-06-06,200,90,1.3738043336205439
34,2010-02-07,2010-06-07,200,90,1.3433241344954339
35,2010-02-08,2010-06-08,200,90,1.3422706846398529
36,2010-02-09,2010-06-09,200,90,1.2936365578867224
37,2010-02-10,2010-06-10,200,90,1.299604992926821
38,2010-02-11,2010-06-11,200,90,1.3204988521119034
39,2010-02-12,2010-06-12,200,90,1.3201992000339777
40,2010-02-13,2010-06-13,200,90,1.3005016964926939
41,2010-02-14,2010-06-14,200,90,1.2933357287537541
42,2010-02-15,2010-06-15,200,90,1.2772107063405274
43,2010-02-16,2010-06-16,200,90,1.3058547476835098
44,2010-02-17,2010-06-17,200,90,1.284541709105595
45,2010-02-18,2010-06-18,200,90,1.2693445366953542
