,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,3.3551578577395844
1,2010-01-05,2010-05-05,200,90,3.2817850965186546
2,2010-01-06,2010-05-06,200,90,3.2170629793950685
3,2010-01-07,2010-05-07,200,90,3.203666354524586
4,2010-01-08,2010-05-08,200,90,3.1941680652425317
5,2010-01-09,2010-05-09,200,90,3.221475316721239
6,2010-01-10,2010-05-10,200,90,3.2406431774095976
7,2010-01-11,2010-05-11,200,90,3.284629656651815
8,2010-01-12,2010-05-12,200,90,3.269543558006611
9,2010-01-13,2010-05-13,200,90,3.3471269115978055
10,2010-01-14,2010-05-14,200,90,3.526421102439333
11,2010-01-15,2010-05-15,200,90,3.3888349531571027
12,2010-01-16,2010-05-16,200,90,3.4219382891784575
13,2010-01-17,2010-05-17,200,90,3.476095882373057
14,2010-01-18,2010-05-18,200,90,3.3936028249806687
15,2010-01-19,2010-05-19,200,90,3.4624858650693775
16,2010-01-20,2010-05-20,200,90,3.2118796256461066
17,2010-01-21,2010-05-21,200,90,3.430707818746637
18,2010-01-22,2010-05-22,200,90,3.3842450339643833
19,2010-01-23,2010-05-23,200,90,3.3483170707271457
20,2010-01-24,2010-05-24,200,90,3.2191897974108885
21,2010-01-25,2010-05-25,200,90,3.310925682336538
22,2010-01-26,2010-05-26,200,90,3.4127452766017825
23,2010-01-27,2010-05-27,200,90,3.4448492450494586
24,2010-01-28,2010-05-28,200,90,3.411296173976015
25,2010-01-29,2010-05-29,200,90,3.364389417387082
26,2010-01-30,2010-05-30,200,90,3.383701257242275
27,2010-01-31,2010-05-31,200,90,3.3428578544774306
28,2010-02-01,2010-06-01,200,90,3.4200560721750035
29,2010-02-02,2010-06-02,200,90,3.494238362606404
30,2010-02-03,2010-06-03,200,90,3.5201534754058432
31,2010-02-04,2010-06-04,200,90,3.396480440949902
32,2010-02-05,2010-06-05,200,90,3.4135456024163697
33,2010-02-06,2010-06-06,200,90,3.4301696317261747
34,2010-02-07,2010-06-07,200,90,3.369631161371465
35,2010-02-08,2010-06-08,200,90,3.3934665128324317
36,2010-02-09,2010-06-09,200,90,3.3299589570146106
37,2010-02-10,2010-06-10,200,90,3.3055796245923834
38,2010-02-11,2010-06-11,200,90,3.4189640387324345
39,2010-02-12,2010-06-12,200,90,3.3156411361894413
40,2010-02-13,2010-06-13,200,90,3.254772337243127
41,2010-02-14,2010-06-14,200,90,3.2472651882880337
42,2010-02-15,2010-06-15,200,90,3.2756404966063113
43,2010-02-16,2010-06-16,200,90,3.305256188284509
44,2010-02-17,2010-06-17,200,90,3.3300773571975766
45,2010-02-18,2010-06-18,200,90,3.4017008311801575
46,2010-02-19,2010-06-19,200,90,3.2055590199947157
47,2010-02-20,2010-06-20,200,90,3.2858170001511793
48,2010-02-21,2010-06-21,200,90,3.055451400033113
49,2010-02-22,2010-06-22,200,90,3.3081368317353586
50,2010-02-23,2010-06-23,200,90,3.2458288375003614
51,2010-02-24,2010-06-24,200,90,3.2023060323451653
52,2010-02-25,2010-06-25,200,90,3.3324154627924187
53,2010-02-26,2010-06-26,200,90,3.307578897739048
54,2010-02-27,2010-06-27,200,90,3.346736029473078
55,2010-02-28,2010-06-28,200,90,3.3912483488835146
56,2010-03-01,2010-06-29,200,90,3.34935114636891
57,2010-03-02,2010-06-30,200,90,3.388708813156729
58,2010-03-03,2010-07-01,200,90,3.4459342268284874
59,2010-03-04,2010-07-02,200,90,3.4919678196472272
60,2010-03-05,2010-07-03,200,90,3.4811524371442673
61,2010-03-06,2010-07-04,200,90,3.503790796092143
62,2010-03-07,2010-07-05,200,90,3.4474442446086426
63,2010-03-08,2010-07-06,200,90,3.4003741149439874
64,2010-03-09,2010-07-07,200,90,3.456041831031007
65,2010-03-10,2010-07-08,200,90,3.4665021796717492
66,2010-03-11,2010-07-09,200,90,3.453414265448787
67,2010-03-12,2010-07-10,200,90,3.4756475745473803
68,2010-03-13,2010-07-11,200,90,3.4462501010770294
69,2010-03-14,2010-07-12,200,90,3.462810548867708
70,2010-03-15,2010-07-13,200,90,3.541824771620104
71,2010-03-16,2010-07-14,200,90,3.42975451812927
72,2010-03-17,2010-07-15,200,90,3.4899600478764374
73,2010-03-18,2010-07-16,200,90,3.412800096854825
74,2010-03-19,2010-07-17,200,90,3.360358357237258
75,2010-03-20,2010-07-18,200,90,3.3975409666039247
76,2010-03-21,2010-07-19,200,90,3.339412356074682
77,2010-03-22,2010-07-20,200,90,3.328050900771739
78,2010-03-23,2010-07-21,200,90,3.2761706358970946
79,2010-03-24,2010-07-22,200,90,3.2707983578692557
80,2010-03-25,2010-07-23,200,90,3.219872858667033
81,2010-03-26,2010-07-24,200,90,3.219029658398359
82,2010-03-27,2010-07-25,200,90,3.1676851986634618
83,2010-03-28,2010-07-26,200,90,3.194306201544398
84,2010-03-29,2010-07-27,200,90,3.1010291819991145
85,2010-03-30,2010-07-28,200,90,3.114074978884052
86,2010-03-31,2010-07-29,200,90,3.113634419002119
87,2010-04-01,2010-07-30,200,90,3.1091347900367605
88,2010-04-02,2010-07-31,200,90,3.047283832479777
89,2010-04-03,2010-08-01,200,90,3.0409966654889096
90,2010-04-04,2010-08-02,200,90,3.0646309723497054
91,2010-04-05,2010-08-03,200,90,3.034424163690175
92,2010-04-06,2010-08-04,200,90,3.0067421289864797
93,2010-04-07,2010-08-05,200,90,3.0361925253370297
