,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,2.8341638284135837
1,2010-01-05,2010-05-05,200,90,2.8121209472556723
2,2010-01-06,2010-05-06,200,90,2.7627681602977185
3,2010-01-07,2010-05-07,200,90,2.736722307249222
4,2010-01-08,2010-05-08,200,90,2.7242278553665877
5,2010-01-09,2010-05-09,200,90,2.6687598133320343
6,2010-01-10,2010-05-10,200,90,2.6198432825099056
7,2010-01-11,2010-05-11,200,90,2.665090906088289
8,2010-01-12,2010-05-12,200,90,2.6798807133625004
9,2010-01-13,2010-05-13,200,90,2.767310432725174
10,2010-01-14,2010-05-14,200,90,2.784137290363729
11,2010-01-15,2010-05-15,200,90,2.766712430155609
12,2010-01-16,2010-05-16,200,90,2.734349471129375
13,2010-01-17,2010-05-17,200,90,2.7524592125634255
14,2010-01-18,2010-05-18,200,90,2.7952663773848303
15,2010-01-19,2010-05-19,200,90,2.7411609375289188
16,2010-01-20,2010-05-20,200,90,2.7799168008457076
17,2010-01-21,2010-05-21,200,90,2.782688713932716
18,2010-01-22,2010-05-22,200,90,2.8064067277480076
19,2010-01-23,2010-05-23,200,90,2.861518087345455
20,2010-01-24,2010-05-24,200,90,2.8084952540253902
21,2010-01-25,2010-05-25,200,90,2.7733562694421616
22,2010-01-26,2010-05-26,200,90,2.7858191718632206
23,2010-01-27,2010-05-27,200,90,2.7031710222090255
24,2010-01-28,2010-05-28,200,90,2.7528356224021455
25,2010-01-29,2010-05-29,200,90,2.606725101836274
26,2010-01-30,2010-05-30,200,90,2.5723555974577836
27,2010-01-31,2010-05-31,200,90,2.495985717377996
28,2010-02-01,2010-06-01,200,90,2.482544811588447
29,2010-02-02,2010-06-02,200,90,2.396821942968175
30,2010-02-03,2010-06-03,200,90,2.329190390966138
31,2010-02-04,2010-06-04,200,90,2.3113430861146123
32,2010-02-05,2010-06-05,200,90,2.261909640503525
33,2010-02-06,2010-06-06,200,90,2.237779050414386
34,2010-02-07,2010-06-07,200,90,2.3493073051142264
35,2010-02-08,2010-06-08,200,90,2.319335649469884
36,2010-02-09,2010-06-09,200,90,2.3799286335173457
37,2010-02-10,2010-06-10,200,90,2.3914214036550887
38,2010-02-11,2010-06-11,200,90,2.3841175226232014
39,2010-02-12,2010-06-12,200,90,2.326222881852532
40,2010-02-13,2010-06-13,200,90,2.3487103659529733
41,2010-02-14,2010-06-14,200,90,2.4426044986623685
42,2010-02-15,2010-06-15,200,90,2.394441331124712
43,2010-02-16,2010-06-16,200,90,2.3953410520374745
44,2010-02-17,2010-06-17,200,90,2.3983210714262104
45,2010-02-18,2010-06-18,200,90,2.4210143751205595
46,2010-02-19,2010-06-19,200,90,2.3755358202144516
47,2010-02-20,2010-06-20,200,90,2.3234454826614446
48,2010-02-21,2010-06-21,200,90,2.3636493362087805
49,2010-02-22,2010-06-22,200,90,2.278373089016907
50,2010-02-23,2010-06-23,200,90,2.3354753371502044
51,2010-02-24,2010-06-24,200,90,2.2384396211724504
52,2010-02-25,2010-06-25,200,90,2.3252915472223323
53,2010-02-26,2010-06-26,200,90,2.263630705218694
54,2010-02-27,2010-06-27,200,90,2.451213633525435
55,2010-02-28,2010-06-28,200,90,2.4789143420243134
56,2010-03-01,2010-06-29,200,90,2.4957775194895344
57,2010-03-02,2010-06-30,200,90,2.3403189792870616
58,2010-03-03,2010-07-01,200,90,2.416964028739002
59,2010-03-04,2010-07-02,200,90,2.3443340875582623
60,2010-03-05,2010-07-03,200,90,2.3590197856336075
61,2010-03-06,2010-07-04,200,90,2.38503975934835
62,2010-03-07,2010-07-05,200,90,2.3706935229240194
63,2010-03-08,2010-07-06,200,90,2.355258169855763
64,2010-03-09,2010-07-07,200,90,2.3861307874167212
65,2010-03-10,2010-07-08,200,90,2.413801044890773
66,2010-03-11,2010-07-09,200,90,2.251229262396927
67,2010-03-12,2010-07-10,200,90,2.278238244251272
68,2010-03-13,2010-07-11,200,90,2.3031849562565925
69,2010-03-14,2010-07-12,200,90,2.300481819505029
70,2010-03-15,2010-07-13,200,90,2.355435138243613
71,2010-03-16,2010-07-14,200,90,2.34933414825549
72,2010-03-17,2010-07-15,200,90,2.34653296163037
73,2010-03-18,2010-07-16,200,90,2.234462654970106
74,2010-03-19,2010-07-17,200,90,2.255312293623939
75,2010-03-20,2010-07-18,200,90,2.250904941890039
76,2010-03-21,2010-07-19,200,90,2.258440215907292
77,2010-03-22,2010-07-20,200,90,2.2616418797080375
78,2010-03-23,2010-07-21,200,90,2.2980573356616394
79,2010-03-24,2010-07-22,200,90,2.3880640044247263
80,2010-03-25,2010-07-23,200,90,2.4097400491897902
81,2010-03-26,2010-07-24,200,90,2.2611906331253313
82,2010-03-27,2010-07-25,200,90,2.3064679912869894
83,2010-03-28,2010-07-26,200,90,2.3055873302777035
84,2010-03-29,2010-07-27,200,90,2.2228264630583503
85,2010-03-30,2010-07-28,200,90,2.2298413615609167
86,2010-03-31,2010-07-29,200,90,2.2496751348572945
87,2010-04-01,2010-07-30,200,90,2.1077150180401585
88,2010-04-02,2010-07-31,200,90,2.068755059808745
89,2010-04-03,2010-08-01,200,90,2.082018762936795
90,2010-04-04,2010-08-02,200,90,2.0885611722626622
91,2010-04-05,2010-08-03,200,90,2.06414171049416
92,2010-04-06,2010-08-04,200,90,2.0707215670019172
93,2010-04-07,2010-08-05,200,90,2.1101797100497866
94,2010-04-08,2010-08-06,200,90,1.9827648839621068
95,2010-04-09,2010-08-07,200,90,2.0964730060349357
96,2010-04-10,2010-08-08,200,90,2.066851279821283
97,2010-04-11,2010-08-09,200,90,2.118842015883649
98,2010-04-12,2010-08-10,200,90,2.117887529804254
99,2010-04-13,2010-08-11,200,90,2.105396712035696
100,2010-04-14,2010-08-12,200,90,2.2106211474191864
101,2010-04-15,2010-08-13,200,90,2.2227688204173655
102,2010-04-16,2010-08-14,200,90,2.3476932192945386
103,2010-04-17,2010-08-15,200,90,2.39547125544444
104,2010-04-18,2010-08-16,200,90,2.3988107213104004
105,2010-04-19,2010-08-17,200,90,2.39778582439273
106,2010-04-20,2010-08-18,200,90,2.4325819793632966
107,2010-04-21,2010-08-19,200,90,2.425081993008546
108,2010-04-22,2010-08-20,200,90,2.424240619520949
109,2010-04-23,2010-08-21,200,90,2.494183472206992
110,2010-04-24,2010-08-22,200,90,2.439306251311783
111,2010-04-25,2010-08-23,200,90,2.3084036745770566
112,2010-04-26,2010-08-24,200,90,2.262349092385118
113,2010-04-27,2010-08-25,200,90,2.458752665446129
114,2010-04-28,2010-08-26,200,90,2.670005197487617
115,2010-04-29,2010-08-27,200,90,2.780874195183399
116,2010-04-30,2010-08-28,200,90,2.5678968392408894
117,2010-05-01,2010-08-29,200,90,2.698622428076017
118,2010-05-02,2010-08-30,200,90,2.9413251563534244
119,2010-05-03,2010-08-31,200,90,2.9622840867148064
120,2010-05-04,2010-09-01,200,90,2.767066424056323
121,2010-05-05,2010-09-02,200,90,3.152709110958021
122,2010-05-06,2010-09-03,200,90,2.9712806634173305
123,2010-05-07,2010-09-04,200,90,2.9820802327957443
124,2010-05-08,2010-09-05,200,90,3.207150321396562
125,2010-05-09,2010-09-06,200,90,3.0629425000110553
126,2010-05-10,2010-09-07,200,90,2.890655313197565
127,2010-05-11,2010-09-08,200,90,2.7650589697276318
128,2010-05-12,2010-09-09,200,90,2.9636317772984757
129,2010-05-13,2010-09-10,200,90,2.844892273183991
130,2010-05-14,2010-09-11,200,90,2.9601897541624163
131,2010-05-15,2010-09-12,200,90,2.905061138153065
132,2010-05-16,2010-09-13,200,90,2.941188479770601
133,2010-05-17,2010-09-14,200,90,2.9199379266025556
134,2010-05-18,2010-09-15,200,90,3.099944372163462
135,2010-05-19,2010-09-16,200,90,3.3129853108234006
136,2010-05-20,2010-09-17,200,90,5.101480495674634
137,2010-05-21,2010-09-18,200,90,4.071094737893103
138,2010-05-22,2010-09-19,200,90,4.119402801108336
139,2010-05-23,2010-09-20,200,90,3.5169766321291225
