,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,1.648940644268205
1,2010-01-05,2010-05-05,200,90,1.666783042146649
2,2010-01-06,2010-05-06,200,90,1.6362459692943707
3,2010-01-07,2010-05-07,200,90,1.6575111937774663
4,2010-01-08,2010-05-08,200,90,1.6303038636669234
5,2010-01-09,2010-05-09,200,90,1.5907330342538135
6,2010-01-10,2010-05-10,200,90,1.6316663653640786
7,2010-01-11,2010-05-11,200,90,1.6224856246899968
8,2010-01-12,2010-05-12,200,90,1.6806492008286344
9,2010-01-13,2010-05-13,200,90,1.7259548657667965
10,2010-01-14,2010-05-14,200,90,1.7571371547308041
11,2010-01-15,2010-05-15,200,90,1.8011811275857414
12,2010-01-16,2010-05-16,200,90,1.7915543782722487
13,2010-01-17,2010-05-17,200,90,1.7804682110199366
14,2010-01-18,2010-05-18,200,90,1.7530477350127291
15,2010-01-19,2010-05-19,200,90,1.6825912402677239
16,2010-01-20,2010-05-20,200,90,1.6748021934611257
17,2010-01-21,2010-05-21,200,90,1.6850567785890493
18,2010-01-22,2010-05-22,200,90,1.6711799016694004
19,2010-01-23,2010-05-23,200,90,1.7296722698484188
20,2010-01-24,2010-05-24,200,90,1.6721896803576268
21,2010-01-25,2010-05-25,200,90,1.6981737915452861
22,2010-01-26,2010-05-26,200,90,1.7175795623248644
23,2010-01-27,2010-05-27,200,90,1.696845195116946
24,2010-01-28,2010-05-28,200,90,1.7166013030431577
25,2010-01-29,2010-05-29,200,90,1.6881791451687558
26,2010-01-30,2010-05-30,200,90,1.6285922663161696
27,2010-01-31,2010-05-31,200,90,1.6264194574143687
28,2010-02-01,2010-06-01,200,90,1.6047018173414298
29,2010-02-02,2010-06-02,200,90,1.614269529952214
30,2010-02-03,2010-06-03,200,90,1.6082909335687616
31,2010-02-04,2010-06-04,200,90,1.6299230707458134
32,2010-02-05,2010-06-05,200,90,1.640615350853219
33,2010-02-06,2010-06-06,200,90,1.6144181164110396
34,2010-02-07,2010-06-07,200,90,1.5871492937384981
35,2010-02-08,2010-06-08,200,90,1.531492900460187
36,2010-02-09,2010-06-09,200,90,1.526754891879553
37,2010-02-10,2010-06-10,200,90,1.534760676270661
38,2010-02-11,2010-06-11,200,90,1.541656495310349
39,2010-02-12,2010-06-12,200,90,1.4826174245504675
40,2010-02-13,2010-06-13,200,90,1.4807504749662868
41,2010-02-14,2010-06-14,200,90,1.4981697453563305
42,2010-02-15,2010-06-15,200,90,1.4975054692467025
43,2010-02-16,2010-06-16,200,90,1.500477156979472
44,2010-02-17,2010-06-17,200,90,1.5075521505351257
45,2010-02-18,2010-06-18,200,90,1.4755351764962004
46,2010-02-19,2010-06-19,200,90,1.4839207909500491
47,2010-02-20,2010-06-20,200,90,1.463103611293032
48,2010-02-21,2010-06-21,200,90,1.4455970797135806
49,2010-02-22,2010-06-22,200,90,1.4323836956929568
50,2010-02-23,2010-06-23,200,90,1.4287547910281921
51,2010-02-24,2010-06-24,200,90,1.3678345554719242
52,2010-02-25,2010-06-25,200,90,1.3721342848565201
53,2010-02-26,2010-06-26,200,90,1.3342786141243608
54,2010-02-27,2010-06-27,200,90,1.3556266224655094
55,2010-02-28,2010-06-28,200,90,1.4182703672140542
56,2010-03-01,2010-06-29,200,90,1.3531981328147928
57,2010-03-02,2010-06-30,200,90,1.3618497283539484
58,2010-03-03,2010-07-01,200,90,1.4295409095697056
59,2010-03-04,2010-07-02,200,90,1.3791090762713418
60,2010-03-05,2010-07-03,200,90,1.4458002759761377
61,2010-03-06,2010-07-04,200,90,1.4563973857481771
62,2010-03-07,2010-07-05,200,90,1.3967623942905296
63,2010-03-08,2010-07-06,200,90,1.4222369394487409
64,2010-03-09,2010-07-07,200,90,1.420467802747985
65,2010-03-10,2010-07-08,200,90,1.2878514520048805
66,2010-03-11,2010-07-09,200,90,1.4355541367737188
67,2010-03-12,2010-07-10,200,90,1.4621762187976672
68,2010-03-13,2010-07-11,200,90,1.3888993133490874
69,2010-03-14,2010-07-12,200,90,1.432859983456269
70,2010-03-15,2010-07-13,200,90,1.4194175110894849
71,2010-03-16,2010-07-14,200,90,1.4693825913599232
72,2010-03-17,2010-07-15,200,90,1.2308758553540688
73,2010-03-18,2010-07-16,200,90,1.3998593766696346
74,2010-03-19,2010-07-17,200,90,1.5668204217467803
75,2010-03-20,2010-07-18,200,90,1.296140785738261
76,2010-03-21,2010-07-19,200,90,1.464896718088011
77,2010-03-22,2010-07-20,200,90,1.5070871462102036
78,2010-03-23,2010-07-21,200,90,1.5877393824372088
79,2010-03-24,2010-07-22,200,90,1.453477252054927
80,2010-03-25,2010-07-23,200,90,1.454861104984306
81,2010-03-26,2010-07-24,200,90,1.3346180949506097
82,2010-03-27,2010-07-25,200,90,1.3527094392889347
83,2010-03-28,2010-07-26,200,90,1.4081418042116076
84,2010-03-29,2010-07-27,200,90,1.5335007230712285
85,2010-03-30,2010-07-28,200,90,1.500084660343177
86,2010-03-31,2010-07-29,200,90,1.5064384957235342
87,2010-04-01,2010-07-30,200,90,1.1561617579448749
88,2010-04-02,2010-07-31,200,90,1.3548148831078481
89,2010-04-03,2010-08-01,200,90,1.436771332909827
90,2010-04-04,2010-08-02,200,90,1.1281985995398394
91,2010-04-05,2010-08-03,200,90,1.2579768604976211
92,2010-04-06,2010-08-04,200,90,1.3776418332642606
93,2010-04-07,2010-08-05,200,90,1.1259934360125872
94,2010-04-08,2010-08-06,200,90,1.2211317289425618
95,2010-04-09,2010-08-07,200,90,1.2019087839565417
96,2010-04-10,2010-08-08,200,90,1.1561478551400544
97,2010-04-11,2010-08-09,200,90,1.144850965424383
98,2010-04-12,2010-08-10,200,90,1.129183627336423
99,2010-04-13,2010-08-11,200,90,1.0134132260967719
100,2010-04-14,2010-08-12,200,90,1.002992049902472
101,2010-04-15,2010-08-13,200,90,1.0024988937137198
102,2010-04-16,2010-08-14,200,90,1.1292631803241113
103,2010-04-17,2010-08-15,200,90,1.1483222878235666
104,2010-04-18,2010-08-16,200,90,0.998777568909322
105,2010-04-19,2010-08-17,200,90,1.0623009225272135
106,2010-04-20,2010-08-18,200,90,0.9592074968061955
107,2010-04-21,2010-08-19,200,90,1.1065801684675147
108,2010-04-22,2010-08-20,200,90,0.9330627102530018
109,2010-04-23,2010-08-21,200,90,1.0436679877894273
110,2010-04-24,2010-08-22,200,90,1.0880635745521436
111,2010-04-25,2010-08-23,200,90,0.8761836623907413
112,2010-04-26,2010-08-24,200,90,0.8349015670400565
113,2010-04-27,2010-08-25,200,90,0.8344923174270308
114,2010-04-28,2010-08-26,200,90,1.0434474765472563
115,2010-04-29,2010-08-27,200,90,1.213643316088798
116,2010-04-30,2010-08-28,200,90,1.8098701320208468
117,2010-05-01,2010-08-29,200,90,1.0066680036399733
118,2010-05-02,2010-08-30,200,90,1.1646071905963287
119,2010-05-03,2010-08-31,200,90,2.2471817732676245
120,2010-05-04,2010-09-01,200,90,1.1492184335160338
121,2010-05-05,2010-09-02,200,90,1.274746244190929
122,2010-05-06,2010-09-03,200,90,1.1209026470617376
123,2010-05-07,2010-09-04,200,90,4.439714460814355
124,2010-05-08,2010-09-05,200,90,2.086452749969729
125,2010-05-09,2010-09-06,200,90,3.0372357838050674
126,2010-05-10,2010-09-07,200,90,3.80251510057491
127,2010-05-11,2010-09-08,200,90,3.8834688565216178
128,2010-05-12,2010-09-09,200,90,2.603978460993742
129,2010-05-13,2010-09-10,200,90,1.5954930804694354
130,2010-05-14,2010-09-11,200,90,3.2097504380974686
131,2010-05-15,2010-09-12,200,90,2.5564842238504517
132,2010-05-16,2010-09-13,200,90,3.344246577269168
133,2010-05-17,2010-09-14,200,90,1.8454813472382077
134,2010-05-18,2010-09-15,200,90,1.7374843037931744
135,2010-05-19,2010-09-16,200,90,4.077015117049877
136,2010-05-20,2010-09-17,200,90,2.2966980739460365
137,2010-05-21,2010-09-18,200,90,4.463796270245742
138,2010-05-22,2010-09-19,200,90,2.7386987115678725
139,2010-05-23,2010-09-20,200,90,2.8793064610256107
140,2010-05-24,2010-09-21,200,90,2.4606299734925363
141,2010-05-25,2010-09-22,200,90,2.081859688637577
142,2010-05-26,2010-09-23,200,90,1.2397112833819266
143,2010-05-27,2010-09-24,200,90,1.2936499991464427
144,2010-05-28,2010-09-25,200,90,1.1980074900800952
145,2010-05-29,2010-09-26,200,90,1.179440507641321
146,2010-05-30,2010-09-27,200,90,1.141070780563136
147,2010-05-31,2010-09-28,200,90,1.1584302832260187
148,2010-06-01,2010-09-29,200,90,1.1707002023494206
149,2010-06-02,2010-09-30,200,90,1.1611701793217861
