,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,1.400285827757463
1,2010-01-05,2010-05-05,200,90,1.4395377148468131
2,2010-01-06,2010-05-06,200,90,1.4080473785756118
3,2010-01-07,2010-05-07,200,90,1.3689327595572782
4,2010-01-08,2010-05-08,200,90,1.399345568977469
5,2010-01-09,2010-05-09,200,90,1.3645328942833592
6,2010-01-10,2010-05-10,200,90,1.3856578019898935
7,2010-01-11,2010-05-11,200,90,1.3828159223360497
8,2010-01-12,2010-05-12,200,90,1.4211360317375679
9,2010-01-13,2010-05-13,200,90,1.4725692436357292
10,2010-01-14,2010-05-14,200,90,1.489687238818987
11,2010-01-15,2010-05-15,200,90,1.4800961673098094
12,2010-01-16,2010-05-16,200,90,1.4579205613485422
13,2010-01-17,2010-05-17,200,90,1.4807737985690987
14,2010-01-18,2010-05-18,200,90,1.440516542074401
15,2010-01-19,2010-05-19,200,90,1.4235820390871867
16,2010-01-20,2010-05-20,200,90,1.368061944834761
17,2010-01-21,2010-05-21,200,90,1.4082749451941081
18,2010-01-22,2010-05-22,200,90,1.3571701534870837
19,2010-01-23,2010-05-23,200,90,1.392598482893902
20,2010-01-24,2010-05-24,200,90,1.4269215655103713
21,2010-01-25,2010-05-25,200,90,1.421152468172808
22,2010-01-26,2010-05-26,200,90,1.434528789321949
23,2010-01-27,2010-05-27,200,90,1.3744203836083455
24,2010-01-28,2010-05-28,200,90,1.416458025206166
25,2010-01-29,2010-05-29,200,90,1.3492249296408452
26,2010-01-30,2010-05-30,200,90,1.2988978756651488
27,2010-01-31,2010-05-31,200,90,1.292632744131723
28,2010-02-01,2010-06-01,200,90,1.3030198904415482
29,2010-02-02,2010-06-02,200,90,1.3273889403774168
30,2010-02-03,2010-06-03,200,90,1.3021569978442917
31,2010-02-04,2010-06-04,200,90,1.3211620971199098
32,2010-02-05,2010-06-05,200,90,1.3128127198883421
33,2010-02-06,2010-06-06,200,90,1.2854936813648186
34,2010-02-07,2010-06-07,200,90,1.2666908057844943
35,2010-02-08,2010-06-08,200,90,1.274007359521679
36,2010-02-09,2010-06-09,200,90,1.185000965914374
37,2010-02-10,2010-06-10,200,90,1.2731389292937996
38,2010-02-11,2010-06-11,200,90,1.1494082381965174
39,2010-02-12,2010-06-12,200,90,1.215716603383822
40,2010-02-13,2010-06-13,200,90,1.1426910923680562
41,2010-02-14,2010-06-14,200,90,1.1832093965530857
42,2010-02-15,2010-06-15,200,90,1.2490668334541661
43,2010-02-16,2010-06-16,200,90,1.1970073438837165
44,2010-02-17,2010-06-17,200,90,1.218659757104767
45,2010-02-18,2010-06-18,200,90,1.2392550240947104
46,2010-02-19,2010-06-19,200,90,1.1438739552562032
47,2010-02-20,2010-06-20,200,90,1.1826675322773956
48,2010-02-21,2010-06-21,200,90,1.1931164739065645
49,2010-02-22,2010-06-22,200,90,1.2549615106997456
50,2010-02-23,2010-06-23,200,90,1.1832853961268812
51,2010-02-24,2010-06-24,200,90,1.040384763481237
52,2010-02-25,2010-06-25,200,90,1.0365055364039448
53,2010-02-26,2010-06-26,200,90,1.0125127075634028
54,2010-02-27,2010-06-27,200,90,1.0061415171543258
55,2010-02-28,2010-06-28,200,90,1.2883134853258054
56,2010-03-01,2010-06-29,200,90,1.1345341241935027
57,2010-03-02,2010-06-30,200,90,1.053626478873367
58,2010-03-03,2010-07-01,200,90,0.8962851772725484
59,2010-03-04,2010-07-02,200,90,0.9513440645586755
60,2010-03-05,2010-07-03,200,90,1.1339542130973532
61,2010-03-06,2010-07-04,200,90,1.237418885376529
62,2010-03-07,2010-07-05,200,90,0.9480833576482698
63,2010-03-08,2010-07-06,200,90,0.9939787415437131
64,2010-03-09,2010-07-07,200,90,0.9063484644594136
65,2010-03-10,2010-07-08,200,90,0.885183573326126
66,2010-03-11,2010-07-09,200,90,0.9418747366535105
67,2010-03-12,2010-07-10,200,90,1.168710529432343
68,2010-03-13,2010-07-11,200,90,1.143556051143881
69,2010-03-14,2010-07-12,200,90,0.8668295419143229
70,2010-03-15,2010-07-13,200,90,1.1686476679629785
71,2010-03-16,2010-07-14,200,90,1.2447753361102085
72,2010-03-17,2010-07-15,200,90,1.003537361446027
73,2010-03-18,2010-07-16,200,90,1.1752825910444005
74,2010-03-19,2010-07-17,200,90,1.005405407044009
75,2010-03-20,2010-07-18,200,90,0.7944415843656502
76,2010-03-21,2010-07-19,200,90,1.0839799415532756
77,2010-03-22,2010-07-20,200,90,1.3765205415534234
78,2010-03-23,2010-07-21,200,90,1.8501847548074106
79,2010-03-24,2010-07-22,200,90,0.8509052050666597
80,2010-03-25,2010-07-23,200,90,1.032538838277432
81,2010-03-26,2010-07-24,200,90,1.3210751596918684
82,2010-03-27,2010-07-25,200,90,0.8477159070722077
83,2010-03-28,2010-07-26,200,90,1.2774858816129944
84,2010-03-29,2010-07-27,200,90,1.4258518216504916
85,2010-03-30,2010-07-28,200,90,1.3813829243947546
86,2010-03-31,2010-07-29,200,90,1.277016614549784
87,2010-04-01,2010-07-30,200,90,1.4887545507031175
88,2010-04-02,2010-07-31,200,90,1.1875442813532375
89,2010-04-03,2010-08-01,200,90,1.061388294718835
90,2010-04-04,2010-08-02,200,90,1.1107169550793068
91,2010-04-05,2010-08-03,200,90,1.0518844593422683
92,2010-04-06,2010-08-04,200,90,0.7906728777728362
93,2010-04-07,2010-08-05,200,90,1.2041700353985447
94,2010-04-08,2010-08-06,200,90,0.9368615117434982
95,2010-04-09,2010-08-07,200,90,0.9595469050823746
96,2010-04-10,2010-08-08,200,90,0.8290047297006821
97,2010-04-11,2010-08-09,200,90,0.797631648474701
98,2010-04-12,2010-08-10,200,90,0.8422223308170703
99,2010-04-13,2010-08-11,200,90,0.776642784975527
100,2010-04-14,2010-08-12,200,90,0.8533262183613362
101,2010-04-15,2010-08-13,200,90,1.0958337534375278
102,2010-04-16,2010-08-14,200,90,0.7798216392415992
103,2010-04-17,2010-08-15,200,90,0.8184140729231316
104,2010-04-18,2010-08-16,200,90,0.8115951043630723
105,2010-04-19,2010-08-17,200,90,1.0478957844194505
106,2010-04-20,2010-08-18,200,90,1.1116975662522446
107,2010-04-21,2010-08-19,200,90,0.7365246436369685
108,2010-04-22,2010-08-20,200,90,0.7056196503412048
109,2010-04-23,2010-08-21,200,90,1.0741094993218956
110,2010-04-24,2010-08-22,200,90,0.6566370337351475
111,2010-04-25,2010-08-23,200,90,0.6246622963788734
112,2010-04-26,2010-08-24,200,90,0.6164408907846747
113,2010-04-27,2010-08-25,200,90,1.229314485882229
114,2010-04-28,2010-08-26,200,90,3.020365173539383
115,2010-04-29,2010-08-27,200,90,7.539342682942861
116,2010-04-30,2010-08-28,200,90,8.05007012606937
117,2010-05-01,2010-08-29,200,90,3.3967522973519415
118,2010-05-02,2010-08-30,200,90,3.579936533445186
119,2010-05-03,2010-08-31,200,90,2.111192506122634
120,2010-05-04,2010-09-01,200,90,2.036775435657631
121,2010-05-05,2010-09-02,200,90,5.351665840185693
122,2010-05-06,2010-09-03,200,90,4.164894994639289
123,2010-05-07,2010-09-04,200,90,4.808133774326081
124,2010-05-08,2010-09-05,200,90,5.373350128075206
125,2010-05-09,2010-09-06,200,90,4.635396650113374
126,2010-05-10,2010-09-07,200,90,1.8489703443091774
127,2010-05-11,2010-09-08,200,90,2.022513851653607
128,2010-05-12,2010-09-09,200,90,2.1076576098638147
129,2010-05-13,2010-09-10,200,90,2.421397774539895
130,2010-05-14,2010-09-11,200,90,1.9554593343489939
131,2010-05-15,2010-09-12,200,90,2.2724191086329406
132,2010-05-16,2010-09-13,200,90,2.2855142395749652
133,2010-05-17,2010-09-14,200,90,1.2726441438862006
134,2010-05-18,2010-09-15,200,90,3.6006357753511344
135,2010-05-19,2010-09-16,200,90,5.337832929289257
136,2010-05-20,2010-09-17,200,90,2.680597214227332
137,2010-05-21,2010-09-18,200,90,3.2555800690223564
138,2010-05-22,2010-09-19,200,90,3.352163470050445
139,2010-05-23,2010-09-20,200,90,4.699508638608676
140,2010-05-24,2010-09-21,200,90,2.114420769780547
141,2010-05-25,2010-09-22,200,90,1.8040561944210576
142,2010-05-26,2010-09-23,200,90,2.0267180274397396
143,2010-05-27,2010-09-24,200,90,1.0023673308191734
144,2010-05-28,2010-09-25,200,90,0.981743051858381
145,2010-05-29,2010-09-26,200,90,1.3211340139675989
146,2010-05-30,2010-09-27,200,90,0.9833406742226504
147,2010-05-31,2010-09-28,200,90,1.1427459543894043
148,2010-06-01,2010-09-29,200,90,1.1349223368940053
149,2010-06-02,2010-09-30,200,90,1.491137031100004
150,2010-06-03,2010-10-01,200,90,1.4231344776936397
151,2010-06-04,2010-10-02,200,90,1.30313155936837
