,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,2.9247170243869802
1,2010-01-05,2010-05-05,200,90,2.9289312607427496
2,2010-01-06,2010-05-06,200,90,2.979605570845217
3,2010-01-07,2010-05-07,200,90,2.9023882829325784
4,2010-01-08,2010-05-08,200,90,2.874476855663011
5,2010-01-09,2010-05-09,200,90,2.9022382390911656
6,2010-01-10,2010-05-10,200,90,2.9683158282757525
7,2010-01-11,2010-05-11,200,90,2.868068322480217
8,2010-01-12,2010-05-12,200,90,3.0485681033410312
9,2010-01-13,2010-05-13,200,90,3.060964101775519
10,2010-01-14,2010-05-14,200,90,3.0895598970861675
11,2010-01-15,2010-05-15,200,90,3.1153587042866824
12,2010-01-16,2010-05-16,200,90,3.335998764094039
13,2010-01-17,2010-05-17,200,90,3.1202684667136436
14,2010-01-18,2010-05-18,200,90,3.2174787009055112
15,2010-01-19,2010-05-19,200,90,3.208988328236594
16,2010-01-20,2010-05-20,200,90,3.0602723669620837
17,2010-01-21,2010-05-21,200,90,3.0495270398494276
18,2010-01-22,2010-05-22,200,90,3.1284619548459798
19,2010-01-23,2010-05-23,200,90,2.973898619857597
20,2010-01-24,2010-05-24,200,90,3.1221798094343254
21,2010-01-25,2010-05-25,200,90,3.06353776799691
22,2010-01-26,2010-05-26,200,90,3.192534952435555
23,2010-01-27,2010-05-27,200,90,3.3513321768619746
24,2010-01-28,2010-05-28,200,90,3.237955775523613
25,2010-01-29,2010-05-29,200,90,3.250212898801761
26,2010-01-30,2010-05-30,200,90,3.309438364766207
27,2010-01-31,2010-05-31,200,90,3.367968435398676
28,2010-02-01,2010-06-01,200,90,3.3701649969787297
29,2010-02-02,2010-06-02,200,90,3.3127008668334907
30,2010-02-03,2010-06-03,200,90,3.495744719857929
31,2010-02-04,2010-06-04,200,90,3.3305302604079827
32,2010-02-05,2010-06-05,200,90,3.407040124394043
33,2010-02-06,2010-06-06,200,90,3.4058475831335486
34,2010-02-07,2010-06-07,200,90,3.494684210527652
35,2010-02-08,2010-06-08,200,90,3.209653643759422
36,2010-02-09,2010-06-09,200,90,3.3344716001180115
37,2010-02-10,2010-06-10,200,90,3.314823064393564
38,2010-02-11,2010-06-11,200,90,3.2809481483590495
39,2010-02-12,2010-06-12,200,90,3.175576376669914
40,2010-02-13,2010-06-13,200,90,3.0793305850672645
41,2010-02-14,2010-06-14,200,90,3.3058108204021015
42,2010-02-15,2010-06-15,200,90,3.0975598817512977
43,2010-02-16,2010-06-16,200,90,3.361437419278828
44,2010-02-17,2010-06-17,200,90,3.4018906888791083
