,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,1.4887268723317442
1,2010-01-05,2010-05-05,200,90,1.4669295829010667
2,2010-01-06,2010-05-06,200,90,1.5624772903634587
3,2010-01-07,2010-05-07,200,90,1.4687057712197606
4,2010-01-08,2010-05-08,200,90,1.4537556858731606
5,2010-01-09,2010-05-09,200,90,1.540566922893797
6,2010-01-10,2010-05-10,200,90,1.485745627402836
7,2010-01-11,2010-05-11,200,90,1.511070950623883
8,2010-01-12,2010-05-12,200,90,1.5795456890771138
9,2010-01-13,2010-05-13,200,90,1.6465208094879062
10,2010-01-14,2010-05-14,200,90,1.6519319196712785
11,2010-01-15,2010-05-15,200,90,1.7997444820602226
12,2010-01-16,2010-05-16,200,90,1.7441643653138414
13,2010-01-17,2010-05-17,200,90,1.6666724712681453
14,2010-01-18,2010-05-18,200,90,1.6510779108899865
15,2010-01-19,2010-05-19,200,90,1.5873309212150897
16,2010-01-20,2010-05-20,200,90,1.590635864383541
17,2010-01-21,2010-05-21,200,90,1.5158848564071052
18,2010-01-22,2010-05-22,200,90,1.5407021258038005
19,2010-01-23,2010-05-23,200,90,1.55130110353337
20,2010-01-24,2010-05-24,200,90,1.5745281487709184
21,2010-01-25,2010-05-25,200,90,1.6137481583992208
22,2010-01-26,2010-05-26,200,90,1.6250860151742113
23,2010-01-27,2010-05-27,200,90,1.6719271679953245
24,2010-01-28,2010-05-28,200,90,1.6329266856056888
25,2010-01-29,2010-05-29,200,90,1.568408964728086
26,2010-01-30,2010-05-30,200,90,1.5394601432353745
27,2010-01-31,2010-05-31,200,90,1.5416561711332015
28,2010-02-01,2010-06-01,200,90,1.5666131727506205
29,2010-02-02,2010-06-02,200,90,1.531741854869143
30,2010-02-03,2010-06-03,200,90,1.612298288978876
31,2010-02-04,2010-06-04,200,90,1.4401151592244428
32,2010-02-05,2010-06-05,200,90,1.5741136948872225
33,2010-02-06,2010-06-06,200,90,1.5230310601922254
34,2010-02-07,2010-06-07,200,90,1.5995043723228024
35,2010-02-08,2010-06-08,200,90,1.4963942126066967
36,2010-02-09,2010-06-09,200,90,1.5115363837089613
37,2010-02-10,2010-06-10,200,90,1.4435544271587677
38,2010-02-11,2010-06-11,200,90,1.3238461466196303
39,2010-02-12,2010-06-12,200,90,1.380017221655687
40,2010-02-13,2010-06-13,200,90,1.428936870057023
41,2010-02-14,2010-06-14,200,90,1.430047400934689
42,2010-02-15,2010-06-15,200,90,1.4163237594426605
43,2010-02-16,2010-06-16,200,90,1.4133991209297316
44,2010-02-17,2010-06-17,200,90,1.3709982513637955
45,2010-02-18,2010-06-18,200,90,1.4283487931898005
46,2010-02-19,2010-06-19,200,90,1.4158938891944304
47,2010-02-20,2010-06-20,200,90,1.379073783376349
48,2010-02-21,2010-06-21,200,90,1.339174464225862
49,2010-02-22,2010-06-22,200,90,1.4090401367962073
50,2010-02-23,2010-06-23,200,90,1.4440533927422166
51,2010-02-24,2010-06-24,200,90,1.3590892847561853
52,2010-02-25,2010-06-25,200,90,1.333004730246836
53,2010-02-26,2010-06-26,200,90,1.1886597544741044
54,2010-02-27,2010-06-27,200,90,1.3433640380869685
55,2010-02-28,2010-06-28,200,90,1.4450917014082427
56,2010-03-01,2010-06-29,200,90,1.2320789720352308
57,2010-03-02,2010-06-30,200,90,1.2461723687119854
58,2010-03-03,2010-07-01,200,90,1.3225453943914498
59,2010-03-04,2010-07-02,200,90,1.2697106217931633
60,2010-03-05,2010-07-03,200,90,1.3742119086167541
61,2010-03-06,2010-07-04,200,90,1.5293214950269187
62,2010-03-07,2010-07-05,200,90,1.390258143259193
63,2010-03-08,2010-07-06,200,90,1.513307645409722
64,2010-03-09,2010-07-07,200,90,1.213167503272177
65,2010-03-10,2010-07-08,200,90,1.1035243277358315
66,2010-03-11,2010-07-09,200,90,1.4856268175913265
67,2010-03-12,2010-07-10,200,90,1.4576508687683085
68,2010-03-13,2010-07-11,200,90,1.4202705335736137
69,2010-03-14,2010-07-12,200,90,1.2325325208255606
70,2010-03-15,2010-07-13,200,90,1.4146135205218253
71,2010-03-16,2010-07-14,200,90,1.4557905297506746
72,2010-03-17,2010-07-15,200,90,1.2376380881807008
73,2010-03-18,2010-07-16,200,90,1.7120625106827934
74,2010-03-19,2010-07-17,200,90,1.2310268039865049
75,2010-03-20,2010-07-18,200,90,1.063657856202287
76,2010-03-21,2010-07-19,200,90,1.0079972862767423
77,2010-03-22,2010-07-20,200,90,1.2181911404244612
78,2010-03-23,2010-07-21,200,90,1.1591447233215602
79,2010-03-24,2010-07-22,200,90,1.994828561356467
