,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,1.5583736435731241
1,2010-01-05,2010-05-05,200,90,1.5521479353482313
2,2010-01-06,2010-05-06,200,90,1.4929279799085846
3,2010-01-07,2010-05-07,200,90,1.4924794290314511
4,2010-01-08,2010-05-08,200,90,1.455408896599222
5,2010-01-09,2010-05-09,200,90,1.497526219039614
6,2010-01-10,2010-05-10,200,90,1.4157650950525424
7,2010-01-11,2010-05-11,200,90,1.46919741199637
8,2010-01-12,2010-05-12,200,90,1.4898311218324873
9,2010-01-13,2010-05-13,200,90,1.513812851009446
10,2010-01-14,2010-05-14,200,90,1.5118951180357114
11,2010-01-15,2010-05-15,200,90,1.5287834538796605
12,2010-01-16,2010-05-16,200,90,1.5511555465698508
13,2010-01-17,2010-05-17,200,90,1.466644445411669
14,2010-01-18,2010-05-18,200,90,1.4491718577485444
15,2010-01-19,2010-05-19,200,90,1.4362100900297443
16,2010-01-20,2010-05-20,200,90,1.3603915397174982
17,2010-01-21,2010-05-21,200,90,1.4192267974349095
18,2010-01-22,2010-05-22,200,90,1.4239195966922975
19,2010-01-23,2010-05-23,200,90,1.4059184724548084
20,2010-01-24,2010-05-24,200,90,1.4394433223746714
21,2010-01-25,2010-05-25,200,90,1.3984923706432602
22,2010-01-26,2010-05-26,200,90,1.4402486387814721
23,2010-01-27,2010-05-27,200,90,1.427260120594176
24,2010-01-28,2010-05-28,200,90,1.3929643776947378
25,2010-01-29,2010-05-29,200,90,1.4227473416058565
26,2010-01-30,2010-05-30,200,90,1.3874608813063851
27,2010-01-31,2010-05-31,200,90,1.3560701197407454
28,2010-02-01,2010-06-01,200,90,1.3489047055301233
29,2010-02-02,2010-06-02,200,90,1.3289167946851281
30,2010-02-03,2010-06-03,200,90,1.3690593037296677
31,2010-02-04,2010-06-04,200,90,1.3737185025824865
32,2010-02-05,2010-06-05,200,90,1.3804576497655785
33,2010-02-06,2010-06-06,200,90,1.3736853712984627
34,2010-02-07,2010-06-07,200,90,1.3136481415669363
35,2010-02-08,2010-06-08,200,90,1.3068544058448872
36,2010-02-09,2010-06-09,200,90,1.3107684432605329
37,2010-02-10,2010-06-10,200,90,1.258128593415792
38,2010-02-11,2010-06-11,200,90,1.2694028489985993
39,2010-02-12,2010-06-12,200,90,1.2541858651097957
40,2010-02-13,2010-06-13,200,90,1.2625661323395745
41,2010-02-14,2010-06-14,200,90,1.2630869857137714
42,2010-02-15,2010-06-15,200,90,1.2640149310481
43,2010-02-16,2010-06-16,200,90,1.2801306961537917
44,2010-02-17,2010-06-17,200,90,1.214785359198503
45,2010-02-18,2010-06-18,200,90,1.2394966478201455
46,2010-02-19,2010-06-19,200,90,1.209335693212086
47,2010-02-20,2010-06-20,200,90,1.159420662682111
48,2010-02-21,2010-06-21,200,90,1.192385956330807
49,2010-02-22,2010-06-22,200,90,1.1604372909222
50,2010-02-23,2010-06-23,200,90,1.1232459505029697
51,2010-02-24,2010-06-24,200,90,1.087354819473404
52,2010-02-25,2010-06-25,200,90,1.1182935927660154
53,2010-02-26,2010-06-26,200,90,1.0525383256211824
54,2010-02-27,2010-06-27,200,90,0.9976970658056421
