,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,3.4838388873749895
1,2010-01-05,2010-05-05,200,90,3.4449713537394095
2,2010-01-06,2010-05-06,200,90,3.4606083637339564
3,2010-01-07,2010-05-07,200,90,3.4341798149187293
4,2010-01-08,2010-05-08,200,90,3.3817424699976475
5,2010-01-09,2010-05-09,200,90,3.388810099421445
6,2010-01-10,2010-05-10,200,90,3.364058799852743
7,2010-01-11,2010-05-11,200,90,3.4378909302043024
8,2010-01-12,2010-05-12,200,90,3.497366005473734
9,2010-01-13,2010-05-13,200,90,3.517896928917215
10,2010-01-14,2010-05-14,200,90,3.578685619445934
11,2010-01-15,2010-05-15,200,90,3.5690124647148513
12,2010-01-16,2010-05-16,200,90,3.637980859159008
13,2010-01-17,2010-05-17,200,90,3.5063669537345765
14,2010-01-18,2010-05-18,200,90,3.5526051828662166
15,2010-01-19,2010-05-19,200,90,3.44003557194554
16,2010-01-20,2010-05-20,200,90,3.4363742754790962
17,2010-01-21,2010-05-21,200,90,3.4115775415339114
18,2010-01-22,2010-05-22,200,90,3.446146908441972
19,2010-01-23,2010-05-23,200,90,3.413896366213445
20,2010-01-24,2010-05-24,200,90,3.3922022595892845
21,2010-01-25,2010-05-25,200,90,3.420808712762835
22,2010-01-26,2010-05-26,200,90,3.427177278387337
23,2010-01-27,2010-05-27,200,90,3.517414649420578
24,2010-01-28,2010-05-28,200,90,3.484818934206598
25,2010-01-29,2010-05-29,200,90,3.450731013932329
26,2010-01-30,2010-05-30,200,90,3.4979660603488925
27,2010-01-31,2010-05-31,200,90,3.471852212566323
28,2010-02-01,2010-06-01,200,90,3.5092230504921416
29,2010-02-02,2010-06-02,200,90,3.554440425618447
30,2010-02-03,2010-06-03,200,90,3.5331033986580143
31,2010-02-04,2010-06-04,200,90,3.597827110421289
32,2010-02-05,2010-06-05,200,90,3.6177334098951897
33,2010-02-06,2010-06-06,200,90,3.579653790817785
34,2010-02-07,2010-06-07,200,90,3.5412673924325735
35,2010-02-08,2010-06-08,200,90,3.436436389353783
36,2010-02-09,2010-06-09,200,90,3.4300233184900955
37,2010-02-10,2010-06-10,200,90,3.359782738224165
38,2010-02-11,2010-06-11,200,90,3.4548353505335947
39,2010-02-12,2010-06-12,200,90,3.3466139386690075
40,2010-02-13,2010-06-13,200,90,3.349745711577975
41,2010-02-14,2010-06-14,200,90,3.3554455870171953
42,2010-02-15,2010-06-15,200,90,3.3885290446374907
43,2010-02-16,2010-06-16,200,90,3.432312476593313
44,2010-02-17,2010-06-17,200,90,3.4291981535905265
45,2010-02-18,2010-06-18,200,90,3.399465496102251
46,2010-02-19,2010-06-19,200,90,3.3699615378921446
47,2010-02-20,2010-06-20,200,90,3.328619211355311
48,2010-02-21,2010-06-21,200,90,3.3569169438621964
49,2010-02-22,2010-06-22,200,90,3.3243438162715773
50,2010-02-23,2010-06-23,200,90,3.3494118560377357
51,2010-02-24,2010-06-24,200,90,3.3696136943516852
52,2010-02-25,2010-06-25,200,90,3.471202049018362
53,2010-02-26,2010-06-26,200,90,3.46349097716745
54,2010-02-27,2010-06-27,200,90,3.426718412505149
55,2010-02-28,2010-06-28,200,90,3.456448274253108
56,2010-03-01,2010-06-29,200,90,3.458773668977732
57,2010-03-02,2010-06-30,200,90,3.467787829934419
58,2010-03-03,2010-07-01,200,90,3.5118667024356607
59,2010-03-04,2010-07-02,200,90,3.534433830317834
60,2010-03-05,2010-07-03,200,90,3.5411871830325468
61,2010-03-06,2010-07-04,200,90,3.5802574801495295
62,2010-03-07,2010-07-05,200,90,3.575769674926776
63,2010-03-08,2010-07-06,200,90,3.5571437638849597
64,2010-03-09,2010-07-07,200,90,3.508186728049821
65,2010-03-10,2010-07-08,200,90,3.5246273731089466
66,2010-03-11,2010-07-09,200,90,3.528599901401346
67,2010-03-12,2010-07-10,200,90,3.5257258219250085
