,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,1.7693275397775023
1,2010-01-05,2010-05-05,200,90,1.710228198707308
2,2010-01-06,2010-05-06,200,90,1.6682888167092977
3,2010-01-07,2010-05-07,200,90,1.7354267748034244
4,2010-01-08,2010-05-08,200,90,1.6733354414963297
5,2010-01-09,2010-05-09,200,90,1.678498150964661
6,2010-01-10,2010-05-10,200,90,1.676115118515195
7,2010-01-11,2010-05-11,200,90,1.6934704489120238
8,2010-01-12,2010-05-12,200,90,1.6829060854334243
9,2010-01-13,2010-05-13,200,90,1.767187183063912
10,2010-01-14,2010-05-14,200,90,1.775914521478323
11,2010-01-15,2010-05-15,200,90,1.810278723711808
12,2010-01-16,2010-05-16,200,90,1.8271860445584973
13,2010-01-17,2010-05-17,200,90,1.7726735416542747
14,2010-01-18,2010-05-18,200,90,1.7049911384815242
15,2010-01-19,2010-05-19,200,90,1.703988660841452
16,2010-01-20,2010-05-20,200,90,1.6776474934923988
17,2010-01-21,2010-05-21,200,90,1.6670628402483323
18,2010-01-22,2010-05-22,200,90,1.620567064774624
19,2010-01-23,2010-05-23,200,90,1.6991406946678593
20,2010-01-24,2010-05-24,200,90,1.7079555422803496
21,2010-01-25,2010-05-25,200,90,1.7106915839012269
22,2010-01-26,2010-05-26,200,90,1.6492126395043465
23,2010-01-27,2010-05-27,200,90,1.7270392970926909
24,2010-01-28,2010-05-28,200,90,1.7093814934327087
25,2010-01-29,2010-05-29,200,90,1.6703972148361208
26,2010-01-30,2010-05-30,200,90,1.683902420232318
27,2010-01-31,2010-05-31,200,90,1.675584034829201
28,2010-02-01,2010-06-01,200,90,1.6437719008600757
29,2010-02-02,2010-06-02,200,90,1.642048718604877
30,2010-02-03,2010-06-03,200,90,1.63969710229667
31,2010-02-04,2010-06-04,200,90,1.605042647387581
32,2010-02-05,2010-06-05,200,90,1.6315462165202592
33,2010-02-06,2010-06-06,200,90,1.6254795915013713
34,2010-02-07,2010-06-07,200,90,1.5797396665692733
35,2010-02-08,2010-06-08,200,90,1.5636631650246784
36,2010-02-09,2010-06-09,200,90,1.4872917793686975
37,2010-02-10,2010-06-10,200,90,1.4940238887689563
38,2010-02-11,2010-06-11,200,90,1.4689821800613942
39,2010-02-12,2010-06-12,200,90,1.4768166013623967
40,2010-02-13,2010-06-13,200,90,1.4436716379531023
41,2010-02-14,2010-06-14,200,90,1.466587339905507
42,2010-02-15,2010-06-15,200,90,1.4977037317679889
43,2010-02-16,2010-06-16,200,90,1.4691662934144398
44,2010-02-17,2010-06-17,200,90,1.4398922156392662
45,2010-02-18,2010-06-18,200,90,1.4840176028890457
46,2010-02-19,2010-06-19,200,90,1.4106720335442373
47,2010-02-20,2010-06-20,200,90,1.4503466468175878
48,2010-02-21,2010-06-21,200,90,1.3346516384400133
49,2010-02-22,2010-06-22,200,90,1.339369582493669
50,2010-02-23,2010-06-23,200,90,1.3691868254837236
51,2010-02-24,2010-06-24,200,90,1.2858061966230256
52,2010-02-25,2010-06-25,200,90,1.2761464692893871
53,2010-02-26,2010-06-26,200,90,1.2666634448746283
54,2010-02-27,2010-06-27,200,90,1.2666212217274144
55,2010-02-28,2010-06-28,200,90,1.3063066519233806
56,2010-03-01,2010-06-29,200,90,1.2971572728093546
57,2010-03-02,2010-06-30,200,90,1.2614738695547567
58,2010-03-03,2010-07-01,200,90,1.1484671169341614
59,2010-03-04,2010-07-02,200,90,1.232093909328514
60,2010-03-05,2010-07-03,200,90,1.2250016661220877
61,2010-03-06,2010-07-04,200,90,1.1823615672089514
62,2010-03-07,2010-07-05,200,90,1.2007173104784181
63,2010-03-08,2010-07-06,200,90,1.261427754104369
64,2010-03-09,2010-07-07,200,90,1.2511670491796476
65,2010-03-10,2010-07-08,200,90,1.1347599458120639
66,2010-03-11,2010-07-09,200,90,1.170591913816281
67,2010-03-12,2010-07-10,200,90,1.2088162499638495
68,2010-03-13,2010-07-11,200,90,1.1549915956459211
69,2010-03-14,2010-07-12,200,90,1.1927018950253125
70,2010-03-15,2010-07-13,200,90,1.1066242393393362
71,2010-03-16,2010-07-14,200,90,1.1143278988679184
72,2010-03-17,2010-07-15,200,90,1.0744958268294718
73,2010-03-18,2010-07-16,200,90,1.158271712933302
74,2010-03-19,2010-07-17,200,90,1.0717096858993311
75,2010-03-20,2010-07-18,200,90,1.0351633561031024
76,2010-03-21,2010-07-19,200,90,1.0291368896304818
77,2010-03-22,2010-07-20,200,90,1.0606557602630036
78,2010-03-23,2010-07-21,200,90,0.9853327707524653
79,2010-03-24,2010-07-22,200,90,1.0094731875950949
80,2010-03-25,2010-07-23,200,90,0.965410060745483
81,2010-03-26,2010-07-24,200,90,0.9853932703913119
82,2010-03-27,2010-07-25,200,90,1.0018750118473374
83,2010-03-28,2010-07-26,200,90,0.9951337275638971
84,2010-03-29,2010-07-27,200,90,1.0266745160018442
85,2010-03-30,2010-07-28,200,90,1.0031368509794123
86,2010-03-31,2010-07-29,200,90,1.0569077510178448
87,2010-04-01,2010-07-30,200,90,1.047712571743362
88,2010-04-02,2010-07-31,200,90,1.0955193123181424
89,2010-04-03,2010-08-01,200,90,1.0792466335764204
90,2010-04-04,2010-08-02,200,90,1.0806392488086405
91,2010-04-05,2010-08-03,200,90,1.064669073554294
92,2010-04-06,2010-08-04,200,90,1.0946582869378767
93,2010-04-07,2010-08-05,200,90,1.1230796149583968
94,2010-04-08,2010-08-06,200,90,1.1115973449634131
95,2010-04-09,2010-08-07,200,90,1.1172346184768451
96,2010-04-10,2010-08-08,200,90,1.1364074424995074
97,2010-04-11,2010-08-09,200,90,1.092054267729922
98,2010-04-12,2010-08-10,200,90,1.0478175248166268
99,2010-04-13,2010-08-11,200,90,1.1603742164480424
100,2010-04-14,2010-08-12,200,90,1.0512900420425129
101,2010-04-15,2010-08-13,200,90,1.2294282846370346
102,2010-04-16,2010-08-14,200,90,1.2319213830465812
