,begin_date,end_date,window_size,forecast_days,forecast_precision
0,2010-01-04,2010-05-04,200,90,1.6920878824314713
1,2010-01-05,2010-05-05,200,90,1.7313117998952803
2,2010-01-06,2010-05-06,200,90,1.7224772339784689
3,2010-01-07,2010-05-07,200,90,1.696733195326741
4,2010-01-08,2010-05-08,200,90,1.6724262884623735
5,2010-01-09,2010-05-09,200,90,1.6738119854332765
6,2010-01-10,2010-05-10,200,90,1.691756012662417
7,2010-01-11,2010-05-11,200,90,1.661584037881711
8,2010-01-12,2010-05-12,200,90,1.7335930022635737
9,2010-01-13,2010-05-13,200,90,1.7676533048642078
10,2010-01-14,2010-05-14,200,90,1.815742358481728
11,2010-01-15,2010-05-15,200,90,1.7971381822054584
12,2010-01-16,2010-05-16,200,90,1.8137795257371114
13,2010-01-17,2010-05-17,200,90,1.8060575537313204
14,2010-01-18,2010-05-18,200,90,1.7288174414749464
15,2010-01-19,2010-05-19,200,90,1.7245573568714316
16,2010-01-20,2010-05-20,200,90,1.7047990610598223
17,2010-01-21,2010-05-21,200,90,1.6338635726594786
18,2010-01-22,2010-05-22,200,90,1.6635422533663218
19,2010-01-23,2010-05-23,200,90,1.7369826924827043
20,2010-01-24,2010-05-24,200,90,1.6589175394686306
21,2010-01-25,2010-05-25,200,90,1.693781148786681
22,2010-01-26,2010-05-26,200,90,1.784818457608894
23,2010-01-27,2010-05-27,200,90,1.745175941211161
24,2010-01-28,2010-05-28,200,90,1.7127135409291727
25,2010-01-29,2010-05-29,200,90,1.6768889857591749
26,2010-01-30,2010-05-30,200,90,1.6246417081898503
27,2010-01-31,2010-05-31,200,90,1.6166385071327807
28,2010-02-01,2010-06-01,200,90,1.602210691056108
29,2010-02-02,2010-06-02,200,90,1.6268515738753484
30,2010-02-03,2010-06-03,200,90,1.6389806307361734
31,2010-02-04,2010-06-04,200,90,1.6817327468939307
32,2010-02-05,2010-06-05,200,90,1.6198710228793112
33,2010-02-06,2010-06-06,200,90,1.599039851362222
34,2010-02-07,2010-06-07,200,90,1.6184615604043235
35,2010-02-08,2010-06-08,200,90,1.5662456658691712
36,2010-02-09,2010-06-09,200,90,1.550966189625081
37,2010-02-10,2010-06-10,200,90,1.5028566876806964
38,2010-02-11,2010-06-11,200,90,1.4879959401441154
39,2010-02-12,2010-06-12,200,90,1.4462854515182664
40,2010-02-13,2010-06-13,200,90,1.4200848110615947
41,2010-02-14,2010-06-14,200,90,1.4433313942652521
42,2010-02-15,2010-06-15,200,90,1.4367335394697107
43,2010-02-16,2010-06-16,200,90,1.4783657469594274
44,2010-02-17,2010-06-17,200,90,1.4795963552561344
45,2010-02-18,2010-06-18,200,90,1.4368873751555304
46,2010-02-19,2010-06-19,200,90,1.4133703107182425
47,2010-02-20,2010-06-20,200,90,1.354986948114579
48,2010-02-21,2010-06-21,200,90,1.3425366923572446
49,2010-02-22,2010-06-22,200,90,1.3899741078455146
50,2010-02-23,2010-06-23,200,90,1.3085752622395448
51,2010-02-24,2010-06-24,200,90,1.3029672380947424
52,2010-02-25,2010-06-25,200,90,1.268056077155602
